calculator,formula_id,formula_or_constant,input_units,output_units,mathematical_basis,domain_assumption,source_ids,source_status,decision,production_change,notes
"Pool Chlorine Calculator (js/calc-utils.js calculateChlorine, liquid type)",calc-utils-chlorine-liquid,ounces = (gallons x ppm_increase) / 128000,"gallons, ppm",fluid ounces,Linear dilution math (ounces scale with gallons x ppm) is mathematically valid given a fixed product concentration.,Assumes a specific liquid-chlorine concentration (comment says '10%'); the 128000 divisor is not independently reconciled against the site's own formulas/liquid-chlorine-formula.html equation (see CRITICAL finding below).,"cdc-healthy-swimming-home-treatment;cdc-mahc-2023 (target range only, not the dosing formula)",Target range SUPPORTED; dosing constant UNVERIFIED,REQUIRES_EXPERT_REVIEW,None -- calculator logic not modified,"CRITICAL: this divisor (128000) does not reconcile with the documented equation on formulas/liquid-chlorine-formula.html (0.0128-based, divide by Strength% x 0.0128) -- a ~1,000,000x discrepancy. See RESEARCH.md Section 4 and formula-02 finding below. Not fixed this phase per Section 8's explicit stop-rule (demonstrably inconsistent, correction not trivial)."
Pool Chlorine Calculator (granular/shock type) / Pool Shock Calculator UI presets,calc-utils-chlorine-granular,ounces = (gallons x ppm_increase) / 10000,"gallons, ppm",fluid ounces,Same linear-dilution form as above.,"Assumes a specific granular-chlorine concentration, not disclosed in the code comment (unlike the liquid case's explicit '10%' note).",none,UNSUPPORTED (undisclosed assumption),REQUIRES_EXPERT_REVIEW,None,"The pool-shock-calculator.html UI offers fixed preset tiers (Light 5ppm / Standard 10ppm / Heavy 15ppm / Double 20ppm) that use this same divisor but do NOT implement the site's own sourced breakpoint-rule concept (10x measured combined chlorine) -- the calculator structurally cannot apply the newly-SUPPORTED claim-shock-breakpoint-rule because it never asks for a combined-chlorine reading. This is a genuine calculator-architecture/domain-assumption mismatch, documented here, not fixed."
Pool Chlorine Calculator (tablets type),calc-utils-chlorine-tablets,ounces = (gallons x ppm_increase) / 12000,"gallons, ppm",fluid ounces,Same linear-dilution form.,"Assumes a specific tablet (trichlor) concentration, not disclosed.",none,UNSUPPORTED (undisclosed assumption),REQUIRES_EXPERT_REVIEW,None,Not independently checked against formulas-data.js (no dedicated tablet-formula page exists to cross-reference).
Pool pH Calculator,calc-utils-ph-adjustment,ounces = (gallons/10000) x |pH_diff| x 6 (increaser) or x 5 (reducer),"gallons, pH units",fluid ounces,"Not a pure unit conversion -- pH change per dose is a nonlinear function of total alkalinity (a buffering agent) in real pool chemistry; this formula treats it as linear, which the page's own UI copy already discloses as a simplified estimation.","Coefficients 6 and 5 are dose-response constants for unspecified acid/base products, not independently verified against a manufacturer reference.",cdc-healthy-swimming-home-treatment (target range only),Target range SUPPORTED; dosing constants UNVERIFIED,SUPPORTED_DOMAIN_ASSUMPTION (limitation already disclosed in UI),None,formulas/ph-adjustment-formula.html's own worked example abandons its documented equation mid-calculation in favor of an un-derived 'rule of thumb' -- see RESEARCH.md Section 4 (milder instance of the same pattern as formula-02/formula-09).
Pool Shock Calculator / Hot Tub Shock Calculator (calc-utils.js calculateShock),calc-utils-shock,ounces = (gallons x target_ppm) / 10000; pounds = ounces/16,"gallons, ppm","fluid ounces, pounds",Same linear-dilution form as granular chlorine above.,"Same undisclosed granular-concentration assumption; UI presets (5/10/15/20ppm) are editorial tiers, not derived from any cited source.",none,UNSUPPORTED,REQUIRES_EXPERT_REVIEW,None,Unchanged since Phase 7E's CALCULATOR_REVIEW_REQUIRED finding. This phase found the specific reason it cannot be resolved by the new breakpoint-rule citation: the calculator's fixed-ppm-tier design is architecturally incompatible with the sourced (combined-chlorine-ratio-based) breakpoint concept.
Bromine calculator,n/a,No bromine calculator exists anywhere in the codebase.,n/a,n/a,n/a,n/a,none,NOT_APPLICABLE -- does not exist,"OUT_OF_SCOPE (confirmed, unchanged from Phase 7N/7P)",None -- not created,"Re-confirmed via grep across calculators/ and formulas-data.js this phase; no bromine dosing coefficient exists to audit or invent. Per explicit instruction, no bromine dosing coefficient was invented."
LSI (Langelier Saturation Index),formula-09,LSI = pH + TF + CF + AF - 12.1 (TF/CF/AF from lookup tables),"pH units, deg F, ppm, ppm",LSI index value (dimensionless),"The additive LSI form itself is a real, published (Langelier 1936) water-chemistry model -- mathematically legitimate as a model, not merely a domain guess.",The TF/CF/AF lookup-table VALUES used in the worked example are not present anywhere in the codebase as actual data (no lookup-table JSON/JS file exists) and are not independently sourced -- only illustrative numbers appear in prose.,"langelier-1936 (cited in references field only, not a registered chemistry-sources.js record); no source_id for the actual table values",Formula concept CONTEXTUAL; lookup-table values UNSUPPORTED (no data source),REQUIRES_EXPERT_REVIEW; NO NEW STANDALONE CALCULATOR (architectural decision unchanged),None -- no calculator built or modified,"CRITICAL: confirmed no LSI computation exists anywhere in js/*.js (grepped for LSI/langelier, zero matches) -- the 'LSI' related-calculator link on formulas/lsi-formula.html points to calculators/chemical-calculator.html, which does not actually compute LSI client-side. Implementation is genuinely incomplete; audit confirms (does not newly create) the standing NO NEW LSI CALCULATOR decision. The worked example also self-contradicts (computes LSI=1.6, then -2.2 with a '?', then -0.2 for the same inputs) -- see RESEARCH.md Section 4/6, same class of defect as formula-02."
Pool Volume Calculator / Spa Volume Calculator,calc-utils-volume,gallons = L x W x avg_depth x 7.48052 (rect); pi x r^2 x depth x 7.48052 (circular); pi x (L/2) x (W/2) x depth x 7.48052 (oval),feet,"gallons, liters","Pure solid-geometry volume formulas x an exact physical conversion constant (1 cubic foot = 7.48052 US gallons, a defined physical/mathematical constant, independently verifiable, not an industry convention).","None -- the oval formula is a standard elliptical-cylinder approximation, a geometric modeling choice, not a chemistry/product assumption.",none needed (pure math),VERIFIED_MATH,VERIFIED_MATH,None,"7.48052 and 264.17 (m3->gal) both independently verified as standard, exact unit-conversion constants."
Salt Calculator,calc-utils-salt,pounds = (gallons/10000) x (ppm_increase/12),"gallons, ppm",pounds,"Derivable from the definition of ppm-by-weight and a water-density constant (1 gallon of water ~ 8.34 lb; 1 lb NaCl / 83,400 lb water in 10,000 gal (10,000 x 8.34 lb/gal) = ~12 ppm) -- reproduced independently this phase and confirmed to match the coded constant (12) within rounding.","Assumes pool salt is effectively 100% pure NaCl (real product purity is typically ~99%+, a minor, disclosed-by-omission simplification).",none needed (derivable from physical constants),"VERIFIED_MATH (independently re-derived this phase, matches within rounding)",VERIFIED_MATH,None,"This is the one dose-response constant in calc-utils.js that is NOT purely a domain assumption -- it follows from water-density math, distinguishing it from the chlorine/pH/CYA/alkalinity constants below."
CYA (Cyanuric Acid) Calculator,calc-utils-cya,ounces = (gallons/10000) x (ppm_increase/10) x 13,"gallons, ppm",ounces,Same linear-dilution form as chlorine.,"'13 oz per 10,000 gal per 10 ppm' is a product-specific (granular CYA formulation) dose-response constant, not derivable from a physical constant the way the salt constant is (CYA granules are not treated as chemically pure in the same simple ppm-by-weight sense).",none,UNSUPPORTED,"SUPPORTED_DOMAIN_ASSUMPTION (widely repeated industry figure, not independently verified)",None,"Matches the figure independently stated in formulas/cya-formula.html's explanation text ('13 oz of CYA granules raises a 10,000-gallon pool by approximately 10 ppm') -- internally consistent across the two content sources, which is reassuring but is not itself independent third-party verification."
