url,current_title,length,intent,nearest_competitor,problem,action,proposed_title,reason
"/reference/datasets/chemical-properties (and 7 sibling dataset pages)","{Title} | WaterBalanceTools Datasets | WaterBalanceTools","68","internal dataset documentation (noindex)","n/a (noindex)","Brand name ""WaterBalanceTools"" appears twice -- the generator hardcoded ""WaterBalanceTools Datasets"" as a middle segment, which does not end in the exact string the automatic brand-suffix injector checks for, so it appends a second ""| WaterBalanceTools"".","FIX","{Title} | Datasets | WaterBalanceTools","Genuine redundancy (brand repeated twice), not a subjective length judgment. Fixed at the generator (scripts/generate-data-docs.js). These pages are noindex, so real-world SERP impact is zero, but the title is still wrong."
"/calculators/volume-calculator","Pool Volume Calculator (calculators) (calculators) | WaterBalanceTools","101","retired legacy calculator URL (noindex, canonical to pool-volume-calculator)","/calculators/pool-volume-calculator (the canonical page)","A non-idempotent disambiguation bug in scripts/normalize-seo-metadata.js stacked the ""(calculators)"" collision-disambiguation suffix twice across separate historical builds. Investigating this also surfaced a second, more serious bug: on some directory-walk orderings, this retired page could claim the clean title first and force the disambiguation suffix onto the REAL canonical page instead.","FIX","Pool Volume Calculator | WaterBalanceTools","Fixed at the root: normalize-seo-metadata.js, qa-engine.js's SEO audit, and build-link-matrix.js's candidate pool now all use url-policy.js's existing isRedirectSource() check to exclude retired/redirect-source pages from title-uniqueness disambiguation and from being surfaced as live cross-links. See PRODUCTION-CHANGES.md for full detail."
"/guides/edge-cases/evaporation-effect-on-pool-chemistry","Does Evaporation Affect Pool Chemistry? (Concentration, Not Dilution) | WaterBalanceTools","89","edge-case explainer (created Phase 7M)","/guides/edge-cases/rain-effect-on-pool-chemistry (sibling, opposite mechanism)","The longest title on the site among this phase's findings, and the page is this project's own creation from last phase -- worth fixing as good practice while auditing.","FIX","Does Evaporation Affect Pool Chemistry? | WaterBalanceTools","The parenthetical was explanatory sugar already covered by the page's own direct-answer paragraph; the core question alone fully communicates intent and stays well under 65 chars."
"academy/* (13 pages: fundamentals/how-temperature-changes-water-chemistry, troubleshooting/{cloudy-water,corrosion,foaming-hot-tubs,strong-chlorine-smell}, vacation-rentals/{chemical-log-sheets,emergency-water-recovery,guest-safety,maintenance-schedule,turnover-checklist,weekly-inspection}, water-balance/{understanding-lsi,water-balance-order})","{Title} | Academy | WaterBalanceTools","67-76","academy explainer article","varies -- generally none (see cannibalization review)","Exceeds 65 chars by 2-11.","KEEP","(unchanged)","""Academy"" is genuine category context, not redundant filler -- it does not repeat any word already in the title's descriptive text, and it tells a searcher/crawler this is structured educational content rather than a random blog post. Every title's core statement is intact within the first ~55-60 characters, before typical SERP truncation. Shortening these to hit 65 exactly would mean cutting real descriptive words for no clarity gain -- the brief explicitly warns against this."
"comparisons/* (5 pages: chlorine-vs-bromine, free-chlorine-vs-total-chlorine, liquid-chlorine-vs-tablets, pool-shock-vs-chlorine, salt-water-pool-vs-chlorine-pool)","{Comparison question} | WaterBalanceTools","66-75","comparison/decision page","none -- each compares a distinct pair of products/concepts","Exceeds 65 chars by 1-10.","KEEP","(unchanged)","No redundant segment -- these are single-clause comparison questions with no filler. The comparison subject (the two things being compared) is always stated before the truncation point."
"formulas/* (4 pages: alkalinity-formula, cya-formula, liquid-chlorine-formula, lsi-formula)","{Title} | Formula Library | WaterBalanceTools","66-78","reference formula page","the corresponding academy article covering the same parameter conceptually (different intent: formula reference vs. explanation)","Exceeds 65 chars by 1-13.","KEEP","(unchanged)","""Formula Library"" is the genuine differentiator between this reference page and the conceptual academy article on the same parameter -- removing it would make the two page types harder for a searcher to distinguish in a SERP snippet, which is the opposite of what Step 2 asks to protect against."
"guides/advanced, guides/edge-cases, guides/seasonal, guides/chlorine (14 pages)","{Direct question/statement} ({qualifier}) | WaterBalanceTools","66-86","edge-case / advanced / seasonal explainer","reviewed individually in cannibalization forensics -- none found competing for the same exact query","Exceeds 65 chars by 1-21 (pool-chemistry-balance-explained and closing-pool-chemistry-winter are the longest at 86).","KEEP","(unchanged)","Parenthetical qualifiers add real specificity (e.g. naming exactly which parameters ""Pool Chemistry Balance Explained"" covers) rather than repeating the main clause. Direct-answer intent is fully legible before the parenthetical in every case."
"root chart/system pages (4: pool-chemical-levels-chart, hot-tub-chemical-levels-chart, pool-chlorine-levels-chart, pool-chemistry-system)","{Chart name} ({scope}) | WaterBalanceTools","66-75","reference chart","none -- each targets a distinct parameter/environment combination","Exceeds 65 chars by 1-10.","KEEP","(unchanged)","Established, consistent chart-naming convention across the site; parenthetical states real scope (e.g. ""All Parameters"", ""1-3 ppm + Shock Targets"") that helps a searcher pick the right chart among several similarly-named ones."
"resources/airbnb-pool-turnover-checklist","{Title} | Free Printable | WaterBalanceTools","76","downloadable checklist","none","Exceeds 65 chars by 11.","KEEP","(unchanged)","""Free Printable"" directly signals the content type and value proposition for exactly the intent someone searching for a printable checklist has -- high-value, not filler."
"programmatic/behavior/how-often-to-test-pool-water","How Often to Test Pool Water (Simple Schedule) | WaterBalanceTools","66","programmatic long-tail Q&A","none","1 character over 65, already documented in Phase 7M's review queue.","KEEP","(unchanged)","Consistent with Phase 7M's explicit decision not to hand-edit individual programmatic config title strings piecemeal -- the redundant-suffix bug affecting this family was already fixed at the generator level; this is a different, much smaller (1-char) overage in the underlying descriptive text itself."
