claim_id,claim_text,parameter,production_context,source_id,source_support,support_type,decision,notes
c89a3bddc3b1b53f,Compatibility Considerations Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid.,ph,"academy/equipment/automatic-chlorinators.html (env=unspecified, 2.8-2.8 ph_units)",,MANUALLY_REVIEWED,NOT_SUPPORTED,PRODUCT_PROPERTY_NOT_WATER_TARGET,"pH of trichlor TABLET IN SOLUTION (2.8), a product property explaining why trichlor is acidic, not a pool-water pH target. Different claim category from range-ph-pool-chlorine-routine."
c3f9bc82301d28a9,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",cyanuric_acid,"academy/equipment/automatic-chlorinators.html (env=pool, 80-100 ppm)",,MANUALLY_REVIEWED,NOT_SUPPORTED,THRESHOLD_ABOVE_RANGE_BY_DESIGN,"""CYA can reach problem levels (80-100 ppm)"" is explicitly a too-high troubleshooting scenario, not a target claim -- correctly outside the 30-50 target range by design."
23eb54fef67c5e59,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,"academy/equipment/automatic-chlorinators.html (env=pool, 85-85 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 85-85 ppm does not overlap any canonical range for cyanuric_acid/pool (checked: range-cya-public-pool-incident-response-max, range-cya-residential-routine-outdoor, range-cya-saltwater-outdoor)."
64828a5bed02f6f5,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,"academy/equipment/automatic-chlorinators.html (env=pool, 80-80 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-cya-saltwater-outdoor, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
0bd0584cd48621c3,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,"academy/equipment/salt-systems.html (env=unspecified, 2700-3400 ppm)",,MANUALLY_REVIEWED,NOT_SUPPORTED,EQUIPMENT_DEPENDENT_NO_PRIMARY_SOURCE,"2,700-3,400 ppm matches chemistry-ranges.js's own range-salt-generic-operating, but Phase 7D explicitly could not confirm a single manufacturer-independent primary source (salt targets are equipment-specific) -- genuinely unresolved, not wrong."
820296bafa4bbe51,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,"academy/equipment/salt-systems.html (env=unspecified, 35000-35000 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 35000-35000 ppm does not overlap any canonical range for salt/unspecified (checked: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot)."
df42b1136223a12f,CYA of 60–80 ppm is needed for salt pool outdoor use to protect the generated chlorine from UV.,cyanuric_acid,"academy/equipment/salt-systems.html (env=pool, 60-80 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-cya-saltwater-outdoor, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
4f8a20141de769b1,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,"academy/equipment/salt-systems.html (env=unspecified, 2400-2400 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 2400-2400 ppm does not overlap any canonical range for salt/unspecified (checked: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot)."
0e46e28b1aa01a24,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,"academy/equipment/salt-systems.html (env=unspecified, 2700-2700 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-salt-generic-operating, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
c17b914beaccc984,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,"academy/equipment/salt-systems.html (env=pool, 300-300 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 300-300 ppm does not overlap any canonical range for salt/pool (checked: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot)."
473714cac7188762,"Retest — salt now at 2,750 ppm.",salt,"academy/equipment/salt-systems.html (env=unspecified, 2750-2750 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-salt-generic-operating, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
