url,page_type,primary_intent,secondary_intent,target_entity_parameter,search_stage,canonical_role
"https://waterbalancetools.com/about/","trust","trust","none_observed","about","REFERENCE","supporting_content"
"https://waterbalancetools.com/academy/equipment/automatic-chlorinators","academy-article","understand_equipment","find_calculator","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/equipment/","academy-article","understand_equipment","none_observed","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/equipment/pool-filters","academy-article","understand_equipment","find_calculator","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/equipment/pool-pumps","academy-article","understand_equipment","find_calculator","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/equipment/pool-skimmers","academy-article","understand_equipment","find_calculator","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/equipment/salt-systems","academy-article","understand_equipment","find_calculator","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters","academy-article","understand_equipment","find_calculator","academy/equipment","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/how-water-balance-works","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/","academy-article","understand_fundamentals","none_observed","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/indoor-pool-chemistry","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/understanding-pool-water-chemistry","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/fundamentals/why-water-testing-matters","academy-article","understand_fundamentals","find_calculator","academy/fundamentals","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/daily-spa-maintenance","academy-article","understand_hot-tubs","find_calculator","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/","academy-article","understand_hot-tubs","none_observed","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/monthly-spa-maintenance","academy-article","understand_hot-tubs","find_calculator","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/refilling-your-hot-tub","academy-article","understand_hot-tubs","find_calculator","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/shock-after-heavy-use","academy-article","understand_hot-tubs","find_calculator","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/weekly-spa-maintenance","academy-article","understand_hot-tubs","find_calculator","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/hot-tubs/winter-spa-care","academy-article","understand_hot-tubs","find_calculator","academy/hot-tubs","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/","academy-hub","academy-hub","none_observed","academy","DISCOVERY","supporting_content"
"https://waterbalancetools.com/academy/sanitizers/breakpoint-chlorination","academy-article","understand_sanitizers","find_calculator","academy/sanitizers","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/sanitizers/bromine-vs-chlorine","academy-article","understand_sanitizers","find_calculator","academy/sanitizers","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/sanitizers/combined-chlorine-explained","academy-article","understand_sanitizers","find_calculator","academy/sanitizers","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/sanitizers/","academy-article","understand_sanitizers","none_observed","academy/sanitizers","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/sanitizers/liquid-chlorine-vs-tablets","academy-article","understand_sanitizers","find_calculator","academy/sanitizers","INFORMATIONAL","explainer"
"https://waterbalancetools.com/academy/sanitizers/shock-treatments-explained","academy-article","understand_sanitizers","find_calculator","academy/sanitizers","INFORMATIONAL","explainer"
