url,title,h1,meta_description,canonical,schema_name,consistent,notes
"calculators/pool-chlorine-calculator.html","Pool Chlorine Calculator (Oz by Volume) | WaterBalanceTools","pool chlorine calculator","Pool chlorine calculator: gallons + ppm in → exact liquid or granular ounces out","https://waterbalancetools.com/calculators/pool-chlorine-calculator","Pool Chlorine Calculator","CONSISTENT","none"
"calculators/hot-tub-chlorine-calculator.html","Hot Tub Chlorine Calculator (30-Second Check) | WaterBalanceTools","hot tub chlorine calculator","Hit 3–5 ppm sanitizer in seconds: enter spa gallons + test strip readings for ex","https://waterbalancetools.com/calculators/hot-tub-chlorine-calculator","Hot Tub Chlorine Calculator","CONSISTENT","none"
"calculators/pool-ph-calculator.html","Pool pH Calculator (Target 7.2–7.6) | WaterBalanceTools","pool ph calculator","Turn pH + gallon readings into exact increaser or reducer ounces in 30 seconds. ","https://waterbalancetools.com/calculators/pool-ph-calculator","Pool pH Calculator","CONSISTENT","none"
"calculators/hot-tub-ph-calculator.html","Hot Tub pH Calculator | WaterBalanceTools","hot tub ph calculator","Hot tub pH calculator. Enter spa gallons and current pH to get pH increaser or r","https://waterbalancetools.com/calculators/hot-tub-ph-calculator","Hot Tub pH Calculator","CONSISTENT","none"
"calculators/pool-shock-calculator.html","Pool Shock Calculator (10–30 ppm Dose) | WaterBalanceTools","pool shock calculator","Pool shock calculator: granular shock ounces from gallons + target ppm (10–30). ","https://waterbalancetools.com/calculators/pool-shock-calculator","Pool Shock Calculator","CONSISTENT","none"
"calculators/hot-tub-shock-calculator.html","Hot Tub Shock Calculator | WaterBalanceTools","hot tub shock calculator","Hot tub shock calculator. Enter spa gallons and shock type to get shock dosage. ","https://waterbalancetools.com/calculators/hot-tub-shock-calculator","Hot Tub Shock Calculator","CONSISTENT","none"
"calculators/chemical-calculator.html","Pool Chemical Calculator (Exact Levels Fast) | WaterBalanceTools","pool & hot tub chemical calculator","Calculate exact chlorine, pH, and alkalinity doses in seconds—enter gallons + te","https://waterbalancetools.com/calculators/chemical-calculator","Pool & Hot Tub Chemical Calculator","CONSISTENT","none"
"calculators/pool-volume-calculator.html","Pool Volume Calculator (calculators) | WaterBalanceTools","pool volume calculator","Pool volume calculator. Rectangular, circular, and oval shapes. Get gallons and ","https://waterbalancetools.com/calculators/pool-volume-calculator","Pool Volume Calculator","CONSISTENT","none"
"calculators/pool-alkalinity-calculator.html","Pool Alkalinity Calculator | WaterBalanceTools","pool alkalinity calculator","Pool alkalinity calculator. Enter pool gallons and current alkalinity to get alk","https://waterbalancetools.com/calculators/pool-alkalinity-calculator","Pool Alkalinity Calculator","CONSISTENT","none"
"calculators/pool-cyanuric-acid-calculator.html","Pool Cyanuric Acid Calculator | WaterBalanceTools","pool cyanuric acid calculator","Pool cyanuric acid (CYA) calculator. Enter pool gallons and current CYA to get s","https://waterbalancetools.com/calculators/pool-cyanuric-acid-calculator","Pool Cyanuric Acid Calculator","CONSISTENT","none"
"calculators/saltwater-pool-salt-calculator.html","Saltwater Pool Salt Calculator | WaterBalanceTools","saltwater pool salt calculator","Saltwater pool salt calculator. Enter pool gallons and current salt level to get","https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator","Saltwater Pool Salt Calculator","CONSISTENT","none"
"calculators/pool-turnover-rate-calculator.html","Pool Turnover Rate Calculator | WaterBalanceTools","pool turnover rate calculator","Pool turnover rate calculator. Enter pool volume and pump flow rate to get hours","https://waterbalancetools.com/calculators/pool-turnover-rate-calculator","Pool Turnover Rate Calculator","CONSISTENT","none"
"calculators/spa-volume-calculator.html","Spa Volume Calculator | WaterBalanceTools","spa volume calculator","Spa volume calculator. Enter diameter and depth to get hot tub volume in gallons","https://waterbalancetools.com/calculators/spa-volume-calculator","Spa Volume Calculator","CONSISTENT","none"
"pool-chemical-levels-chart.html","Pool Chemical Levels Chart (Ideal Ranges + Next Steps) | WaterBalanceTools","pool chemical levels chart","Pool chemical levels chart: ideal ppm for chlorine, pH, alkalinity, calcium, and","https://waterbalancetools.com/pool-chemical-levels-chart","What is the ideal free chlorine level for a pool?","CONSISTENT","none"
"pool-chlorine-levels-chart.html","Pool Chlorine Levels Chart (1–3 ppm + Shock Targets) | WaterBalanceTools","pool chlorine levels chart","Pool chlorine levels chart: 1–3 ppm targets, shock ranges, and CYA context—free ","https://waterbalancetools.com/pool-chlorine-levels-chart","What chlorine level is safe to swim?","CONSISTENT","none"
"pool-ph-levels-chart.html","Pool pH Levels Chart (7.2–7.6 + Fix Order) | WaterBalanceTools","pool ph levels chart","Pool pH levels chart: 7.2–7.6 target, what high and low pH do to chlorine and eq","https://waterbalancetools.com/pool-ph-levels-chart","What is the best pH for a swimming pool?","CONSISTENT","none"
"hot-tub-chemical-levels-chart.html","Hot Tub Chemical Levels Chart (All Parameters) | WaterBalanceTools","hot tub chemical levels chart","Hot tub chemical levels chart: ideal chlorine, pH, alkalinity, and calcium hardn","https://waterbalancetools.com/hot-tub-chemical-levels-chart","How often should I test hot tub water chemistry?","CONSISTENT","none"
"pool-cya-levels-chart.html","Pool CYA (Cyanuric Acid) Levels Chart | WaterBalanceTools","pool cya (cyanuric acid) levels chart","Pool CYA levels chart: ideal range 30–50 ppm, what is too high, and how CYA affe","https://waterbalancetools.com/pool-cya-levels-chart","What is CYA in a pool?","CONSISTENT","none"
