url,page_type,entity_or_term,current_word_count,current_sections,primary_intent,search_answer_present,definition_present,context_present,chemistry_claims_present,source_present,related_tools_present,internal_links,schema_types,thinness_reason,priority,recommended_action
"https://waterbalancetools.com/entities/free-chlorine","entity","Free Chlorine","457","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is Free Chlorine","yes","yes","yes","yes","yes","yes","17","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/combined-chlorine","entity","Combined Chlorine","336","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is Combined Chlorine","yes","yes","yes","yes","yes","yes","12","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/total-chlorine","entity","Total Chlorine","215","definition;relationships;calculators;academy;glossary;reference;resources;charts;related-entities","what is Total Chlorine","yes","yes","yes","yes","yes","yes","6","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/bromine","entity","Bromine","262","definition;relationships;calculators;academy;glossary;reference;resources;charts;related-entities","what is Bromine","yes","yes","yes","yes","yes","yes","9","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/cyanuric-acid","entity","Cyanuric Acid","331","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is Cyanuric Acid","yes","yes","yes","yes","yes","yes","10","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/calcium-hardness","entity","Calcium Hardness","409","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is Calcium Hardness","yes","yes","yes","yes","yes","yes","13","","Flagged by word-count/repetition heuristic; concise content genuinely satisfies its intent (see ENTITY-CONTENT-POLICY.md / SOURCE-RESEARCH.md).","P3","KEEP"
"https://waterbalancetools.com/entities/salt","entity","Salt","307","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is Salt","yes","yes","yes","yes","yes","yes","7","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/total-dissolved-solids","entity","Total Dissolved Solids","244","definition;relationships;academy;glossary;reference;related-entities","what is Total Dissolved Solids","yes","yes","yes","yes","yes","no","6","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/phosphate","entity","Phosphate","200","definition;relationships;academy;glossary;related-entities","what is Phosphate","yes","yes","yes","yes","yes","no","4","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/copper","entity","Copper","197","definition;relationships;academy;glossary;related-entities","what is Copper","yes","yes","yes","yes","no","no","5","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/iron","entity","Iron","192","definition;relationships;academy;glossary;related-entities","what is Iron","yes","yes","yes","yes","no","no","4","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/manganese","entity","Manganese","168","definition;relationships;related-entities","what is Manganese","yes","yes","yes","no","no","no","4","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/hydrogen-peroxide","entity","Hydrogen Peroxide","190","definition;relationships;reference;related-entities","what is Hydrogen Peroxide","yes","yes","yes","yes","no","no","3","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/ozone","entity","Ozone","202","definition;relationships;glossary;related-entities","what is Ozone","yes","yes","yes","yes","yes","no","3","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/biguanide","entity","Biguanide","180","definition;relationships;related-entities","what is Biguanide","yes","yes","yes","yes","no","no","3","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/ph","entity","pH","489","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is pH","yes","yes","yes","yes","yes","yes","17","","Flagged by word-count/repetition heuristic; concise content genuinely satisfies its intent (see ENTITY-CONTENT-POLICY.md / SOURCE-RESEARCH.md).","P3","KEEP"
"https://waterbalancetools.com/entities/orp","entity","ORP","204","definition;relationships;academy;glossary;reference;related-entities","what is ORP","yes","yes","yes","yes","yes","no","5","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/temperature","entity","Temperature","272","definition;relationships;calculators;academy;formulas;glossary;reference;related-entities","what is Temperature","yes","yes","yes","yes","yes","yes","10","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/alkalinity","entity","Total Alkalinity","384","definition;relationships;calculators;academy;formulas;glossary;reference;resources;charts;related-entities","what is Total Alkalinity","yes","yes","yes","yes","yes","yes","14","","longDescription present and rendered; satisfies its query.","P3","KEEP"
"https://waterbalancetools.com/entities/lsi","entity","Langelier Saturation Index","376","definition;relationships;calculators;academy;formulas;glossary;reference;charts;related-entities","what is Langelier Saturation Index","yes","yes","yes","yes","yes","yes","11","","Flagged by word-count/repetition heuristic; concise content genuinely satisfies its intent (see ENTITY-CONTENT-POLICY.md / SOURCE-RESEARCH.md).","P3","KEEP"
