family,disposition,evidence
Academy (8 source files vs data/academy.json vs academy/*.html),DRIFT_FOUND,"2 SOURCE_MISSING records (fund-07, fund-08); 2 pre-existing CONTENT_DRIFT records (san-03 extra source citation, ts-01 extra relatedResources link -- the latter corrects a misattribution in Phase 7X's own REVIEW-QUEUE.md, which had attributed it to ts-04); 1 newly-discovered CONTENT_DRIFT record introduced by Phase 7X itself (ts-04: em-dash vs double-hyphen typo between source and JSON). Full detail: ACADEMY-RECONCILIATION.csv."
Formulas (formulas-data.js vs data/formulas.json vs formulas/*.html),CLEAN,"9/9 records byte-identical between source and JSON (node require() diff, full-object comparison). 0 orphans either direction."
Glossary (glossary-terms.js vs data/glossary.json vs glossary/*.html),CLEAN,"100/100 records byte-identical. 0 orphans either direction."
Reference (reference-pages.js vs data/reference.json vs reference/*.html),CLEAN,"25/25 records byte-identical. 0 orphans either direction."
Entities (entities-*.js vs entity-index.json vs entities/*.html),CLEAN,"Single-source automatic pipeline (generate-entities.js runs every build, no manual intermediate). 104 source records, 104 entity-index.json keys, 0 duplicate ids."
Datasets (dataset-*.js vs data/datasets/*.json),CLEAN,"Single-source automatic pipeline. 0 duplicate ids in dataset-dosage-matrices.js (13 records, the highest-stakes dataset -- feeds live calculator dosing)."
Trust (trust-*.js vs data/trust/*.json),CLEAN,"Single-source automatic pipeline (generate-trust.js). No compiled-vs-source divergence possible by construction (same script reads and writes every build)."
Chemistry evidence (chemistry-*.js),CLEAN,"No compiled JSON intermediate exists at all -- every consumer reads the .js files directly and live, every time. Structurally immune to this class of drift. validate-chemistry-knowledge.js (a dedicated structural-integrity gate for this family) passed clean in Phase 7X's regression sweep and was not re-run destructively this phase."
Programmatic clusters x7 (chlorine/shock/ph/hot-tub/problem/explanation/behavior),CLEAN,"Each cluster's generator is self-contained with its own inline *-cluster-config.js; no shared data/*.js dependency, no JSON intermediate, single automatic pipeline. Confirmed via require() trace for all 7 (shock traced in Phase 7X; the other 6 traced this phase)."
Authority guides (generate-authority-guides.js inline content),CLEAN,"Source is the generator file itself (inline template literals) -- no separate data file to diverge from it. Confirmed directly during this phase's own Phase 7X edits to this exact file."
Navigation index (data/navigation.json, 5 writer scripts),AMBIGUOUS,"A genuine multi-writer situation with a documented ordering bug (generate-hubs.js reads it before generate-navigation.js writes it, forcing a required second build pass) -- but this is a different failure mode than academy's (transient, self-correcting staleness vs. permanent silent deletion). Investigated only to the depth needed to answer Section 14 (confirmed independent of the academy desync); not exhaustively re-audited this phase per the Section 14 scope boundary. Carried to REVIEW-QUEUE.md as a distinct, already-known item."
Orphaned legacy dosage JSON (chlorine-dosage.json, ph-adjustment.json, shock-dosage.json),REQUIRES_MANUAL_REVIEW,"Not 'drift' in the source/output desync sense (no source ever existed post-Phase-5A; these predate the current architecture entirely) but a genuine repository-hygiene finding: 3 completely dead, unreferenced JSON files (confirmed via exhaustive grep) containing formula descriptions that directly contradict the CURRENT, live, approved calculator formulas (Phase 7V/7W explicitly removed the numeric pH dose and the generic /10000 shock divisor these files still describe). Zero live risk since nothing reads them, but a future auditor or agent encountering them without this context could be misled. Recommend a future phase decide: delete, or explicitly archive with a dead-file marker comment."
Sitewide template/injector drift (~170-263 files per build, entities/calculators/reference/guides/etc.),NOT_APPLICABLE (to this phase's academy/data-source mandate),"Confirmed via direct clean-build experiment (build run and immediately reverted) to be an independent infrastructure defect (Classification C) -- caused by generate-entity-pages.js running twice in the pipeline with imperfect injector idempotency across the gap, and by the generate-hubs.js/generate-navigation.js ordering bug -- NOT by any source/data desynchronization. Full mechanism in BUILD-PIPELINE.md. Explicitly not fixed this phase per Section 14's instruction ('do not fix it unless it is conclusively part of the same defect')."
