url,file_path,page_type,cluster,overall_quality_score,action,priority,evidence
https://waterbalancetools.com/404,404.html,error,root,1.3,IMPROVE,P2,word_count=25 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/about/,about/index.html,trust,about,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,academy-article,academy/equipment,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/equipment/,academy/equipment/index.html,academy-article,academy/equipment,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/equipment/pool-filters,academy/equipment/pool-filters.html,academy-article,academy/equipment,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,academy-article,academy/equipment,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,academy-article,academy/equipment,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/equipment/salt-systems,academy/equipment/salt-systems.html,academy-article,academy/equipment,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,academy-article,academy/equipment,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy-article,academy/fundamentals,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,academy/fundamentals/how-water-balance-works.html,academy-article,academy/fundamentals,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/fundamentals/,academy/fundamentals/index.html,academy-article,academy/fundamentals,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry,academy/fundamentals/pool-vs-hot-tub-chemistry.html,academy-article,academy/fundamentals,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests,academy/fundamentals/the-four-core-water-tests.html,academy-article,academy/fundamentals,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/fundamentals/understanding-pool-water-chemistry,academy/fundamentals/understanding-pool-water-chemistry.html,academy-article,academy/fundamentals,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/fundamentals/why-water-testing-matters,academy/fundamentals/why-water-testing-matters.html,academy-article,academy/fundamentals,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/hot-tubs/daily-spa-maintenance,academy/hot-tubs/daily-spa-maintenance.html,academy-article,academy/hot-tubs,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/hot-tubs/,academy/hot-tubs/index.html,academy-article,academy/hot-tubs,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/hot-tubs/monthly-spa-maintenance,academy/hot-tubs/monthly-spa-maintenance.html,academy-article,academy/hot-tubs,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/hot-tubs/refilling-your-hot-tub,academy/hot-tubs/refilling-your-hot-tub.html,academy-article,academy/hot-tubs,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/hot-tubs/shock-after-heavy-use,academy/hot-tubs/shock-after-heavy-use.html,academy-article,academy/hot-tubs,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/hot-tubs/weekly-spa-maintenance,academy/hot-tubs/weekly-spa-maintenance.html,academy-article,academy/hot-tubs,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/hot-tubs/winter-spa-care,academy/hot-tubs/winter-spa-care.html,academy-article,academy/hot-tubs,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/,academy/index.html,academy-hub,academy,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/breakpoint-chlorination,academy/sanitizers/breakpoint-chlorination.html,academy-article,academy/sanitizers,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/bromine-vs-chlorine,academy/sanitizers/bromine-vs-chlorine.html,academy-article,academy/sanitizers,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/combined-chlorine-explained,academy/sanitizers/combined-chlorine-explained.html,academy-article,academy/sanitizers,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/,academy/sanitizers/index.html,academy-article,academy/sanitizers,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/liquid-chlorine-vs-tablets,academy/sanitizers/liquid-chlorine-vs-tablets.html,academy-article,academy/sanitizers,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/shock-treatments-explained,academy/sanitizers/shock-treatments-explained.html,academy-article,academy/sanitizers,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/sanitizers/understanding-free-chlorine,academy/sanitizers/understanding-free-chlorine.html,academy-article,academy/sanitizers,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
