claim_id,entity_id,source_text,claim_type,parameter,value,unit,environment,scenario,extraction_status,scientific_review_status,source_registry_ids,review_required
"ec-free-chlorine-0001","free-chlorine","Free chlorine (FC) is the portion of chlorine in pool water that has not yet reacted with contaminants.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-free-chlorine-0002","free-chlorine","It exists primarily as hypochlorous acid (HOCl) and hypochlorite ion (OCl−).","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-free-chlorine-0003","free-chlorine","HOCl is the active sanitizing form and is 40–80× more effective than OCl−.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-free-chlorine-0004","free-chlorine","The ratio of HOCl to OCl− is determined by pH — lower pH means more HOCl.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-free-chlorine-0005","free-chlorine","Free chlorine must be maintained above the minimum level dictated by the cyanuric acid concentration.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-combined-chlorine-0006","combined-chlorine","Combined chlorine (CC) is the difference between total chlorine and free chlorine.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-combined-chlorine-0007","combined-chlorine","It consists primarily of chloramines — compounds formed when chlorine reacts with ammonia, urea, and other nitrogen compounds from bathers.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-combined-chlorine-0008","combined-chlorine","Chloramines are responsible for the ""pool smell,"" eye irritation, and respiratory irritation often mistakenly blamed on too much chlorine.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-combined-chlorine-0009","combined-chlorine","When CC exceeds 0.5 ppm, breakpoint chlorination (shock treatment) is required.","numeric_chemistry_claim","combined_chlorine","0.5","ppm","unspecified","unspecified","CORRECT_EXTRACTION","CONTEXTUAL","range-cc-pool-hottub-max","no"
"ec-total-chlorine-0010","total-chlorine","Total chlorine (TC) equals free chlorine plus combined chlorine.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
