page_id,url,family,primary_intent,secondary_intent,environment,parameter,scenario,claim_family,canonical_status,sitemap_status
chlorine-5000,programmatic/chlorine/how-much-chlorine-for-5000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-7000,programmatic/chlorine/how-much-chlorine-for-7000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-8000,programmatic/chlorine/how-much-chlorine-for-8000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-9000,programmatic/chlorine/how-much-chlorine-for-9000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-10000,programmatic/chlorine/how-much-chlorine-for-10000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-12000,programmatic/chlorine/how-much-chlorine-for-12000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-15000,programmatic/chlorine/how-much-chlorine-for-15000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-18000,programmatic/chlorine/how-much-chlorine-for-18000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-20000,programmatic/chlorine/how-much-chlorine-for-20000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-25000,programmatic/chlorine/how-much-chlorine-for-25000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
chlorine-30000,programmatic/chlorine/how-much-chlorine-for-30000-gallon-pool.html,chlorine,dose_by_pool_volume,pool_size_classification,pool,free_chlorine,routine_adjustment,claim-fc-pool-no-cya,self-canonical,included
shock-5000,programmatic/shock/how-much-shock-for-5000-gallon-pool.html,shock,shock_dose_by_pool_volume,pool_size_classification,pool,shock_treatment,shock,claim-shock-breakpoint-rule,self-canonical,included
shock-10000,programmatic/shock/how-much-shock-for-10000-gallon-pool.html,shock,shock_dose_by_pool_volume,pool_size_classification,pool,shock_treatment,shock,claim-shock-breakpoint-rule,self-canonical,included
shock-15000,programmatic/shock/how-much-shock-for-15000-gallon-pool.html,shock,shock_dose_by_pool_volume,pool_size_classification,pool,shock_treatment,shock,claim-shock-breakpoint-rule,self-canonical,included
shock-20000,programmatic/shock/how-much-shock-for-20000-gallon-pool.html,shock,shock_dose_by_pool_volume,pool_size_classification,pool,shock_treatment,shock,claim-shock-breakpoint-rule,self-canonical,included
shock-25000,programmatic/shock/how-much-shock-for-25000-gallon-pool.html,shock,shock_dose_by_pool_volume,pool_size_classification,pool,shock_treatment,shock,claim-shock-breakpoint-rule,self-canonical,included
shock-30000,programmatic/shock/how-much-shock-for-30000-gallon-pool.html,shock,shock_dose_by_pool_volume,pool_size_classification,pool,shock_treatment,shock,claim-shock-breakpoint-rule,self-canonical,included
ph-6.8-7.2,programmatic/ph/how-to-adjust-ph-from-6-8-to-7-2.html,ph,raise_ph_scenario,ph_drift_cause,pool,ph,target_adjustment,claim-ph-pool-routine,self-canonical,included
ph-7.8-7.4,programmatic/ph/how-to-adjust-ph-from-7-8-to-7-4.html,ph,lower_ph_scenario,ph_drift_cause,pool,ph,target_adjustment,claim-ph-pool-routine,self-canonical,included
ph-7-7.4,programmatic/ph/how-to-adjust-ph-from-7-to-7-4.html,ph,raise_ph_scenario,ph_drift_cause,pool,ph,target_adjustment,claim-ph-pool-routine,self-canonical,included
ph-8-7.5,programmatic/ph/how-to-adjust-ph-from-8-to-7-5.html,ph,lower_ph_scenario,ph_drift_cause,pool,ph,target_adjustment,claim-ph-pool-routine,self-canonical,included
hottub-200,programmatic/hot-tubs/hot-tub-chemicals-for-200-gallons.html,hot-tubs,sanitizer_dose_by_spa_volume,spa_size_classification,hot_tub,free_chlorine,routine_adjustment,claim-fc-hottub-routine,self-canonical,included
hottub-300,programmatic/hot-tubs/hot-tub-chemicals-for-300-gallons.html,hot-tubs,sanitizer_dose_by_spa_volume,spa_size_classification,hot_tub,free_chlorine,routine_adjustment,claim-fc-hottub-routine,self-canonical,included
hottub-400,programmatic/hot-tubs/hot-tub-chemicals-for-400-gallons.html,hot-tubs,sanitizer_dose_by_spa_volume,spa_size_classification,hot_tub,free_chlorine,routine_adjustment,claim-fc-hottub-routine,self-canonical,included
hottub-500,programmatic/hot-tubs/hot-tub-chemicals-for-500-gallons.html,hot-tubs,sanitizer_dose_by_spa_volume,spa_size_classification,hot_tub,free_chlorine,routine_adjustment,claim-fc-hottub-routine,self-canonical,included
hottub-600,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,hot-tubs,sanitizer_dose_by_spa_volume,spa_size_classification,hot_tub,free_chlorine,routine_adjustment,claim-fc-hottub-routine,self-canonical,included
