source_file,source_type,parameter,value,unit,context,pool_or_spa,sanitizer,scenario,source_of_value,generator_dependency,claim_or_calculation,review_status
scripts/data/academy-equipment.js,data_module,salt,400,ppm,"'Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).',",unspecified,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:176,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,salt,0,ppm,"'Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).',",unspecified,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:176,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,cyanuric_acid,80,ppm,'CYA of 60–80 ppm is needed for salt pool outdoor use to protect the generated chlorine from UV.',pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:179,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,120,ppm,body: 'Salt pools require the same core chemistry management as chlorine pools with one difference: the salt chlorinator generates chlorine ,pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:190,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,400,ppm,body: 'Salt pools require the same core chemistry management as chlorine pools with one difference: the salt chlorinator generates chlorine ,pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:190,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,80,ppm,body: 'Salt pools require the same core chemistry management as chlorine pools with one difference: the salt chlorinator generates chlorine ,pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:190,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,400,ppm,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,700,ppm,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,40,lbs,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,300,ppm,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,750,ppm,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,90,ppm,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,ph,200,ppm,"body: 'Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading. Salt reads 2,400 ppm — s",pool,saltwater_chlorine_generator,target_range,scripts/data/academy-equipment.js:201,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,free_chlorine,1,ppm,"body: 'The correct feed rate depends on pool volume, sun exposure, bather load, and current CYA level. Start at the mid-range setting, run t",pool,chlorine,target_range,scripts/data/academy-equipment.js:242,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-equipment.js,data_module,free_chlorine,3,ppm,"body: 'The correct feed rate depends on pool volume, sun exposure, bather load, and current CYA level. Start at the mid-range setting, run t",pool,chlorine,target_range,scripts/data/academy-equipment.js:242,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-equipment.js,data_module,ph,100,ppm,"body: 'Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid. Every time a tablet dissolves, it lowers pH an",pool,chlorine,safety_guidance,scripts/data/academy-equipment.js:247,"(data file, no direct generator)",claim,REQUIRES_REVIEW
