url,file_path,page_type,cluster,silo,generator,title,h1,meta_description,canonical,robots,word_count,visible_text_count,heading_count,internal_link_count,external_link_count,incoming_internal_links,outgoing_internal_links,schema_types,faq_count,quick_answer_present,key_takeaways_present,last_updated_present,author_present,source_links_present,calculator_present,table_present,primary_cta,indexability,sitemap_presence,redirect_status_if_known
https://waterbalancetools.com/404,404.html,error,root,core,unknown / manual,Page Not Found | WaterBalanceTools,Page not found,Home Page not found Page not found This URL does not match a page on WaterBalanceTools. Try the calculators or the full page list.,https://waterbalancetools.com/404,"noindex, follow",25,25,1,11,0,0,11,BreadcrumbList,0,false,false,true,false,false,false,false,none detected,NOINDEX,false,none
https://waterbalancetools.com/about/,about/index.html,trust,about,trust,generate-hub-pages.js / generate-hubs.js,About WaterBalanceTools | Albor Digital LLC | WaterBalanceTools,About WaterBalanceTools,"WaterBalanceTools is an independent pool and hot tub water chemistry reference, owned and operated by Albor Digital LLC.",https://waterbalancetools.com/about/,"index, follow",228,228,7,25,0,459,25,BreadcrumbList,0,false,false,true,false,false,false,false,none detected,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,academy-article,academy/equipment,academy,generate-academy.js,Automatic Chlorinators | Academy | WaterBalanceTools,Automatic Chlorinators,"Learn how automatic chlorine feeders work, the difference between inline and offline feeders, how to set the feed rate, and compatibility considerations.",https://waterbalancetools.com/academy/equipment/automatic-chlorinators,"index, follow",724,724,12,32,0,9,32,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/,academy/equipment/index.html,academy-article,academy/equipment,academy,generate-academy.js,Equipment | Academy | WaterBalanceTools,Equipment,"Pumps, filters, heaters, automation, and maintenance tips.",https://waterbalancetools.com/academy/equipment,"index, follow",219,219,3,28,0,7,28,BreadcrumbList,0,false,false,true,false,false,false,false,none detected,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/pool-filters,academy/equipment/pool-filters.html,academy-article,academy/equipment,academy,generate-academy.js,Pool Filters: How They Work | Academy | WaterBalanceTools,Pool Filters: How They Work,"Learn how pool filters work, the three main filter types, what they remove from water, and how to maintain them correctly.",https://waterbalancetools.com/academy/equipment/pool-filters,"index, follow",747,747,12,34,0,16,34,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,academy-article,academy/equipment,academy,generate-academy.js,Pool Pumps: Sizing and Turnover | Academy | WaterBalanceTools,Pool Pumps: Sizing and Turnover,"Learn how to size a pool pump correctly, calculate turnover rate, and understand why variable speed pumps save energy while improving water quality.",https://waterbalancetools.com/academy/equipment/pool-pumps,"index, follow",677,677,12,33,0,16,33,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,academy-article,academy/equipment,academy,generate-academy.js,Pool Skimmers | Academy | WaterBalanceTools,Pool Skimmers,"Learn how pool skimmers work, why correct water level is essential for skimmer performance, and how to maintain them.",https://waterbalancetools.com/academy/equipment/pool-skimmers,"index, follow",750,750,12,32,0,8,32,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/salt-systems,academy/equipment/salt-systems.html,academy-article,academy/equipment,academy,generate-academy.js,Salt Chlorinator Systems | Academy | WaterBalanceTools,Salt Chlorinator Systems,"Learn how salt chlorinator systems generate chlorine from dissolved salt, what they require in terms of water chemistry, and how to maintain the salt cell.",https://waterbalancetools.com/academy/equipment/salt-systems,"index, follow",773,773,12,32,0,12,32,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,academy-article,academy/equipment,academy,generate-academy.js,Sand Filters vs. Cartridge Filters | Academy | WaterBalanceTools,Sand Filters vs. Cartridge Filters,"Compare sand and cartridge pool filters on filtration quality, water usage, maintenance requirements, and which is the better choice for your pool.",https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,"index, follow",704,704,12,31,0,14,31,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy-article,academy/fundamentals,academy,generate-academy.js,How Temperature Changes Water Chemistry | Academy | WaterBalanceTools,How Temperature Changes Water Chemistry,"Learn how rising water temperature affects chlorine demand, pH stability, calcium solubility, and the Langelier Saturation Index.",https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,"index, follow",647,647,12,34,0,10,34,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,academy/fundamentals/how-water-balance-works.html,academy-article,academy/fundamentals,academy,generate-academy.js,How Water Balance Works | Academy | WaterBalanceTools,How Water Balance Works,"Understand what balanced pool water means, how the Langelier Saturation Index works, and why balance protects your pool surfaces and equipment.",https://waterbalancetools.com/academy/fundamentals/how-water-balance-works,"index, follow",656,656,12,36,0,15,36,Article;BreadcrumbList,0,false,true,true,false,true,true,false,calculator interaction,INDEXABLE,true,none
https://waterbalancetools.com/academy/fundamentals/,academy/fundamentals/index.html,academy-article,academy/fundamentals,academy,generate-academy.js,Fundamentals | Academy | WaterBalanceTools,Fundamentals,Core water chemistry concepts every pool owner needs to understand.,https://waterbalancetools.com/academy/fundamentals,"index, follow",220,220,3,28,0,7,28,BreadcrumbList,0,false,false,true,false,false,false,false,none detected,INDEXABLE,true,none
