family,record_id,slug,source_status,json_status,html_status,source_hash,json_hash,html_content_hash,difference_type,difference_summary,authority_status,recommended_action
"academy","fund-01","academy/fundamentals/understanding-pool-water-chemistry","PRESENT (academy-fundamentals)","PRESENT","PRESENT","248b6ab159ca","248b6ab159ca","3c923b7bf436","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-02","academy/fundamentals/how-water-balance-works","PRESENT (academy-fundamentals)","PRESENT","PRESENT","6767ea8c4907","6767ea8c4907","177b808663ee","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-03","academy/fundamentals/the-four-core-water-tests","PRESENT (academy-fundamentals)","PRESENT","PRESENT","ed62e054a690","ed62e054a690","720277dff58a","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-04","academy/fundamentals/pool-vs-hot-tub-chemistry","PRESENT (academy-fundamentals)","PRESENT","PRESENT","bb45117d9e45","bb45117d9e45","116aac918538","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-05","academy/fundamentals/how-temperature-changes-water-chemistry","PRESENT (academy-fundamentals)","PRESENT","PRESENT","1bd50ba82b42","1bd50ba82b42","221b0fef90fc","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-06","academy/fundamentals/why-water-testing-matters","PRESENT (academy-fundamentals)","PRESENT","PRESENT","9f37ec62debe","9f37ec62debe","b674e69deba8","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-07","academy/fundamentals/new-pool-startup-chemistry","MISSING","PRESENT","PRESENT","","1eade03ab752","635417f0f378","SOURCE_MISSING","Record exists in data/academy.json and as a live HTML page but has no corresponding entry in any scripts/data/academy-*.js source file","AMBIGUOUS_SOURCE","PRESERVE_PENDING_DECISION"
"academy","san-01","academy/sanitizers/understanding-free-chlorine","PRESENT (academy-sanitizers)","PRESENT","PRESENT","5ce296c5e1b7","5ce296c5e1b7","6b9255542488","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","san-02","academy/sanitizers/combined-chlorine-explained","PRESENT (academy-sanitizers)","PRESENT","PRESENT","be73783e0396","be73783e0396","6fc870492abf","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","san-03","academy/sanitizers/breakpoint-chlorination","PRESENT (academy-sanitizers)","PRESENT","PRESENT","3e06966d0707","bd8ac58146b5","82ceb3da0532","CONTENT_DRIFT","JSON sources[] array has one extra citation (""Indiana Department of Health...How To Shock The Pool...2022"") absent from academy-sanitizers.js -- pre-existing, first flagged (and preserved, not fixed) by Phase 7X","AMBIGUOUS_SOURCE","RECONCILE_SOURCE (future phase decision)"
"academy","san-04","academy/sanitizers/liquid-chlorine-vs-tablets","PRESENT (academy-sanitizers)","PRESENT","PRESENT","1c350dbb8cd5","1c350dbb8cd5","c53954b69a5b","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","san-05","academy/sanitizers/shock-treatments-explained","PRESENT (academy-sanitizers)","PRESENT","PRESENT","f34b7c79ad34","f34b7c79ad34","34f782c09d30","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","san-06","academy/sanitizers/bromine-vs-chlorine","PRESENT (academy-sanitizers)","PRESENT","PRESENT","2ed1b3ed64cb","2ed1b3ed64cb","b3c8ce1c7652","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","test-01","academy/testing/using-test-strips","PRESENT (academy-testing)","PRESENT","PRESENT","7299c9afb8ff","7299c9afb8ff","001f653e7a83","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","test-02","academy/testing/using-liquid-test-kits","PRESENT (academy-testing)","PRESENT","PRESENT","54a90b763e2f","54a90b763e2f","d1f3bf619aec","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","test-03","academy/testing/digital-pool-testers","PRESENT (academy-testing)","PRESENT","PRESENT","6b6404e86350","6b6404e86350","3db0b0439b9a","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","test-04","academy/testing/how-often-to-test-water","PRESENT (academy-testing)","PRESENT","PRESENT","17c99bc43d40","17c99bc43d40","976ac9ec2c91","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","test-05","academy/testing/understanding-test-results","PRESENT (academy-testing)","PRESENT","PRESENT","76881ef86fc1","76881ef86fc1","5e43b3b458a3","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","test-06","academy/testing/common-testing-mistakes","PRESENT (academy-testing)","PRESENT","PRESENT","a94435924bb9","a94435924bb9","c35ab0afa803","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","wb-01","academy/water-balance/understanding-ph","PRESENT (academy-water-balance)","PRESENT","PRESENT","82ccb520e3f3","82ccb520e3f3","0ff211a273b7","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","wb-02","academy/water-balance/understanding-total-alkalinity","PRESENT (academy-water-balance)","PRESENT","PRESENT","acf8299ae0a1","acf8299ae0a1","b945f6e45287","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","wb-03","academy/water-balance/understanding-calcium-hardness","PRESENT (academy-water-balance)","PRESENT","PRESENT","1fa93bdb07a4","1fa93bdb07a4","e5bd3fce1f2e","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","wb-04","academy/water-balance/understanding-cyanuric-acid","PRESENT (academy-water-balance)","PRESENT","PRESENT","0ed7ae4b742d","0ed7ae4b742d","da13aa11e57e","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","wb-05","academy/water-balance/understanding-lsi","PRESENT (academy-water-balance)","PRESENT","PRESENT","b61bf6563930","b61bf6563930","0136109f386c","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","wb-06","academy/water-balance/water-balance-order","PRESENT (academy-water-balance)","PRESENT","PRESENT","0fa8319dc9cf","0fa8319dc9cf","76e76835dc43","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ts-01","academy/troubleshooting/cloudy-water","PRESENT (academy-troubleshooting)","PRESENT","PRESENT","01f7fb8f44cb","bb31478dd902","4b2d618198e0","CONTENT_DRIFT","JSON relatedResources[] has one extra link (""/maintenance/how-to-fix-cloudy-hot-tub"") absent from academy-troubleshooting.js -- pre-existing; Phase 7X REVIEW-QUEUE.md misattributed this to ts-04 instead of ts-01, corrected here","AMBIGUOUS_SOURCE","RECONCILE_SOURCE (future phase decision)"
"academy","ts-02","academy/troubleshooting/green-water","PRESENT (academy-troubleshooting)","PRESENT","PRESENT","b90e30150b9d","b90e30150b9d","4c5afa27f9df","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ts-03","academy/troubleshooting/foaming-hot-tubs","PRESENT (academy-troubleshooting)","PRESENT","PRESENT","054595edeff6","054595edeff6","a7328425b647","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ts-04","academy/troubleshooting/strong-chlorine-smell","PRESENT (academy-troubleshooting)","PRESENT","PRESENT","754f3e7bfdc7","c3164586cfc3","7607e1d18600","CONTENT_DRIFT","examples[0].body differs by a single punctuation character (em-dash in source vs double-hyphen in JSON) -- newly discovered, introduced by Phase 7X itself (two different edit mechanisms used for the same logical change: Edit tool on the source file vs a node string-replacement script on the JSON)","CONFIRMED (source is correct; JSON has the typo)","NORMALIZE_JSON_TO_SOURCE (trivial, future phase)"
"academy","ts-05","academy/troubleshooting/scaling","PRESENT (academy-troubleshooting)","PRESENT","PRESENT","de0d9f62fd7c","de0d9f62fd7c","5e7a3f00628c","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ts-06","academy/troubleshooting/corrosion","PRESENT (academy-troubleshooting)","PRESENT","PRESENT","fc043a8922af","fc043a8922af","f6ec9f9aeaf1","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ht-01","academy/hot-tubs/daily-spa-maintenance","PRESENT (academy-hot-tubs)","PRESENT","PRESENT","c39fdd9fc3d3","c39fdd9fc3d3","eb4d7df07da9","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ht-02","academy/hot-tubs/weekly-spa-maintenance","PRESENT (academy-hot-tubs)","PRESENT","PRESENT","a7dd029da766","a7dd029da766","42e5c26ab7de","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ht-03","academy/hot-tubs/monthly-spa-maintenance","PRESENT (academy-hot-tubs)","PRESENT","PRESENT","ad69b2ee056f","ad69b2ee056f","568b4a8e28ec","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ht-04","academy/hot-tubs/refilling-your-hot-tub","PRESENT (academy-hot-tubs)","PRESENT","PRESENT","5b7d9ee6fa17","5b7d9ee6fa17","b8e74904b793","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ht-05","academy/hot-tubs/shock-after-heavy-use","PRESENT (academy-hot-tubs)","PRESENT","PRESENT","79ef3e508841","79ef3e508841","e8c499398cdc","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","ht-06","academy/hot-tubs/winter-spa-care","PRESENT (academy-hot-tubs)","PRESENT","PRESENT","4f6a72af9d62","4f6a72af9d62","56e3f851414a","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","eq-01","academy/equipment/pool-filters","PRESENT (academy-equipment)","PRESENT","PRESENT","6c0239b40c95","6c0239b40c95","04ec90e31100","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","eq-02","academy/equipment/sand-vs-cartridge-filters","PRESENT (academy-equipment)","PRESENT","PRESENT","3bcfe4a6a6f4","3bcfe4a6a6f4","59fc4070682c","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","eq-03","academy/equipment/pool-pumps","PRESENT (academy-equipment)","PRESENT","PRESENT","c9ca641a9a21","c9ca641a9a21","1797ddc490ba","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","eq-04","academy/equipment/salt-systems","PRESENT (academy-equipment)","PRESENT","PRESENT","cdd4a644c931","cdd4a644c931","180e9c557152","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","eq-05","academy/equipment/automatic-chlorinators","PRESENT (academy-equipment)","PRESENT","PRESENT","fcc15dbad994","fcc15dbad994","c7d6d22e647d","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","eq-06","academy/equipment/pool-skimmers","PRESENT (academy-equipment)","PRESENT","PRESENT","31fb67419aa6","31fb67419aa6","d7adadc763b8","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","vr-01","academy/vacation-rentals/turnover-checklist","PRESENT (academy-vacation-rentals)","PRESENT","PRESENT","1eff5445e643","1eff5445e643","2298a12b4e9d","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","vr-02","academy/vacation-rentals/guest-safety","PRESENT (academy-vacation-rentals)","PRESENT","PRESENT","0c9d4265269f","0c9d4265269f","0e13f505ccd2","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","vr-03","academy/vacation-rentals/chemical-log-sheets","PRESENT (academy-vacation-rentals)","PRESENT","PRESENT","93ad594ab70d","93ad594ab70d","3015ebd86faa","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","vr-04","academy/vacation-rentals/maintenance-schedule","PRESENT (academy-vacation-rentals)","PRESENT","PRESENT","ef278544ec9e","ef278544ec9e","582b0057a3a1","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","vr-05","academy/vacation-rentals/weekly-inspection","PRESENT (academy-vacation-rentals)","PRESENT","PRESENT","5f10067637ee","5f10067637ee","68c621190692","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","vr-06","academy/vacation-rentals/emergency-water-recovery","PRESENT (academy-vacation-rentals)","PRESENT","PRESENT","e513f755cc42","e513f755cc42","5a9b3d2a0efe","MATCH","Record present and content-identical in source and JSON","CONFIRMED","NONE"
"academy","fund-08","academy/fundamentals/indoor-pool-chemistry","MISSING","PRESENT","PRESENT","","23ffcfe8381b","e7882ca12f24","SOURCE_MISSING","Record exists in data/academy.json and as a live HTML page but has no corresponding entry in any scripts/data/academy-*.js source file","AMBIGUOUS_SOURCE","PRESERVE_PENDING_DECISION"
