claim_id,page,parameter,environment,sanitizer,scenario,claim_text,numeric_value,unit,source_id,source_type,source_title,source_organization,source_date,source_url,evidence_excerpt,evidence_status,decision,production_action,review_notes
claim-shock-breakpoint-rule,academy/sanitizers/breakpoint-chlorination.html; entities/breakpoint-chlorination.html; entities/shock-treatment.html,shock_treatment,pool,chlorine,shock,"To reach breakpoint chlorination, dose free chlorine to approximately 10x the current combined chlorine reading.",10,multiplier_of_combined_chlorine,in-doh-breakpoint-chlorination-2022,government_public_health,How To Shock The Pool (Chlorinate To Breakpoint),"Indiana Department of Health, Environmental Public Health Division",2022,https://www.in.gov/health/eph/files/How-To-Shock-The-Pool-2022.pdf,"""The breakpoint chlorination value is 10 times the combined chlorine (CC) level."" (page 4, with full worked calculations built on the same ratio throughout)",DIRECT_SUPPORT,SUPPORTED,Registered new source; updated claim-shock-breakpoint-rule and range-shock-breakpoint-rule-of-thumb status REQUIRES_REVIEW->SUPPORTED in chemistry-claims.js/chemistry-ranges.js; rendered real citation on 3 pages; added plain-text source to academy.json breakpoint-chlorination article,"Upgraded from REQUIRES_REVIEW (zero source_ids since Phase 7E) to SUPPORTED. Source is government/public-health tier, read in full (12 pages)."
claim-cc-definition-and-breakpoint-trigger,entities/combined-chlorine.html,shock_treatment,pool,chlorine,definition,"Combined chlorine (CC) is the difference between total chlorine and free chlorine. When CC exceeds 0.5 ppm, breakpoint chlorination (shock treatment) is required.",0.5,ppm,in-doh-breakpoint-chlorination-2022,government_public_health,How To Shock The Pool (Chlorinate To Breakpoint),"Indiana Department of Health, Environmental Public Health Division",2022,https://www.in.gov/health/eph/files/How-To-Shock-The-Pool-2022.pdf,"""The combined chlorine (CC) level is calculated by subtracting the free chlorine (FC) from the total chlorine (TC)... Rule 410 IAC 6-2.1-30(e) requires 'The pool water shall be superchlorinated to breakpoint... when the pool test kit reveals a combined chlorine (chloramine) concentration of five-tenths (0.5) parts per million (ppm) or greater.'""",DIRECT_SUPPORT,SUPPORTED,Rendered new real citation on entities/combined-chlorine.html via ENTITY_CITATIONS,"Note: the source's OWN staff recommendation is a stricter 0.2ppm trigger, not adopted here -- the site's 0.5ppm figure matches the regulatory citation exactly, which is what was cited."
routine-maintenance-shock-2-5ppm,entities/shock-treatment.html (not directly claimed there; tracked via chemistry-sources.js notes),shock_treatment,pool,chlorine,routine_maintenance,Shocking is the simple addition of a few parts per million (usually 2-5 ppm) for general water cleanup.,2-5,ppm,poolspanews-algae-breakpoint-2016,professional_trade_publication,Have Algae? Confused about How Much Liquid Shock to Use?,Pool & Spa News / Taylor Technologies,2016-10-31,https://www.poolspanews.com/how-to/maintenance/have-algae-confused-about-how-much-liquid-shock-to-use,"""shocking is the simple addition of a few parts per million (usually 2-5 ppm)""",DIRECT_SUPPORT (single professional source only),REQUIRES_REVIEW,None -- correctly not promoted to SUPPORTED,"Genuinely conflicts with the 10-20ppm figure below; disagreement is NOT explained by environment/sanitizer/scenario differences found in either source. Re-checked this phase against 3 additional sources (PHTA Calcium Hypochlorite fact sheet, PHTA Water Conservation fact sheet, Indiana DOH breakpoint document) -- none states a general residential routine-shock absolute ppm figure. Genuine, still-unresolved professional disagreement."
routine-maintenance-shock-10-20ppm,entities/shock-treatment.html (not directly claimed there; tracked via chemistry-sources.js notes),shock_treatment,pool,chlorine,routine_maintenance,"Superchlorination (routine maintenance / after heavy swim load, storms, early algae) raises free chlorine to 10-20 ppm.",10-20,ppm,aquamagazine-hasa-superchlorination-2020,professional_trade_publication,"Shock: Oxidation, Superchlorination, Hyperchlorination and Breakpoint Chlorination",AQUA Magazine (author Terry Arko); syndicated by HASA (manufacturer),2020-09-04,https://hasa.com/blog/shock-oxidation-superchlorination-hyperchlorination-and-breakpoint-chlorination,"""superchlorination... raises free chlorine to 10-20 ppm"" -- does not separately distinguish routine maintenance from algae-specific dosing",DIRECT_SUPPORT (single professional source only),REQUIRES_REVIEW,None -- correctly not promoted to SUPPORTED,"Same genuine conflict as above, from the opposite side. This source explicitly does NOT distinguish routine from algae-specific, which is itself informative: it suggests the site's own prior 3-tier model (10/20/30) may be a false precision the underlying professional literature doesn't actually support at that granularity -- but this is an inference, not sourced, so not encoded as fact."
routine-shock-checked-against-phta-calhypo,"entities/calcium-hypochlorite.html (checked, not claimed)",shock_treatment,pool,calcium_hypochlorite,routine_maintenance,Checked whether this source states a general residential shock ppm target.,,ppm,phta-calcium-hypochlorite-fact-sheet-2021,industry_standard,Calcium Hypochlorite (PHTA Fact Sheet),"Pool & Hot Tub Alliance (PHTA), Recreational Water Quality Committee",2021-08,https://www.phta.org/pub/?id=07FD3498-1866-DAAC-99FB-8824A8F3147B,"""Label use instructions will similarly define dosage requirements for other product applications such as oxidation, shock treatment, or superchlorination"" -- defers to product labels, states no number",NO_SUPPORT (explicitly defers),OUT_OF_SCOPE,None,Re-verified this phase (previously found in Phase 7Q); confirms this source cannot resolve the routine-shock disagreement.
routine-shock-checked-against-in-doh,"n/a (checked, not claimed on any page)",shock_treatment,pool,chlorine,routine_maintenance,Checked whether the Indiana DOH breakpoint document states a general residential/routine absolute shock ppm target.,,ppm,in-doh-breakpoint-chlorination-2022,government_public_health,How To Shock The Pool (Chlorinate To Breakpoint),"Indiana Department of Health, Environmental Public Health Division",2022,https://www.in.gov/health/eph/files/How-To-Shock-The-Pool-2022.pdf,Document states only the breakpoint RATIO (10x CC) and a regulatory CC trigger (0.5ppm); it never states an absolute routine-maintenance FC ppm target independent of a measured CC reading.,NO_SUPPORT (topic not addressed),OUT_OF_SCOPE,None,"New this phase: confirms even the highest-tier (government) source found to date does not resolve the general residential routine-shock disagreement. Strengthens confidence that REQUIRES_REVIEW is the scientifically honest disposition, not an evidence gap this project failed to search hard enough for."
water-replacement-tds-hottub-1500ppm,entities/water-replacement.html,total_dissolved_solids,hot_tub,n/a,water_replacement,"TDS (hot tubs) 1,500 ppm over baseline triggers a complete water change.",1500,ppm,phta-water-conservation-droughts-2021,industry_standard,Water Conservation During Droughts (PHTA Fact Sheet),"Pool & Hot Tub Alliance (PHTA), Recreational Water Quality Committee",2021-12,https://www.phta.org/pub/?id=50ffe77d-1866-daac-99fb-9719108d1367,"""the 1,500 ppm TDS increase limit"" stated directly as the recognized water-replacement trigger",DIRECT_SUPPORT,SUPPORTED (resolved Phase 7Q; re-verified this phase),Citation already rendered on entities/water-replacement.html (Phase 7Q); re-verified live and unchanged this phase,Re-confirmed unchanged from Phase 7Q's finding; no new evidence needed.
water-replacement-cya-80ppm,entities/water-replacement.html; reference/water-replacement-guidelines.html,cyanuric_acid,pool,chlorine,water_replacement,Pool partial drains are triggered by CYA above 80 ppm.,80,ppm,,,,,,,,NOT_FOUND (2 fresh searches this phase found only consumer-blog sources; no primary source states this exact 80ppm figure),REQUIRES_REVIEW,"None -- not promoted, not removed","The closest authoritative figure found (ANSI/APSP-11, via the PHTA drought fact sheet) is a 100ppm CYA maximum with 30-50ppm ideal -- a different number for a different purpose (regulatory ceiling, not a residential drain-trigger heuristic). 80ppm is plausible and non-contradicted (comfortably under the 100ppm ceiling) but not independently confirmed. REMOVE was considered per Section 6's explicit option and rejected: the figure is plausible, non-contradicted, and removing it would reduce actionable guidance without a corresponding accuracy gain -- DEFER is the proportionate action, consistent with this project's minimum-necessary-change principle."
water-replacement-calcium-500ppm,entities/water-replacement.html; reference/water-replacement-guidelines.html,calcium_hardness,pool,n/a,water_replacement,Pool partial drains are triggered by calcium above 500 ppm.,500,ppm,,,,,,,,NOT_FOUND (2 fresh searches this phase found only consumer-blog sources and an AI-search-summary claim that could not be traced to the actual PHTA fact sheet text on a full re-read),REQUIRES_REVIEW,"None -- not promoted, not removed","A WebSearch AI summary claimed the PHTA drought fact sheet states a ""500ppm"" calcium drain threshold; the same document was already read in full in Phase 7Q and does NOT contain this figure (only the general 150-1000ppm ANSI/APSP-11 acceptable range). This is flagged explicitly as a caught AI-summary hallucination, not adopted as evidence -- see RESEARCH.md Section 10. 500ppm remains plausible (within the 150-1000ppm range) but unconfirmed."
water-replacement-pool-tds-3000ppm,entities/water-replacement.html; reference/water-replacement-guidelines.html,total_dissolved_solids,pool,non_salt,water_replacement,"TDS (pools) above 3,000 ppm (non-salt) triggers a partial drain.",3000,ppm,,,,,,,,NOT_FOUND,REQUIRES_REVIEW,"None -- not promoted, not removed","No source found (this phase or Phase 7Q) states a specific absolute non-salt-pool TDS ppm trigger. The PHTA drought fact sheet's only concrete TDS figure is the 1,500ppm INCREASE-over-baseline trigger (already cited for hot tubs), a different metric (relative increase vs. absolute value) than this pool-specific absolute figure."
