entity_id,page,total_claims,supported_count,contextual_count,requires_review_count,non_claim_count,unsupported_count,decision,reason,production_change_made
"free-chlorine","entities/free-chlorine.html","5","0","0","5","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"combined-chlorine","entities/combined-chlorine.html","4","0","1","3","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-combined-chlorine-0008. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"total-chlorine","entities/total-chlorine.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-total-chlorine-0013. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"bromine","entities/bromine.html","4","0","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"cyanuric-acid","entities/cyanuric-acid.html","6","1","0","5","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"calcium-hardness","entities/calcium-hardness.html","6","0","0","6","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-calcium-hardness-0026, ec-calcium-hardness-0027, ec-calcium-hardness-0028. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"salt","entities/salt.html","5","1","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"total-dissolved-solids","entities/total-dissolved-solids.html","4","0","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"phosphate","entities/phosphate.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-phosphate-0041. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"copper","entities/copper.html","3","0","0","3","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-copper-0043, ec-copper-0045. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
