item,file,category,claim_summary,evidence_reviewed,decision,production_action,risk,reason
1,guides/chlorine/free-chlorine-vs-total-chlorine.html,C,"'Use the shock calculator for your exact pool size' immediately after a 10x-CC breakpoint instruction",Confirmed calculator has no CC input and only 5/10/15/20 ppm presets (grep of calculators/pool-shock-calculator.html),CORRECT,"Edited true source scripts/generate-authority-guides.js: preserved 10x-CC concept, added explicit non-capability statement, stated actual preset behavior, gave correct manual-formula usage path",low,Priority A target named explicitly in phase spec Section 6
2,programmatic/shock/*.html (6 pages),D,"FAQ: 'Confirm with the calculator using your actual current reading' attached to a ~30ppm algae-recovery figure",Confirmed calculator's highest preset is 20ppm with no free-text entry -- 30ppm is not achievable via the tool,CORRECT,"Edited true source scripts/generators/generate-shock-pages.js FAQ answer: 10ppm figure correctly attributed to the calculator preset; 30ppm figure reframed as a reference estimate to confirm against product label",low,Priority B target named explicitly in phase spec Section 7; shockOz() numeric formula and breakpoint terminology left untouched (out of scope)
2b,programmatic/shock/*.html (6 pages),A,"HowTo/steps: 'choose... a stronger breakpoint dose... per label' (x2 phrases)",Read in full sentence context,NO ACTION,None -- already correctly defers to product label rather than claiming calculator capability,none,Not a capability misattribution
3,academy/sanitizers/breakpoint-chlorination.html,D,"Step 5: 'use the pool shock calculator to determine... pounds... to raise FC to that target level' for an arbitrary CC-derived target",Confirmed target (8ppm) is not a calculator preset; no free-text entry exists,CORRECT,Edited true source scripts/data/academy-sanitizers.js Step 5: states actual preset-based behavior and manual-formula path,low,Directly misattributes an unsupported capability
4,academy/sanitizers/breakpoint-chlorination.html,D,"'Breakpoint Calculation' worked example: 'approximately 4.5 lbs' for 8ppm/15000gal/65% cal-hypo",node -e verification: 8*15000*0.013344/65/16 = 1.54 lb (not 4.5),CORRECT,Edited true source: corrected figure to 1.54 lb; reattributed from 'the calculator shows' to manual formula application,low,Independently-verified arithmetic error
5,academy/sanitizers/shock-treatments-explained.html,D,"'Weekly Shock Routine' worked example: 'the shock calculator indicates 3.5 lbs' for 6ppm/20000gal/65% cal-hypo",node -e verification: 6*20000*0.013344/65/16 = 1.54 lb (not 3.5),CORRECT,Edited true source scripts/data/academy-sanitizers.js: corrected figure to 1.54 lb; reattributed to shock dose formula,low,Independently-verified arithmetic error
6,academy/troubleshooting/strong-chlorine-smell.html,D,"'the-fix' section: 'Calculate the dose using the shock calculator (combined chlorine x 10 x pool volume factor)' -- explicit false description of calculator internals",Confirmed calculator has no CC input; no such formula exists in js/calc-utils.js or js/calculator.js,CORRECT,Edited true source scripts/data/academy-troubleshooting.js: replaced false formula description with accurate calculator behavior statement,low,Most severe finding -- explicit misstatement of tool mechanism not merely an implication
7,academy/troubleshooting/strong-chlorine-smell.html,D,"'Fixing Pool Party Aftermath' worked example: 'The shock calculator shows approximately 8 lbs' for 13ppm/20000gal/65% cal-hypo",node -e verification: 13*20000*0.013344/65/16 = 3.34 lb (not 8),CORRECT,Edited true source: corrected figure to 3.34 lb; reattributed to manual formula application,low,Independently-verified arithmetic error
8,glossary/breakpoint-dose.html (gl-096),C,"'Use the shock calculator to determine how many pounds of product are needed to reach this target' for an arbitrary CC-derived target",Same non-capability confirmation as items 1/3,CORRECT,Edited true source scripts/data/glossary-terms.js: replaced with non-capability statement and preset/formula guidance,low,Same class of finding as item 1
9,reference/combined-chlorine-explained.html (FAQ + body),C,"'Use cal-hypo shock (65-73%) calculated for your pool volume with the shock calculator' following a 10x-CC instruction (2 identical occurrences)",Confirmed hand-authored/static page after exhaustive generator search,CORRECT,Direct edit (no generator) to both occurrences: manual-formula instruction replacing calculator attribution,low,Page confirmed static; smallest-source edit is the page itself
