url,page_type,tier,eligible_claims,supported_claims,cited_claims,citation_count,source_count,uncited_supported_claims,reason
"/entities/trichlor-tablets.html","entity","TIER_1","1","1","1","2","2","0","Trichlor + calcium hypochlorite mixing hazard, fully cited"
"/entities/green-water.html","entity","TIER_1","1","1","1","1","1","0","Green algae 30ppm shock figure, fully cited"
"/entities/temperature.html","entity","TIER_1","1","1","1","1","1","0","Hot tub 104F max safety figure, fully cited"
"/entities/shock-treatment.html","entity","TIER_1","1","1","1","1","1","2","Algae-recovery figure cited with scoping note; routine-maintenance (10ppm) and breakpoint-rule (10x CC) figures in same paragraph remain uncited -- REQUIRES_REVIEW"
"/entities/vinyl-pool.html","entity","TIER_1","1","1","1","1","1","0","Material claim (liner bleaching), fully cited"
"/calculators/pool-chlorine-calculator.html","calculator","TIER_1","1","1","1","2","2","0","Pre-existing (Phase 7E), reconfirmed"
"/calculators/hot-tub-chlorine-calculator.html","calculator","TIER_1","1","1","1","1","1","0","Pre-existing (Phase 7E), reconfirmed"
"/calculators/pool-ph-calculator.html","calculator","TIER_1","1","1","1","1","1","0","Gap closed this phase (found citable in 7E, never rendered)"
"/calculators/chemical-calculator.html","calculator","TIER_1","6","4","4","4","4","0","pH/FC/TA/CH cited; CYA/salt target ranges and all dosing constants remain unsupported, explicitly disclosed in the rendered note"
"/calculators/pool-shock-calculator.html","calculator","NOT_ELIGIBLE","0","0","0","0","0","0","CALCULATOR_REVIEW_REQUIRED, no confirmed source for breakpoint rule-of-thumb"
"/pool-alkalinity-levels-chart.html","authority_chart","TIER_1","1","1","1","1","1","0","Pre-existing (Phase 7E), reconfirmed"
"/hot-tub-chlorine-levels-chart.html","authority_chart","TIER_1","1","1","1","1","1","0","Pre-existing (Phase 7E), reconfirmed"
"/pool-chlorine-levels-chart.html","authority_chart","TIER_1","1","1","1","1","1","0","Row corrected (20ppm->30ppm, Step 16 sync) and cited this phase"
"/pool-cya-levels-chart.html","authority_chart","NOT_ELIGIBLE","0","0","0","0","0","0","Ideal-range row has no confirmed source (REQUIRES_REVIEW)"
"/hot-tub-chemical-levels-chart.html","authority_chart","TIER_2","6","2","0","0","0","2","FC and CYA rows are supported but the single-citation-block-per-page architecture cannot express row-level support without a content restructure -- not cited this phase, flagged to review queue"
"/salt-water-pool-chemical-levels-chart.html","authority_chart","TIER_2","7","2","0","0","0","2","TA and CH rows are supported but mixed with unsupported/mismatched rows on the same page -- not cited this phase, flagged to review queue"
"/programmatic/shock/how-much-shock-for-5000-gallon-pool.html","programmatic","TIER_1","1","1","1","1","1","0","Green-algae-recovery row cited at generator level"
"/programmatic/shock/how-much-shock-for-10000-gallon-pool.html","programmatic","TIER_1","1","1","1","1","1","0","Green-algae-recovery row cited at generator level"
"/programmatic/shock/how-much-shock-for-15000-gallon-pool.html","programmatic","TIER_1","1","1","1","1","1","0","Green-algae-recovery row cited at generator level"
"/programmatic/shock/how-much-shock-for-20000-gallon-pool.html","programmatic","TIER_1","1","1","1","1","1","0","Green-algae-recovery row cited at generator level"
"/programmatic/shock/how-much-shock-for-25000-gallon-pool.html","programmatic","TIER_1","1","1","1","1","1","0","Green-algae-recovery row cited at generator level"
"/programmatic/shock/how-much-shock-for-30000-gallon-pool.html","programmatic","TIER_1","1","1","1","1","1","0","Green-algae-recovery row cited at generator level"
