claim_id,source_url,source_file,source_claim,parameter_id,minimum,maximum,unit,value_type,environment,claim_type,extraction_status,scientific_review_status,source_registry_ids,review_required,notes
706ee4c1f8146c9b,about/index.html,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,,1,1,ph_units,ph_value,pool,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
86eb5826321ccae7,about/index.html,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,,0,0,,unknown,pool,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
a7ad72cc984f5ca0,about/index.html,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,,98,98,,unknown,pool,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
3b0c2a106a285fb3,about/index.html,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,,100,100,,unknown,pool,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
1d408f7babb92d86,about/index.html,about/index.html,What This Site Is WaterBalanceTools is a free reference library for pool and hot tub water chemistry.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
8a45220f23403ecf,about/index.html,about/index.html,Methodology All chemical dosing calculations are based on published industry standards and widely accepted water chemistry formulas.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
ecf4d94e3576db23,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Automatic Feeders Work Setting the Feed Rate Compatibility Considerations Examples Common Mistakes Calculators Pool Chlorine Calculator Equipment 5 min read Upda…,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
61208cbc70f82de9,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,They provide consistent dosing between maintenance visits.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
0f1e6837022448f2,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,Both types achieve the same result: continuous low-level chlorine dosing between maintenance visits.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
1fbe757ef42ab13a,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"Setting the Feed Rate The correct feed rate depends on pool volume, sun exposure, bather load, and current CYA level.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
badfb2be1864db9c,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"Start at the mid-range setting, run the system for 24–48 hours, and test free chlorine.",,24,48,hours,duration,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
d825d04608b4d6af,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"If FC is below target (1 ppm), increase the feed rate.",free_chlorine,1,1,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,SUPPORTED,,false,
3e49c6db1acdc148,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"If FC is above 3 ppm consistently, decrease it.",free_chlorine,3,3,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,SUPPORTED,,false,
b7f80f7c590da5da,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"In summer with heavy UV and bather load, the feeder setting for early spring will likely under-dose.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
