parameter,context_a,range_a,context_b,range_b,relationship,status,explanation
ph,pool/chlorine/routine_maintenance,range-ph-pool-chlorine-routine [7-7.8 pH_units],hot_tub/chlorine/routine_maintenance,range-ph-hottub-chlorine-routine [7-7.8 pH_units],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
ph,pool/chlorine/routine_maintenance,range-ph-pool-chlorine-routine [7-7.8 pH_units],hot_tub/bromine/routine_maintenance,range-ph-hottub-bromine-routine [7-7.8 pH_units],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
ph,pool/chlorine/routine_maintenance,range-ph-pool-chlorine-routine [7-7.8 pH_units],pool/unspecified/target_range,range-ph-pool-narrow-operational [7.2-7.6 pH_units],different sanitizer (chlorine vs unspecified),CONSISTENT_CONTEXT_DIFFERENCE,Different sanitizer chemistries are not directly comparable on the same numeric scale/target.
ph,hot_tub/chlorine/routine_maintenance,range-ph-hottub-chlorine-routine [7-7.8 pH_units],hot_tub/bromine/routine_maintenance,range-ph-hottub-bromine-routine [7-7.8 pH_units],different sanitizer (chlorine vs bromine),CONSISTENT_CONTEXT_DIFFERENCE,Different sanitizer chemistries are not directly comparable on the same numeric scale/target.
ph,hot_tub/chlorine/routine_maintenance,range-ph-hottub-chlorine-routine [7-7.8 pH_units],pool/unspecified/target_range,range-ph-pool-narrow-operational [7.2-7.6 pH_units],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
ph,hot_tub/bromine/routine_maintenance,range-ph-hottub-bromine-routine [7-7.8 pH_units],pool/unspecified/target_range,range-ph-pool-narrow-operational [7.2-7.6 pH_units],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
free_chlorine,pool/chlorine/routine_maintenance,range-fc-pool-chlorine-no-cya [1-3 ppm],pool/chlorine/routine_maintenance,range-fc-pool-chlorine-with-cya [2-4 ppm],"same context, overlapping ranges",CONSISTENT_CONTEXT_DIFFERENCE,Ranges overlap (e.g. a narrower practical target nested inside a wider acceptable standard) -- not a conflict.
free_chlorine,pool/chlorine/routine_maintenance,range-fc-pool-chlorine-no-cya [1-3 ppm],hot_tub/chlorine/routine_maintenance,range-fc-hottub-chlorine-routine [3-5 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
free_chlorine,pool/chlorine/routine_maintenance,range-fc-pool-chlorine-with-cya [2-4 ppm],hot_tub/chlorine/routine_maintenance,range-fc-hottub-chlorine-routine [3-5 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
total_alkalinity,pool/unspecified/target_range,range-ta-public-pool-standard [60-180 ppm],pool/unspecified/target_range,range-ta-residential-practical [80-120 ppm],"same context, overlapping ranges",CONSISTENT_CONTEXT_DIFFERENCE,Ranges overlap (e.g. a narrower practical target nested inside a wider acceptable standard) -- not a conflict.
total_alkalinity,pool/unspecified/target_range,range-ta-public-pool-standard [60-180 ppm],hot_tub/unspecified/target_range,range-ta-hottub [80-120 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
total_alkalinity,pool/unspecified/target_range,range-ta-residential-practical [80-120 ppm],hot_tub/unspecified/target_range,range-ta-hottub [80-120 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
