page,old_title,old_length,new_title,new_length,fix_location,notes
entities/* (104 pages),"{Name} — Pool Chemistry Entity | WaterBalanceTools",varies (11 exceeded 65),"{Name} | WaterBalanceTools",varies (0 exceed 65),scripts/generate-entity-pages.js (generator),"Removed redundant ""Pool Chemistry Entity"" -- the entity name itself already signals the topic; the type badge remains visible on-page."
glossary/* (100 pages),"{Term}: Definition | Glossary | WaterBalanceTools",varies (7 exceeded 65),"{Term} | Glossary | WaterBalanceTools (falls back to {Term} | WaterBalanceTools if still over 65)",varies (0 exceed 65),scripts/generate-glossary.js (generator),"Removed redundant ""Definition"" wording (Glossary already implies definition). Length-aware fallback prevents any regression."
reference/cya-matrix.html,CYA Level and Minimum Free Chlorine Matrix | Reference | WaterBalanceTools,74,CYA & Minimum Free Chlorine Matrix | WaterBalanceTools,54,scripts/data/reference-pages.js (title field) + scripts/generate-reference.js (length-aware category fallback),"""Level and"" -> ""&"" is the only wording change; H1 (fed by the same title field) also shortened for H1/title consistency."
reference/ideal-spa-levels.html,Ideal Spa & Hot Tub Chemical Levels | Reference | WaterBalanceTools,67,Ideal Spa & Hot Tub Chemical Levels | WaterBalanceTools,55,scripts/generate-reference.js (length-aware category fallback),No wording change; only the redundant "| Reference" category marker dropped since it no longer fit.
reference/ph-table.html,Pool pH Adjustment Reference Table | Reference | WaterBalanceTools,66,Pool pH Adjustment Reference Table | WaterBalanceTools,54,scripts/generate-reference.js (length-aware category fallback),Same pattern.
reference/pool-shape-guide.html,Pool Shape & Volume Calculation Guide | Reference | WaterBalanceTools,69,Pool Shape & Volume Guide | Reference | WaterBalanceTools,57,scripts/data/reference-pages.js (title field),"""Calculation"" removed as redundant with ""Guide""; category marker retained since it now fits."
reference/recommended-water-temperature.html,Recommended Pool & Spa Water Temperature | Reference | WaterBalanceTools,72,Recommended Pool & Spa Water Temperature | WaterBalanceTools,60,scripts/generate-reference.js (length-aware category fallback),No wording change.
reference/testing-frequency.html,Pool & Spa Testing Frequency Guide | Reference | WaterBalanceTools,66,Pool & Spa Testing Frequency Guide | WaterBalanceTools,54,scripts/generate-reference.js (length-aware category fallback),No wording change.
reference/vacation-rental-maintenance-schedule.html,Vacation Rental Pool Maintenance Schedule | Reference | WaterBalanceTools,73,Vacation Rental Pool Maintenance Schedule | WaterBalanceTools,61,scripts/generate-reference.js (length-aware category fallback),No wording change.
calculators/pool-ph-calculator.html,Pool pH Calculator (Hit 7.2–7.6 Without Overshoot) | WaterBalanceTools,72,Pool pH Calculator (Target 7.2–7.6) | WaterBalanceTools,55,"calculators/pool-ph-calculator.html (static, no generator -- confirmed via grep for writeFileSync)",Kept the numeric target hook; shortened the CTR phrasing.
calculators/hot-tub-chlorine-calculator.html,Hot Tub Chemical Calculator (Safe Levels in 30 Seconds) | WaterBalanceTools,75,Hot Tub Chlorine Calculator (30-Second Check) | WaterBalanceTools,65,"calculators/hot-tub-chlorine-calculator.html (static, no generator)","Also fixed a pre-existing H1/title mismatch: title said ""Chemical"", H1 says ""Chlorine"" -- corrected to match (Step 14)."
calculators/pool-shock-calculator.html,Pool Shock Calculator (10–30 ppm Dose in 30 Seconds) | WaterBalanceTools,74,Pool Shock Calculator (10–30 ppm Dose) | WaterBalanceTools,58,"calculators/pool-shock-calculator.html (static, no generator)",Dropped the redundant "in 30 Seconds" -- the dose range itself is the useful modifier.
calculators/chemical-calculator.html,Pool Chemical Calculator (Exact Levels in 30 Seconds) | WaterBalanceTools,73,Pool Chemical Calculator (Exact Levels Fast) | WaterBalanceTools,64,"calculators/chemical-calculator.html (static, no generator)",Shortened "in 30 Seconds" to "Fast".
calculators/pool-chlorine-calculator.html,Pool Chlorine Calculator (Ounces from Volume + ppm) | WaterBalanceTools,71,Pool Chlorine Calculator (Oz by Volume) | WaterBalanceTools,59,"calculators/pool-chlorine-calculator.html (static, no generator)","""Ounces"" -> ""Oz"", ""from Volume + ppm"" -> ""by Volume""."
calculators/volume-calculator.html,(unchanged),—,(unchanged -- retired REDIRECT_SOURCES duplicate),—,not touched,"Deliberately excluded: this file is url-policy.js's REDIRECT_SOURCES entry for /calculators/pool-volume-calculator, non-production regardless of physical file presence -- same policy applied in Phase 7H to the retired chart-page duplicates. Fixing its title would be investing in a page policy already retires."
entities/calcium-chloride.html,Used to raise calcium hardness in pool water. (47 chars, meta description),47,Calcium chloride (CaCl₂) is the chemical used to raise calcium hardness in pool water. (89 chars),89,scripts/generate-entity-pages.js (longDescription meta-description fallback),META_DESCRIPTION_TOO_SHORT fix, not a <title> fix.
entities/unit-liters.html,Liters — Pool Chemistry Entity | WaterBalanceTools (duplicate of entities/liters.html),52,Metric Liters | WaterBalanceTools,33,scripts/data/entities-remaining.js (name field),"Duplicate-title fix, not a length fix -- see entity-content-decisions.csv."
