claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
0,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
1,about/index.html,What This Site Is WaterBalanceTools is a free reference library for pool and hot tub water chemistry.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2,about/index.html,Methodology All chemical dosing calculations are based on published industry standards and widely accepted water chemistry formulas.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
3,academy/equipment/automatic-chlorinators.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Automatic Feeders Work Setting the Feed Rate Compatibility Considerations Examples Common Mistakes Calculators Pool Chlorine Calculator Equipment 5 min read Upda…,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
4,academy/equipment/automatic-chlorinators.html,They provide consistent dosing between maintenance visits.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
5,academy/equipment/automatic-chlorinators.html,Both types achieve the same result: continuous low-level chlorine dosing between maintenance visits.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
6,academy/equipment/automatic-chlorinators.html,"Setting the Feed Rate The correct feed rate depends on pool volume, sun exposure, bather load, and current CYA level.",cyanuric_acid,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
7,academy/equipment/automatic-chlorinators.html,"Start at the mid-range setting, run the system for 24–48 hours, and test free chlorine.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
8,academy/equipment/automatic-chlorinators.html,"If FC is below target (1 ppm), increase the feed rate.",free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
9,academy/equipment/automatic-chlorinators.html,"If FC is above 3 ppm consistently, decrease it.",free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
10,academy/equipment/automatic-chlorinators.html,"In summer with heavy UV and bather load, the feeder setting for early spring will likely under-dose.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
11,academy/equipment/automatic-chlorinators.html,"In autumn with low use, the same setting will likely over-dose.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
12,academy/equipment/automatic-chlorinators.html,Compatibility Considerations Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid.,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
13,academy/equipment/automatic-chlorinators.html,"Every time a tablet dissolves, it lowers pH and adds CYA.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
14,academy/equipment/automatic-chlorinators.html,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",ph,pool/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (80-100) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
15,academy/equipment/automatic-chlorinators.html,Test pH and CYA monthly when using an automatic feeder.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
16,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,pool/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (85-85) does not overlap any canonical range for cyanuric_acid in this context (closest candidates: range-cya-public-pool-incident-response-max, range-cya-residential-routine-outdoor, range-cya-saltwater-outdoor) -- flag for the consistency matrix as a possible contradiction candidate."
17,academy/equipment/automatic-chlorinators.html,"The summer bather load has been high (kids off school), and the feeder has been running at 100% feed rate, dissolving tablets quickly.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
18,academy/equipment/index.html,"Articles Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",algae,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
19,academy/equipment/index.html,"Correct sizing ensures adequate turnover rate without wasting energy on oversized flow. 5 min read Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",salt,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
20,academy/equipment/index.html,They require specific water chemistry and regular cell cleaning to function correctly. 6 min read Automatic Chlorinators Automatic chlorinators deliver steady chlorine doses without daily attention.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
21,academy/equipment/pool-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Filtration Works Pressure and Run Time Filter Maintenance Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipment 5 m…,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
22,academy/equipment/pool-filters.html,"Key Facts Examples Calculator Related Pool filtration removes suspended particles from water — fine particles that cause cloudiness, dead algae cells, and small debris.",algae,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
23,academy/equipment/pool-filters.html,How Filtration Works Pool filters remove particles by forcing water through a filter medium that physically captures and holds particles as the water passes through.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
24,academy/equipment/pool-filters.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Sand Filters vs.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
25,academy/equipment/pool-filters.html,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
26,academy/equipment/pool-pumps.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Pump Sizing Basics Variable Speed Pumps Flow Rate and Turnover Rate Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipme…,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
