page_a,page_b,shared_intent,page_a_type,page_b_type,similarity,risk,current_differentiation,recommended_action
https://waterbalancetools.com/calculators/pool-turnover-rate-calculator,https://waterbalancetools.com/calculators/pool-volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.434,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-volume-calculator,https://waterbalancetools.com/calculators/spa-volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.416,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-cyanuric-acid-calculator,https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.391,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-turnover-rate-calculator,https://waterbalancetools.com/calculators/spa-volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.388,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,https://waterbalancetools.com/calculators/pool-alkalinity-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.387,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,https://waterbalancetools.com/calculators/pool-cyanuric-acid-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.382,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-alkalinity-calculator,https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.382,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-shock-calculator,https://waterbalancetools.com/calculators/pool-alkalinity-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.381,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-alkalinity-calculator,https://waterbalancetools.com/calculators/pool-cyanuric-acid-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.376,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-shock-calculator,https://waterbalancetools.com/calculators/spa-volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.374,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,https://waterbalancetools.com/calculators/spa-volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.373,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,https://waterbalancetools.com/calculators/pool-turnover-rate-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.365,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-turnover-rate-calculator,https://waterbalancetools.com/calculators/volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.365,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/spa-volume-calculator,https://waterbalancetools.com/calculators/volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.364,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,https://waterbalancetools.com/calculators/hot-tub-shock-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.363,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.358,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-alkalinity-calculator,https://waterbalancetools.com/calculators/spa-volume-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.356,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-turnover-rate-calculator,https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.356,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-shock-calculator,https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.355,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/pool-volume-calculator,https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.355,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
https://waterbalancetools.com/calculators/hot-tub-shock-calculator,https://waterbalancetools.com/calculators/pool-cyanuric-acid-calculator,calculator hub (exhaustive pairwise),calculator,calculator,0.353,MEDIUM,same format,STRENGTHEN DIFFERENTIATION
