"claim_id","entity_id","url","source_text","claim_type","parameter","value","unit","environment","scenario","current_status","priority","reason","research_required","target_source_type","final_disposition"
"ec-combined-chlorine-0008","combined-chlorine","https://waterbalancetools.com/entities/combined-chlorine","Chloramines are responsible for the ""pool smell,"" eye irritation, and respiratory irritation often mistakenly blamed on too much chlorine.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-total-chlorine-0013","total-chlorine","https://waterbalancetools.com/entities/total-chlorine","Total chlorine by itself tells you little about water safety — what matters is the free chlorine level and how much has become combined.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-phosphate-0041","phosphate","https://waterbalancetools.com/entities/phosphate","While low phosphate levels alone do not cause algae (chlorine control is paramount), very high phosphate levels (above 500–1,000 ppb) can reduce chlorine effectiveness and increase algae risk.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-copper-0045","copper","https://waterbalancetools.com/entities/copper","Corrosive water (low LSI) accelerates copper leaching from equipment.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-iron-0049","iron","https://waterbalancetools.com/entities/iron","Prevention focuses on fill water quality and maintaining a slightly positive LSI to prevent equipment corrosion.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-ph-0068","ph","https://waterbalancetools.com/entities/ph","Below 7.2, water is corrosive — it irritates eyes and skin and attacks surfaces and equipment.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-temperature-0080","temperature","https://waterbalancetools.com/entities/temperature","For hot tubs, temperature is also a primary safety parameter — temperatures above 104°F can cause hyperthermia.","numeric_chemistry_claim","water_temperature","104","°f","hot_tub","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard","SUPPORTED -- range-temperature-hottub-max-safety"
"ec-lsi-0089","lsi","https://waterbalancetools.com/entities/lsi","Negative values (below −0.3) indicate corrosive water.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-de-filter-0118","de-filter","https://waterbalancetools.com/entities/de-filter","DE must be handled carefully as fine particles can be an inhalation hazard.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-skimmer-0122","skimmer","https://waterbalancetools.com/entities/skimmer","Never add granular shock directly to the skimmer; it can damage equipment.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-cover-0138","cover","https://waterbalancetools.com/entities/cover","Pool covers serve multiple functions: safety (hard covers and nets prevent accidental entry), heat retention (solar and thermal covers reduce heat loss and heating costs), water conservation (reduce evaporation by up to 95%), chemical conservation (reduce UV degradation of chlorine and reduce debris-driven chemical demand), and debris exclusion (keep leaves and insects out).","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-cover-0139","cover","https://waterbalancetools.com/entities/cover","Safety covers are required by law in many jurisdictions for unattended residential pools.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-shock-treatment-0140","shock-treatment","https://waterbalancetools.com/entities/shock-treatment","Shock treatment (superchlorination) involves raising free chlorine to a high level — typically 10 ppm for maintenance, 10× the combined chlorine level for breakpoint chlorination, or 30 ppm for algae recovery — to eliminate combined chlorine, algae, bacteria, and other contaminants.","numeric_chemistry_claim","free_chlorine","10","ppm","unspecified","unspecified","REQUIRES_REVIEW","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard","REQUIRES_REVIEW -- researched, genuine source disagreement (2-5ppm vs 10-20ppm), not resolved"
