url,page_type,cluster,primary_intent,secondary_intent,word_count,content_quality_status,duplication_risk,seasonality,topical_depth,evidence_status,action,priority,reason
"https://waterbalancetools.com/404","error","root","root","informational","25","WEAK","LOW","not_applicable","standalone","uncited","IMPROVE","P2","word_count=25 -- thin content risk for AdSense/quality."
"https://waterbalancetools.com/about/","trust","about","about","informational","228","ADEQUATE","LOW","not_applicable","standalone","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/equipment/automatic-chlorinators","academy-article","academy/equipment","equipment","calculation","724","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/equipment/","academy-article","academy/equipment","equipment","informational","219","ADEQUATE","LOW","pool_season_leaning","clustered","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/equipment/pool-filters","academy-article","academy/equipment","equipment","calculation","747","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/equipment/pool-pumps","academy-article","academy/equipment","equipment","calculation","677","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/equipment/pool-skimmers","academy-article","academy/equipment","equipment","calculation","750","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/equipment/salt-systems","academy-article","academy/equipment","equipment","calculation","773","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters","academy-article","academy/equipment","equipment","calculation","704","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry","academy-article","academy/fundamentals","fundamentals","calculation","647","STRONG","LOW","pool_season_leaning","clustered","cited","IMPROVE","P3","On-page SEO issues: TITLE_TOO_LONG."
"https://waterbalancetools.com/academy/fundamentals/how-water-balance-works","academy-article","academy/fundamentals","fundamentals","calculation","656","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/fundamentals/","academy-article","academy/fundamentals","fundamentals","informational","220","ADEQUATE","LOW","pool_season_leaning","clustered","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/fundamentals/pool-vs-hot-tub-chemistry","academy-article","academy/fundamentals","fundamentals","calculation","684","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/fundamentals/the-four-core-water-tests","academy-article","academy/fundamentals","fundamentals","calculation","670","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/fundamentals/understanding-pool-water-chemistry","academy-article","academy/fundamentals","fundamentals","calculation","686","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/fundamentals/why-water-testing-matters","academy-article","academy/fundamentals","fundamentals","calculation","643","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/hot-tubs/daily-spa-maintenance","academy-article","academy/hot-tubs","hot_tubs","calculation","672","STRONG","LOW","hot_tub_year_round","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/hot-tubs/","academy-article","academy/hot-tubs","hot_tubs","informational","231","ADEQUATE","LOW","hot_tub_year_round","clustered","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/hot-tubs/monthly-spa-maintenance","academy-article","academy/hot-tubs","hot_tubs","calculation","694","STRONG","LOW","hot_tub_year_round","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/hot-tubs/refilling-your-hot-tub","academy-article","academy/hot-tubs","hot_tubs","calculation","790","STRONG","LOW","hot_tub_year_round","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/hot-tubs/shock-after-heavy-use","academy-article","academy/hot-tubs","hot_tubs","calculation","740","STRONG","LOW","hot_tub_year_round","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/hot-tubs/weekly-spa-maintenance","academy-article","academy/hot-tubs","hot_tubs","calculation","698","ADEQUATE","LOW","hot_tub_year_round","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/hot-tubs/winter-spa-care","academy-article","academy/hot-tubs","hot_tubs","calculation","790","STRONG","LOW","hot_tub_year_round","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/","academy-hub","academy","academy","informational","156","ADEQUATE","LOW","not_applicable","standalone","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/breakpoint-chlorination","academy-article","academy/sanitizers","chlorine","calculation","723","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/bromine-vs-chlorine","academy-article","academy/sanitizers","chlorine","calculation","705","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/combined-chlorine-explained","academy-article","academy/sanitizers","chlorine","calculation","653","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/","academy-article","academy/sanitizers","chlorine","informational","230","ADEQUATE","LOW","pool_season_leaning","clustered","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/liquid-chlorine-vs-tablets","academy-article","academy/sanitizers","chlorine","calculation","698","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/shock-treatments-explained","academy-article","academy/sanitizers","chlorine","calculation","671","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/sanitizers/understanding-free-chlorine","academy-article","academy/sanitizers","chlorine","calculation","681","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/testing/common-testing-mistakes","academy-article","academy/testing","testing","calculation","677","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/testing/digital-pool-testers","academy-article","academy/testing","testing","calculation","634","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/testing/how-often-to-test-water","academy-article","academy/testing","testing","calculation","639","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/testing/","academy-article","academy/testing","testing","informational","216","ADEQUATE","LOW","pool_season_leaning","clustered","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/testing/understanding-test-results","academy-article","academy/testing","testing","calculation","723","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.3 -- strong across the rubric."
"https://waterbalancetools.com/academy/testing/using-liquid-test-kits","academy-article","academy/testing","testing","calculation","669","ADEQUATE","MEDIUM","pool_season_leaning","clustered","cited","DIFFERENTIATE","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/testing/using-test-strips","academy-article","academy/testing","testing","calculation","663","ADEQUATE","LOW","pool_season_leaning","clustered","cited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/troubleshooting/cloudy-water","academy-article","academy/troubleshooting","troubleshooting","calculation","767","STRONG","LOW","pool_season_leaning","clustered","cited","IMPROVE","P3","On-page SEO issues: TITLE_TOO_LONG."
"https://waterbalancetools.com/academy/troubleshooting/corrosion","academy-article","academy/troubleshooting","troubleshooting","calculation","762","STRONG","LOW","pool_season_leaning","clustered","cited","IMPROVE","P3","On-page SEO issues: TITLE_TOO_LONG."
"https://waterbalancetools.com/academy/troubleshooting/foaming-hot-tubs","academy-article","academy/troubleshooting","troubleshooting","calculation","699","STRONG","LOW","pool_season_leaning","clustered","cited","IMPROVE","P3","On-page SEO issues: TITLE_TOO_LONG."
"https://waterbalancetools.com/academy/troubleshooting/green-water","academy-article","academy/troubleshooting","troubleshooting","calculation","844","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
"https://waterbalancetools.com/academy/troubleshooting/","academy-article","academy/troubleshooting","troubleshooting","informational","235","ADEQUATE","LOW","pool_season_leaning","clustered","uncited","KEEP","P3","No P0/P1/P2 signal triggered by this audit pass."
"https://waterbalancetools.com/academy/troubleshooting/scaling","academy-article","academy/troubleshooting","troubleshooting","calculation","757","STRONG","LOW","pool_season_leaning","clustered","cited","KEEP","P3","overall_quality_score=2.2 -- strong across the rubric."
