claim_id,source_file,source_claim,parameter_id,environment,claim_type,production_value,production_unit,source_id,source_value_if_available,conflict_type,conflict_reason,resolution_status
c89a3bddc3b1b53f,academy/equipment/automatic-chlorinators.html,Compatibility Considerations Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid.,ph,unspecified,RULE_OF_THUMB,2.8,ph_units,,,UNSUPPORTED_PRODUCTION_CLAIM,"pH of trichlor TABLET IN SOLUTION (2.8), a product property, not a pool-water pH target.",NOT_A_CHEMISTRY_CLAIM
23eb54fef67c5e59,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,pool,RANGE,85,ppm,,,CONTEXT_MISMATCH,"""Above/exceeds"" threshold phrasing describing a too-high condition, consistent with (not contradicting) the canonical range's own maximum (15).",FALSE_CONFLICT
820296bafa4bbe51,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,unspecified,RANGE,35000,ppm,,,CONTEXT_MISMATCH,"Value is part of a comparison/analogy (e.g. ""far lower than ocean water""), not an assertion about the target parameter itself.",FALSE_CONFLICT
4f8a20141de769b1,academy/equipment/salt-systems.html,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,unspecified,RANGE,2400,ppm,,,CONTEXT_MISMATCH,"""Below/under"" threshold phrasing describing a too-low condition, consistent with (not contradicting) the canonical range's own minimum (2700).",FALSE_CONFLICT
c17b914beaccc984,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,pool,RULE_OF_THUMB,300,ppm,,,UNSUPPORTED_PRODUCTION_CLAIM,"Describes a dosage CHANGE amount (""raise/lower ... by N""), not an absolute water-chemistry target value.",NOT_A_CHEMISTRY_CLAIM
7b592a388e5514ac,academy/fundamentals/how-temperature-changes-water-chemistry.html,"This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing.",ph,pool,RULE_OF_THUMB,2,ph_units,,,RANGE_MISMATCH,"Value 2-2 ph_units does not overlap the canonical range(s) range-ph-pool-chlorine-routine (7-7.8), range-ph-pool-narrow-operational (7.2-7.6) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
1f18d1ddbbe0ec31,academy/fundamentals/the-four-core-water-tests.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Test 1: Free Chlorine Test 2: pH Tests 3 & 4: Alkalinity and Hardness Examples Common Mistakes Calculators Chemical Calculator Pool Alkalinity Calculator Pool Cyanuric Acid Calculator Fundament…,ph,hot_tub,RANGE,2,ph_units,,,EXTRACTION_ARTIFACT,"""2"" is a step/day/test-numbering token (""Step 2"" / ""2)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
1cafa2074c0bd35e,academy/fundamentals/the-four-core-water-tests.html,Test 2: pH pH is the most important factor in chlorine effectiveness.,ph,unspecified,RANGE,2,ph_units,,,EXTRACTION_ARTIFACT,"""2"" is a step/day/test-numbering token (""Step 2"" / ""2)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
cb3d83cf48f75d12,academy/fundamentals/understanding-pool-water-chemistry.html,"Above 7.8, chlorine effectiveness drops sharply — at pH 8.0, active chlorine is only about 22% of what the test shows.",ph,unspecified,RANGE,8,ph_units,,,UNSUPPORTED_PRODUCTION_CLAIM,"Describes what fraction/percentage of the parameter is in a particular chemical form/state, not a concentration target.",NOT_A_CHEMISTRY_CLAIM
d1feb9238ca02179,academy/fundamentals/why-water-testing-matters.html,Examples Catching a Problem Early A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum.,free_chlorine,pool,RANGE,0.8,ppm,,,EXTRACTION_ARTIFACT,"Worked example illustrating a BELOW-minimum reading (""0.8 ppm — below the 1.0 ppm minimum""), consistent with CDC's 1.0 ppm pool minimum, not a conflicting target. The 0.8 is deliberately the 'bad' example value.",NOT_A_CHEMISTRY_CLAIM
956458c13da6386e,academy/hot-tubs/refilling-your-hot-tub.html,Wait 4 hours. 2) pH increaser or acid to bring pH to 7.4.,ph,unspecified,SAFETY_GUIDANCE,2,ph_units,,,EXTRACTION_ARTIFACT,"""2"" is a step/day/test-numbering token (""Step 2"" / ""2)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
f93dba25791ec1af,academy/hot-tubs/refilling-your-hot-tub.html,Wait 2 hours. 3) Calcium chloride if hardness is below 150 ppm. 4) Add chlorine to reach 3–5 ppm.,calcium_hardness,unspecified,SAFETY_GUIDANCE,3-5,ppm,,,CONTEXT_MISMATCH,"""Below/under"" threshold phrasing describing a too-low condition, consistent with (not contradicting) the canonical range's own minimum (150).",FALSE_CONFLICT
9b5883473f17b6cd,academy/hot-tubs/shock-after-heavy-use.html,"Key Facts Test combined chlorine after heavy use — if above 0.5 ppm, a shock treatment is required.",combined_chlorine,unspecified,RANGE,0.5,ppm,cdc-mahc-2023,,SOURCE_CONFLICT,"Live-verified 2026-08-18 (cdc.gov/model-aquatic-health-code): MAHC action threshold is 0.4 ppm combined chlorine, not 0.5 ppm as this page states. Common industry rule-of-thumb (0.5) vs. regulatory figure (0.4) -- genuine discrepancy, not silently rewritten in production content.",SOURCE_CONFLICT_REMAINS
