page_id,url,nearest_neighbor,why_this_page_exists_vs_neighbor,decision,consolidation_reason,destination,seo_reason,internal_link_impact,sitemap_impact
chlorine-5000,programmatic/chlorine/how-much-chlorine-for-5000-gallon-pool.html,chlorine-7000,"User knows their own pool's volume (5,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-7000,programmatic/chlorine/how-much-chlorine-for-7000-gallon-pool.html,chlorine-5000,"User knows their own pool's volume (7,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-8000,programmatic/chlorine/how-much-chlorine-for-8000-gallon-pool.html,chlorine-7000,"User knows their own pool's volume (8,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-9000,programmatic/chlorine/how-much-chlorine-for-9000-gallon-pool.html,chlorine-8000,"User knows their own pool's volume (9,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-10000,programmatic/chlorine/how-much-chlorine-for-10000-gallon-pool.html,chlorine-9000,"User knows their own pool's volume (10,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-12000,programmatic/chlorine/how-much-chlorine-for-12000-gallon-pool.html,chlorine-10000,"User knows their own pool's volume (12,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-15000,programmatic/chlorine/how-much-chlorine-for-15000-gallon-pool.html,chlorine-12000,"User knows their own pool's volume (15,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-18000,programmatic/chlorine/how-much-chlorine-for-18000-gallon-pool.html,chlorine-15000,"User knows their own pool's volume (18,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-20000,programmatic/chlorine/how-much-chlorine-for-20000-gallon-pool.html,chlorine-18000,"User knows their own pool's volume (20,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
chlorine-25000,programmatic/chlorine/how-much-chlorine-for-25000-gallon-pool.html,chlorine-20000,"User knows their own pool's volume (25,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
