id,calculator,architecture_option,required_inputs,required_product_data,mathematical_basis,evidence_ids,safety_implications,user_complexity,validationability,implementation_scope,classification,director_recommendation,rationale
7U-PH-A,"pH calculator (pool-ph-calculator.html, hot-tub-ph-calculator.html)",Remove dosing claim / guidance tool,"volume, current pH, target pH (unchanged)",None (no numeric dose claim),"N/A -- qualitative guidance, no formula",,Reduces risk of an unsupported precise dose misleading a user; increases risk of the tool being perceived as less useful,Low -- same inputs as today,N/A (no numeric claim to validate),"Moderate -- new output copy, FAQ, and formula-04 documentation rewrite; no new calculation logic",NARROW EXISTING TOOL,Recommended target architecture; implement in a dedicated future phase,Only option requiring zero new unresolved chemistry evidence; directly resolves the Phase 7T defensibility finding
7U-PH-B,pH calculator,Acid-demand-test calculator,"acid-demand-test drop count, volume; (pH-target-specific scaling table needed)",Acid-demand reagent kit (e.g. Taylor R-0015/R-0016); a pH-keyed dose table,"Empirical titration, pattern confirmed viable by LaMotte's analogous TA-reduction table",taylor-k1005-instruction-manual-2012; lamotte-acid-demand-index-2022,High if built on a wrong or approximated scaling table; requires a genuinely sourced pH-specific table before build,High -- requires the user to own and use a specific reagent kit,Testable once a genuine pH-target table is sourced,"Would require new UI (drop-count input), a sourced scaling table, and product-agnostic-acid framing",ARCHITECTURAL_GAP / REQUIRES_EXPERT_REVIEW,Scientifically preferable long-term direction; do not build until a pH-specific acid-demand table is sourced and read in full,Procedure confirmed real and manufacturer-documented; specific pH-target scaling table not found this phase
7U-PH-C,pH calculator,TA/CYA-aware closed-form model,"volume, current pH, target pH, TA, CYA",Acid product concentration,None found -- no validated closed form located in any source read this phase or Phase 7T,phta-water-chemistry-adjustment-guide-2021; phta-alkalinity-fact-sheet-2021,High -- fabricating a formula the authoritative sources themselves decline to publish,"Moderate -- 2 additional test inputs (TA, CYA)",Not validatable -- no formula exists to validate,N/A -- not specified,DO_NOT_BUILD,Reject; do not fabricate a formula PHTA itself declines to publish,PHTA's own dosing-table format deliberately excludes pH and defers to testing
7U-PH-D,pH calculator,Product-specific dosing table (manufacturer labels),"volume, current pH, target pH, selected acid product",Per-product manufacturer table keyed to pH delta,"Would mirror LaMotte's TA-reduction table pattern, but keyed to pH instead of TA",lamotte-acid-demand-index-2022,Moderate -- depends entirely on table quality if found,Moderate -- product selection required,Testable if a pH-keyed table is found and read in full,Would require sourcing a new manufacturer table not yet located,ARCHITECTURAL_GAP,"Flag as a promising, partially-explored lead for future research (search for a pH-keyed, not TA-keyed, manufacturer table)",A working TA-keyed analog exists (LaMotte); a pH-keyed equivalent was not found this phase
7U-PH-E,pH calculator,Retain current approximation (6/5 constants),"volume, current pH, target pH (unchanged)",None,None -- constants have no traceable derivation,,High -- continues publishing a dose with no supporting evidence,Low (no UX change),Not validatable -- no source to validate against,None (no change),REJECTED,Explicitly rejected per Section 3's own instruction not to retain for convenience,No authoritative evidence found in this phase or Phase 7T supports the 6/5 constants
7U-SHOCK-A,"Generic shock/granular calculator (pool-shock-calculator.html, hot-tub-shock-calculator.html)",Product-strength input only (user types %),"volume, target FC increase, available-chlorine %",None beyond the % itself,Approved: oz = ΔFC x Volume x 0.013344 / Available%,phta-water-chemistry-adjustment-guide-2021; in-doh-chemical-adjustment-2021,"Moderate -- mathematically correct but omits product-specific hazards (CYA/calcium accumulation, mixing warnings)",Low -- one new numeric input,Directly testable against the same formula validated in formula-02/formula-03,"Small -- one new input field, reuse of existing approved formula",IMPLEMENT WITH EXPLICIT ASSUMPTION,"Superseded by Option B, which is safer and equally implementable given the existing dataset",Mathematically sound but safety-incomplete relative to Option B
7U-SHOCK-B,Generic shock/granular calculator,"Product selector (cal-hypo, dichlor, trichlor, liquid chlorine)","volume, target FC increase, selected product",Already exists: dataset-dosage-matrices.js (4 dry-product + 2 liquid-chlorine records),"Approved mass-balance formula, applied per-product using existing dataset coefficients",phta-water-chemistry-adjustment-guide-2021; in-doh-chemical-adjustment-2021; phta-calcium-hypochlorite-fact-sheet-2021,Low -- safety-complete (CYA/calcium/mixing warnings already tracked per product in the existing dataset),"Low-moderate -- one new selector input, most users already know their product type",Directly testable; 4 of the underlying coefficients already cross-validated in Phase 7T against PHTA's own table,"Moderate -- new selector UI, per-product JS branching, updated formula-03/trust-panel documentation, full regeneration",IMPLEMENT,"Architecturally superior recommendation; build in a dedicated follow-up phase, not this one","Only option that is both mathematically correct and safety-complete, backed by an already-existing, already-cross-validated dataset"
7U-SHOCK-C,Generic shock/granular calculator,Label-based calculator (scale manufacturer label dose),"volume, target FC increase, selected product, label-stated dose",Manufacturer label per product,Linear volume scaling of a stated label dose,phta-calcium-hypochlorite-fact-sheet-2021,Low if Option B's dataset is used as the effective label-equivalent source,"Low-moderate, same as Option B",Same validation path as Option B,Subsumed by Option B -- no separate implementation needed,CONFIRMED (subsumed by Option B),No separate implementation; Option B's coefficients already function as label-equivalent data,"Distinct only for count-based (non-weight) dosing, not applicable to the site's current dry-shock products"
7U-SHOCK-D,Generic shock/granular calculator,"Keep generic tool, remove numeric claim","volume, target FC increase (unchanged)",None,N/A -- qualitative guidance only,,Low -- no dose claim to be wrong,Low (no UX change beyond copy),N/A,Small -- copy-only change,NARROW EXISTING TOOL,"Fallback only, if Option B is never authorized for implementation",Less desirable than Option B since it sacrifices numeric usefulness Option B can retain safely
7U-SHOCK-E,Generic shock/granular calculator,Integrate breakpoint (10x CC) mode into this calculator,"volume, current FC, combined chlorine, product",Product % (as in Option B),"10x CC rule (Phase 7R, SUPPORTED), applied via the approved mass-balance formula",in-doh-breakpoint-chlorination-2022,High -- conflates two different dosing scenarios if merged without careful UX separation,High -- requires a CC test result most casual users do not have,"Testable if built, but not evaluated this phase",Not specified this phase,REJECTED,Not architecturally superior to keeping breakpoint as a separate use case; no new evidence changes Phase 7T's conclusion,Phase 7T already established breakpoint is a distinct use case; this phase finds nothing that changes that
7U-SHOCK-F,N/A (future tool),Separate dedicated breakpoint calculator,"volume, current FC, combined chlorine, product",Product % (as in Option B),10x CC rule + approved mass-balance formula,in-doh-breakpoint-chlorination-2022,Requires careful safety copy given a genuinely different dosing scenario,High -- requires a CC test result,Not evaluated this phase,Not specified this phase -- a future phase's full scope,DEFERRED,"Legitimate future option, unchanged from Phase 7T; not built this phase","No new specification (UX, safety copy) developed this phase"
