claim_id,page_url,source_claim,parameter_id,environment,claim_type,current_production_statement,evidence_statement,source_registry_ids,decision,decision_reason,production_action,review_date
3c256b70dc1e3ce2,hot-tub-chemical-levels-chart.html,"Hot Tub Chemical Levels Chart Quick Answer Ideal hot tub chemical levels: free chlorine 3–5 ppm, pH 7.2–7.8, total alkalinity 80–120 ppm, calcium hardness 150–250 ppm, CYA 30–50 ppm (if using unstabilized chlorine).",cyanuric_acid,hot_tub,RANGE,"Hot Tub Chemical Levels Chart Quick Answer Ideal hot tub chemical levels: free chlorine 3–5 ppm, pH 7.2–7.8, total alkalinity 80–120 ppm, calcium hardness 150–250 ppm, CYA 30–50 ppm (if using unstabilized chlorine).","extraction_status=CORRECT_EXTRACTION, scientific_review_status=REQUIRES_REVIEW",,CORRECT_REQUIRED,CDC recommends against CYA/stabilized chlorine in hot tubs; corrected chart row and quick-answer text.,CORRECT_VALUE,2026-08-18
317e0ea96af98f4f,reference/combined-chlorine-explained.html,"Combined chlorine (CC) = Total chlorine − Free chlorine; target CC below 0.5 ppm The ""pool smell"" is chloramines, not excess free chlorine — CC is the warning sign CC above 0.5 ppm requires breakpoint chlorination: FC raised to 10× the CC reading Bather hygiene (showering before swimming) dramatical…",combined_chlorine,pool,RANGE,"Combined chlorine (CC) = Total chlorine − Free chlorine; target CC below 0.5 ppm The ""pool smell"" is chloramines, not excess free chlorine — CC is the warning sign CC above 0.5 ppm requires breakpoint chlorination: FC raised to 10× the CC reading Bather hygiene (showering before swimming) dramatical…","extraction_status=CORRECT_EXTRACTION, scientific_review_status=REQUIRES_REVIEW",,SUPPORTED_WITH_CONTEXT,Residential 0.5 ppm convention is real but site also has the stricter 0.4 ppm MAHC figure elsewhere; added context on the technical reference page.,ADD_CONTEXT,2026-08-18
9b5883473f17b6cd,academy/hot-tubs/shock-after-heavy-use.html,"Key Facts Test combined chlorine after heavy use — if above 0.5 ppm, a shock treatment is required.",combined_chlorine,unspecified,RANGE,"Key Facts Test combined chlorine after heavy use — if above 0.5 ppm, a shock treatment is required.","extraction_status=CORRECT_EXTRACTION, scientific_review_status=REQUIRES_REVIEW",,SUPPORTED_WITH_CONTEXT,"Same underlying finding as above; this page is a quick-answer callout, context added at the reference page instead (smallest correction principle).",NO_PRODUCTION_ACTION,2026-08-18
608025031537cf13,glossary/pool-shock-schedule.html,"Shock immediately after any heavy bather load, storm, or combined chlorine reading above 0.5 ppm.",combined_chlorine,unspecified,RANGE,"Shock immediately after any heavy bather load, storm, or combined chlorine reading above 0.5 ppm.","extraction_status=CORRECT_EXTRACTION, scientific_review_status=REQUIRES_REVIEW",,SUPPORTED_WITH_CONTEXT,"Same underlying finding; glossary quick-trigger entry, same reasoning as above.",NO_PRODUCTION_ACTION,2026-08-18
3bb0e016bca28ac0,comparisons/free-chlorine-vs-total-chlorine.html,"Free chlorine (FC) is the only form that actively kills bacteria and algae Total chlorine (TC) = Free Chlorine + Combined Chlorine Combined chlorine (CC = TC − FC) causes pool odor and eye irritation When CC exceeds 0.5 ppm, shock to 10× CC reading to eliminate chloramines Feature Comparison Feature…",combined_chlorine,pool,RANGE,"Free chlorine (FC) is the only form that actively kills bacteria and algae Total chlorine (TC) = Free Chlorine + Combined Chlorine Combined chlorine (CC = TC − FC) causes pool odor and eye irritation When CC exceeds 0.5 ppm, shock to 10× CC reading to eliminate chloramines Feature Comparison Feature…","extraction_status=CORRECT_EXTRACTION, scientific_review_status=REQUIRES_REVIEW",,SUPPORTED_WITH_CONTEXT,"Same underlying finding; comparison-table cell, same reasoning as above.",NO_PRODUCTION_ACTION,2026-08-18
afafa0a42ca5ecd7,calculators/spa-volume-calculator.html,Typical hot tubs are 300–500 gallons.,pool_volume,hot_tub,RANGE,Typical hot tubs are 300–500 gallons.,"extraction_status=CORRECT_EXTRACTION, scientific_review_status=AMBIGUOUS",,NOT_A_CLAIM,"Typical hot tub volume (300-500 gal) is a physical-capacity fact, not a chemistry source-checkable claim.",NO_PRODUCTION_ACTION,2026-08-18
95ff7debc53ce62f,pool-alkalinity-levels-chart.html,"Use 1.5 lb per 10,000 gallons to raise TA by approximately 10 ppm.",pool_volume,unspecified,RULE_OF_THUMB,"Use 1.5 lb per 10,000 gallons to raise TA by approximately 10 ppm.","extraction_status=CORRECT_EXTRACTION, scientific_review_status=AMBIGUOUS",,DEFERRED,"Alkalinity dosing coefficient -- already disclosed via Phase 7F Trust Panel correction (formula-alkalinity-adjustment, confidence=limited).",NO_PRODUCTION_ACTION,2026-08-18
dd0df4b5d44367b9,pool-chlorine-levels-chart.html,Chlorine targets (table) Scenario Free chlorine (typical) What it means Normal swimming 1–3 ppm Sanitize without excess irritation Heavy use / rain Top of range or brief bump Demand spikes; retest sooner Standard shock (example) ~+10 ppm granular raise One common product curve—verify with calculator…,chlorine_demand,unspecified,RANGE,Chlorine targets (table) Scenario Free chlorine (typical) What it means Normal swimming 1–3 ppm Sanitize without excess irritation Heavy use / rain Top of range or brief bump Demand spikes; retest sooner Standard shock (example) ~+10 ppm granular raise One common product curve—verify with calculator…,"extraction_status=CARRIED_CONTEXT, scientific_review_status=AMBIGUOUS",,DEFERRED,Shock dosing example -- already covered by SHOCK-CLAIM-FAMILY-DECISION.md (Phase 7E.1).,NO_PRODUCTION_ACTION,2026-08-18
7b592a388e5514ac,academy/fundamentals/how-temperature-changes-water-chemistry.html,"This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing.",ph,,,"This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
3473187f4ce9851e,academy/sanitizers/liquid-chlorine-vs-tablets.html,It raises pH slightly (typically by 0.1–0.2 per dose for average pools) and does not add cyanuric acid.,ph,,,It raises pH slightly (typically by 0.1–0.2 per dose for average pools) and does not add cyanuric acid.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
