record_id,source_file,source_sentence,old_parameter,independently_expected_parameter,old_value_if_available,independently_expected_value,old_unit_if_available,independently_expected_unit,classification,reason
old-audit-0008,academy/equipment/automatic-chlorinators.html,"If FC is below target (1 ppm), increase the feed rate.",free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,FC below target 1 ppm -- correctly free_chlorine.
old-audit-0010,academy/equipment/automatic-chlorinators.html,"In summer with heavy UV and bather load, the feeder setting for early spring will likely under-dose.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no specific parameter value stated."
old-audit-0014,academy/equipment/automatic-chlorinators.html,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",ph,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,80-100 ppm is explicitly CYA's own stated range; pH is mentioned with no number at all (confirmed original bug example).
old-audit-0015,academy/equipment/automatic-chlorinators.html,Test pH and CYA monthly when using an automatic feeder.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number present; pH testing frequency is the genuine subject.
old-audit-0016,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,CYA at 85 ppm vs 80 ppm limit -- correct.
old-audit-0021,academy/equipment/pool-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Filtration Works Pressure and Run Time Filter Maintenance Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipment 5 m…,salt,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Navigation/menu chrome listing many equipment topics; no real salt claim or value.
old-audit-0038,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"2,700-3,400 ppm target salt level -- correct."
old-audit-0047,academy/equipment/salt-systems.html,Examples Seasonal Salt Level Check Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading.,salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; genuinely about testing salt level.
old-audit-0050,academy/equipment/salt-systems.html,"Retest — salt now at 2,750 ppm.",salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"2,750 ppm retest -- correct."
old-audit-0058,academy/fundamentals/how-temperature-changes-water-chemistry.html,"As temperature rises, chemical reactions accelerate, scaling risk increases, and the same chemical dose that worked in spring may not be enough in midsummer.",water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; genuinely about temperature effects.
old-audit-0059,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,ph,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,10F/80F are temperature values; pH is only mentioned in a separate non-numeric sentence.
old-audit-0069,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",ph,lsi,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,-0.1/+0.4/68F/90F are LSI and temperature values; pH appears with no number at all.
old-audit-0107,academy/fundamentals/the-four-core-water-tests.html,Calcium hardness (200–400 ppm for plaster pools) protects pool surfaces and equipment.,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,200-400 ppm -- correct.
old-audit-0131,academy/fundamentals/understanding-pool-water-chemistry.html,"Cyanuric acid (CYA) protects outdoor chlorine from UV degradation — without it, direct sunlight can deplete chlorine in as little as two hours.",cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No ppm number; genuinely about CYA's UV-protection role.
