dataset,check,result,count,evidence
data/academy.json,duplicate ids,PASS,0,"node dedupe check across all 50 articles.id"
data/academy.json,duplicate slugs,PASS,0,"node dedupe check across all 50 articles.slug"
data/academy.json,id-to-slug collisions,PASS,0,"1:1 mapping confirmed, every id maps to exactly one slug and vice versa"
data/academy.json,references to nonexistent ids (relatedFormulas -> formulas.json slugs),PASS,0,"All relatedFormulas entries resolve to an existing formulas.json slug"
data/academy.json,references to nonexistent ids (relatedGlossary -> glossary.json slugs),PASS,0,"All relatedGlossary entries resolve to an existing glossary.json slug"
data/academy.json,cross-family relatedTopics pointing outside academy/,PASS (false-positive ruled out),1 flagged then confirmed valid,"fund-07's relatedTopics includes guides/seasonal/opening-pool-chemistry-checklist -- not an academy slug but a real, existing guides/ page (file confirmed on disk); relatedTopics is documented to allow cross-family links, so this is not an integrity defect"
data/academy.json,historical duplicate id (fund-06 used by two different articles),RESOLVED (pre-Phase-7Y),0 (currently),"Git history confirms Phase 7M created 'indoor-pool-chemistry' with id 'fund-06', colliding with the legitimate fund-06 ('why-water-testing-matters') that has existed in academy-fundamentals.js since Phase 5A. Phase 7Q found and fixed the immediate collision by renaming the JSON-only id to 'fund-08' (commit ae751ca) -- this resolved the SYMPTOM (collision) but not the ROOT CAUSE (the record was never registered in source), which is what surfaces as today's fund-07/fund-08 SOURCE_MISSING finding. Full detail: GIT-HISTORY-FINDINGS.md"
data/glossary.json,duplicate ids,PASS,0,"node dedupe check across all 100 terms.id"
data/glossary.json,duplicate slugs,PASS,0,"node dedupe check across all 100 terms.slug"
data/reference.json,duplicate ids,PASS,0,"node dedupe check across all 25 pages.id"
data/reference.json,duplicate slugs,PASS,0,"node dedupe check across all 25 pages.slug"
data/formulas.json,duplicate ids,PASS,0,"node dedupe check across all 9 formulas.id"
data/formulas.json,duplicate slugs,PASS,0,"node dedupe check across all 9 formulas.slug"
data/graph/entity-index.json,duplicate ids,PASS (structural),0,"Object-keyed structure makes duplicate keys structurally impossible; 104 entities confirmed"
scripts/data/entities-*.js (6 source files),duplicate ids across files,PASS,0,"node dedupe check across all 104 source records (chemicals/measurements/equipment/processes/problems/remaining) -- matches entity-index.json's 104 exactly, confirming the entity family's single-source pipeline has no collision risk in practice, consistent with its Classification A architecture"
scripts/data/dataset-dosage-matrices.js,duplicate ids,PASS,0,"node dedupe check across all 13 records -- the dataset directly feeding live calculator dosing math (Phase 7S/7T/7W); zero collision risk confirmed"
scripts/data/academy-*.js (8 source files),duplicate ids across files,PASS,0,"48 source records, 48 unique ids -- no source-level collision exists today. (The historical fund-06 collision, above, existed only because one side of the collision -- indoor-pool-chemistry -- was never in the source files to begin with; a pure source-file audit alone would not have caught it, which is itself informative for future governance design.)"
