claim_id,source_file,parameter_id,production_value,production_unit,category,reason,source_claim
7b592a388e5514ac,academy/fundamentals/how-temperature-changes-water-chemistry.html,ph,2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing."
3473187f4ce9851e,academy/sanitizers/liquid-chlorine-vs-tablets.html,ph,0.1-0.2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",It raises pH slightly (typically by 0.1–0.2 per dose for average pools) and does not add cyanuric acid.
40fb9a355eaa851e,academy/testing/common-testing-mistakes.html,free_chlorine,0.5,ppm,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",Examples Solving Chronic Low Chlorine Readings A pool owner has been adding extra chlorine every week because readings consistently show FC near 0.5 ppm — yet the pool stays clear.
f64fef9bfcbcbf3e,academy/testing/understanding-test-results.html,ph,8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Is pH very high (above 8.0), making chlorine nearly inactive?"
9b3a54181522ecb9,academy/testing/understanding-test-results.html,free_chlorine,0.5,ppm,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm."
ba934eac9250f383,academy/testing/understanding-test-results.html,ph,7.9,ph_units,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm."
31d15b31aab1c809,academy/testing/understanding-test-results.html,calcium_hardness,120,ppm,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm."
418c037e1d017895,academy/testing/using-test-strips.html,free_chlorine,8,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Re-testing with a liquid kit the next morning shows FC at 8 ppm — dangerous for swimming.
0a0a7b8ef6cefe4b,academy/troubleshooting/cloudy-water.html,free_chlorine,0.8,ppm,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm."
2040b58bbe1c925b,academy/troubleshooting/cloudy-water.html,ph,7.9,ph_units,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm."
