url,section,claim,claim_type,units,confidence,source_present,source_quality,cross_page_consistency,risk_level,review_required
about/index.html,general,About WaterBalanceTools Platform v1.0.0 Foundation · QA 99/100 An independent water chemistry reference for pool and hot tub owners.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
about/index.html,general,What This Site Is WaterBalanceTools is a free reference library for pool and hot tub water chemistry.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
about/index.html,free chlorine,Methodology Target chemistry ranges (such as recommended pH or free chlorine levels) are based on published guidance from government and industry sources where available.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
about/index.html,general,"Calculator dosing formulas are documented, but not every dosing coefficient has been independently verified against a specific manufacturer or regulatory reference — each calculator's Trust Panel discloses its confidence level.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,salt,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Automatic Feeders Work Setting the Feed Rate Compatibility Considerations Examples Common Mistakes Calculators Pool Chlorine Calculator Equipment 5 min read Upda…,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,general,They provide consistent dosing between maintenance visits.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,general,Both types achieve the same result: continuous low-level chlorine dosing between maintenance visits.,CALCULATED_VALUE,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,general,"Setting the Feed Rate The correct feed rate depends on pool volume, sun exposure, bather load, and current CYA level.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,free chlorine,"Start at the mid-range setting, run the system for 24–48 hours, and test free chlorine.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,general,"If FC is below target (1 ppm), increase the feed rate.",RANGE,1 ppm,STATED_RANGE,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,LOW,ROUTINE
academy/equipment/automatic-chlorinators.html,general,"If FC is above 3 ppm consistently, decrease it.",RANGE,3 ppm,STATED_RANGE,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,LOW,ROUTINE
academy/equipment/automatic-chlorinators.html,general,"In summer with heavy UV and bather load, the feeder setting for early spring will likely under-dose.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,general,"In autumn with low use, the same setting will likely over-dose.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,cyanuric acid,Compatibility Considerations Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid.,RULE_OF_THUMB,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,ph,"Every time a tablet dissolves, it lowers pH and adds CYA.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,ph,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",RANGE,80–100 ppm,STATED_RANGE,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,LOW,ROUTINE
academy/equipment/automatic-chlorinators.html,ph,Test pH and CYA monthly when using an automatic feeder.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/automatic-chlorinators.html,general,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",RANGE,85 ppm,STATED_RANGE,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,LOW,ROUTINE
academy/equipment/automatic-chlorinators.html,general,"The summer bather load has been high (kids off school), and the feeder has been running at 100% feed rate, dissolving tablets quickly.",RANGE,100%,STATED_RANGE,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,LOW,ROUTINE
academy/equipment/index.html,algae,"Articles Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/index.html,salt,"Correct sizing ensures adequate turnover rate without wasting energy on oversized flow. 5 min read Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/index.html,general,They require specific water chemistry and regular cell cleaning to function correctly. 6 min read Automatic Chlorinators Automatic chlorinators deliver steady chlorine doses without daily attention.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-filters.html,salt,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Filtration Works Pressure and Run Time Filter Maintenance Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipment 5 m…,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-filters.html,algae,"Key Facts Examples Calculator Related Pool filtration removes suspended particles from water — fine particles that cause cloudiness, dead algae cells, and small debris.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-filters.html,ph,How Filtration Works Pool filters remove particles by forcing water through a filter medium that physically captures and holds particles as the water passes through.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-filters.html,general,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Sand Filters vs.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-filters.html,general,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-pumps.html,salt,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Pump Sizing Basics Variable Speed Pumps Flow Rate and Turnover Rate Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipme…,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-pumps.html,general,Variable speed pumps reduce energy consumption by 65–80% compared to single-speed pumps.,RANGE,65–80%,STATED_RANGE,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,LOW,ROUTINE
academy/equipment/pool-pumps.html,algae,"A pool that achieves only one turnover per day in hot summer weather may not maintain adequate water quality — dead algae, fine particles, and chlorine by-products accumulate faster than the filter can clear them.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-pumps.html,algae,Increasing to two turnovers per day (by extending pump run time or increasing speed) is a common recommendation during peak swimming season or after an algae event.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-pumps.html,general,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris…",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-pumps.html,salt,"Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-skimmers.html,salt,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Skimmers Work Correct Water Level Skimmer Maintenance Examples Common Mistakes Calculators Pool Volume Calculator Equipment 4 min read Updated 2026-06-01 Pool Sk…,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-skimmers.html,general,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Pumps: Sizing and Turnover The pool pump determines how much water passes through the filter each day.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-skimmers.html,algae,"Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/pool-skimmers.html,general,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/salt-systems.html,salt,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Salt Systems Work Water Chemistry for Salt Pools Salt Cell Maintenance Examples Common Mistakes Calculators Saltwater Pool Salt Calculator Equipment 6 min read U…,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
academy/equipment/salt-systems.html,salt,Key Facts Examples Calculator Related Salt water pool systems (also called salt chlorinator or salt generator systems) produce chlorine continuously by electrolyzing dissolved salt in the pool water.,EDITORIAL_SIMPLIFICATION,,UNQUANTIFIED,false,none (site cites zero external sources -- see source-audit.csv),VARIES_ACROSS_PAGES,MEDIUM,REQUIRES_EXPERT_REVIEW
