cluster,cornerstone_page,authority_charts,calculators,guides,edge_cases,glossary_entity_support,programmatic_pages,missing_high_value_topics,internal_link_opportunities
chlorine,guides/pool-chemistry-basics.html + guides/chlorine-guide.html,"pool-chlorine-levels-chart.html (cited), pool-chemical-levels-chart.html",pool-chlorine-calculator (cited),"guides/chlorine/* (5), academy/sanitizers/* (6)",pool-temperature-effect-chlorine; over-shocking-pool-effects,"entities/free-chlorine, total-chlorine, combined-chlorine, high-chlorine, low-chlorine (5+)",programmatic/chlorine/* (11, differentiated this phase),none identified,programmatic pages now link real product-quantity context; academy indoor-pool-chemistry cross-links combined-chlorine explainer (added this phase)
pH,guides/ph-guide.html,pool-ph-levels-chart.html,pool-ph-calculator (cited),guides/ph/* (5),why-pool-ph-keeps-rising; does-rain-lower-pool-ph,entities/ph high-ph low-ph,programmatic/ph/* (4, differentiated this phase; moved HIGH->MEDIUM duplication risk),none identified,none needed this phase
alkalinity,academy/water-balance/understanding-total-alkalinity,pool-alkalinity-levels-chart.html (cited),pool-alkalinity-calculator,water-balance-order,low-alkalinity-symptoms (programmatic),entities/alkalinity,programmatic/problems/low-alkalinity-symptoms.html,none identified,none needed this phase
calcium hardness,academy/water-balance/understanding-calcium-hardness,none dedicated,none dedicated (folded into chemical-calculator),troubleshooting/scaling; troubleshooting/corrosion,none dedicated,"entities/calcium-hardness, vinyl-pool, fiberglass-pool, concrete-pool (material-specific, cited Phase 7K)",none,none identified,strong material-science cross-linking already present
cyanuric acid,academy/water-balance/understanding-cyanuric-acid,pool-cya-levels-chart.html,pool-cyanuric-acid-calculator,guides/advanced/cya-stabilizer-explained,high-cya-chlorine-lock,entities/cyanuric-acid stabilizer,entities/stabilizer,none identified,evaporation-effect guide (new this phase) links to CYA calculator and CYA chart
salt systems,academy/equipment/salt-systems,salt-water-pool-chemical-levels-chart.html,saltwater-pool-salt-calculator,guides/advanced/chlorine-vs-saltwater,none dedicated,"entities/salt, salt-chlorinator, saltwater-pool, pool-salt",none,dedicated salt-pool CHEMISTRY guide beyond equipment (INVESTIGATE),none needed this phase
bromine,academy/sanitizers/bromine-vs-chlorine,none dedicated,none dedicated,comparisons/chlorine-vs-bromine-hot-tub,none dedicated,entities/bromine,none,none identified,none needed this phase
shock,academy/sanitizers/shock-treatments-explained,pool-chlorine-levels-chart.html (algae row cited this phase),pool-shock-calculator hot-tub-shock-calculator,guides/chlorine/how-often-should-i-shock-my-pool; chlorine-too-high-after-shocking,over-shocking-pool-effects; swimming-after-shocking-pool,"entities/shock-treatment (cited Phase 7K/7L), green-water (cited)",programmatic/shock/* (6, differentiated this phase; citation-backed algae figure),none identified,generator-level citation now shared across all 6 volume pages
algae,academy/troubleshooting/green-water,none dedicated,none (folded into shock calculator),none dedicated,none dedicated,"entities/algae, green-water (cited)",programmatic/problems/green-pool-how-much-chlorine.html,none identified,none needed this phase
temperature,academy/fundamentals/how-temperature-changes-water-chemistry,none dedicated,none dedicated,guides/edge-cases/pool-temperature-effect-chlorine,pool-temperature-effect-chlorine,"entities/temperature (cited Phase 7K/7L)",none,none identified,strong existing cross-links (LSI, hot tub, chlorine demand)
water balance,academy/fundamentals/how-water-balance-works,pool-chemical-levels-chart.html,chemical-calculator (cited),academy/water-balance/water-balance-order; guides/advanced/pool-chemistry-balance-explained,rain-effect; evaporation-effect (new this phase),"entities/lsi, cloudy-water (concise by design, link out to depth)",none,none identified,evaporation guide closes the rain/evaporation symmetry gap
hot tubs,academy/fundamentals/pool-vs-hot-tub-chemistry,hot-tub-chlorine-levels-chart.html (cited) hot-tub-chemical-levels-chart.html,hot-tub-chlorine-calculator (cited) hot-tub-ph-calculator hot-tub-shock-calculator,academy/hot-tubs/* (6) guides/hot-tub/* (5),none dedicated (covered by hot-tub academy cluster),entities/hot-tub swim-spa,programmatic/hot-tubs/* (5, differentiated this phase),none identified,none needed this phase
pool equipment,academy/equipment/* (6 articles),none dedicated,none dedicated,none dedicated,none dedicated,"entities/pump, filtration, sand-filter, cartridge-filter, de-filter, heater, skimmer",none,none identified,none needed this phase
troubleshooting,academy/troubleshooting/* (6 articles),none dedicated,none (folded into relevant calculators),various edge-case guides cross-reference,cloudy-water; green-water; corrosion; scaling; strong-chlorine-smell,"entities/cloudy-water, corrosion, scaling, foaming, eye-irritation, skin-irritation",programmatic/problems/* (5),none identified,none needed this phase
