claim_id,entity_id,source_text,automated_status,final_disposition,reason,recommended_action,priority
"ec-combined-chlorine-0009","combined-chlorine","When CC exceeds 0.5 ppm, breakpoint chlorination (shock treatment) is required.","CONFLICTING","CONTEXTUAL","Matches the already-established Phase 7E/7F.1 finding: CDC MAHC sets a stricter 0.4 ppm action level for regulated public facilities, while 0.5 ppm is a commonly used residential target. Not a new discrepancy.","KEEP","HIGH"
"ec-ph-0069","ph","Above 7.8, chlorine effectiveness drops dramatically (at pH 8.0 only 22% of chlorine is active vs.","CONFLICTING","NON_CLAIM","""at pH 8.0 only 22% of chlorine is active"" is an illustrative data point inside a mechanism explanation (how HOCl fraction varies with pH), not a claim that pool pH should be 8. The cross-reference tool incorrectly compared it to the pH target-range registry.","KEEP","MEDIUM"
"ec-automatic-chlorinator-0133","automatic-chlorinator","Because trichlor contains CYA (58% by weight), regular use of tablet feeders gradually accumulates CYA in the water.","CONFLICTING","SUPPORTED","Product-composition fact (trichlor tablets contain ~58% CYA by weight, a standard manufacturer specification), not a pool-water target-range claim -- chemistry-ranges.js does not cover product composition, so the automated tool had no registry entry to match against. Internally consistent with the trichlor-tablets entity's own 58% CYA figure.","KEEP","MEDIUM"
"ec-shock-treatment-0140","shock-treatment","Shock treatment (superchlorination) involves raising free chlorine to a high level — typically 10 ppm for maintenance, 10× the combined chlorine level for breakpoint chlorination, or 30 ppm for algae recovery — to eliminate combined chlorine, algae, bacteria, and other contaminants.","CONFLICTING","REQUIRES_REVIEW","Registry has a shock_treatment record, but it is explicitly scoped to CDC/MAHC fecal-incident response (20 ppm, safety/incident guidance) and explicitly states it should not be presented as routine maintenance guidance. The entity's ""10 ppm for maintenance, 30 ppm for algae recovery"" figures describe a different scenario (routine/algae shock magnitude) the registry does not yet cover -- plausible, commonly-cited, but not directly verified against an authoritative source this pass.","RESEARCH","HIGH"
"ec-shock-treatment-0143","shock-treatment","Use calcium hypochlorite (65%) or liquid chlorine (sodium hypochlorite) for chlorine shocking.","CONFLICTING","SUPPORTED","Product composition (calcium hypochlorite ~65% available chlorine is a standard, widely-cited manufacturer specification) -- not a pool-water target claim. Matches the site's own formulas-data.js worked example, which also uses ""65% cal-hypo.""","KEEP","MEDIUM"
"ec-breakpoint-chlorination-0150","breakpoint-chlorination","Combined chlorine above 0.5 ppm is the trigger for breakpoint chlorination.","CONFLICTING","CONTEXTUAL","Same 0.4/0.5 ppm CC distinction as combined-chlorine.","KEEP","HIGH"
"ec-green-water-0204","green-water","Treatment involves lowering pH to 7.2 to maximize chlorine activity, brushing all surfaces, shocking to 30 ppm FC, and running the filter 24 hours.","CONFLICTING","REQUIRES_REVIEW","Same registry-coverage gap as ec-shock-treatment-0140; the 30 ppm figure is internally consistent with the shock-treatment entity's own ""30 ppm for algae recovery"" statement.","RESEARCH","HIGH"
"ec-skin-irritation-0232","skin-irritation","Skin irritation after pool or hot tub use can result from pH too far outside the neutral range (below 7.0 or above 8.0), high combined chlorine (chloramines), very high free chlorine (above 5 ppm), high bromine (above 10 ppm), or individual sensitivity to pool chemicals.","CONFLICTING","NON_CLAIM","Describes a symptom-onset threshold (""pH below 7.0 or above 8.0""), not a recommended target range. Consistent with (wider than) the registry's 7.0-7.8 SUPPORTED target -- a range slightly outside the target causing irritation is expected, not contradictory.","KEEP","HIGH"
"ec-skin-irritation-0234","skin-irritation","Skin irritation after pool or hot tub use can result from pH too far outside the neutral range (below 7.0 or above 8.0), high combined chlorine (chloramines), very high free chlorine (above 5 ppm), high bromine (above 10 ppm), or individual sensitivity to pool chemicals.","CONFLICTING","CONTEXTUAL","Bromine ""above 10 ppm"" as an irritation threshold is above the registry's SUPPORTED routine range (4.0-8.0 ppm, target 5.0) -- describes what happens when the routine range is meaningfully exceeded, not a contradiction of it.","KEEP","HIGH"
"ec-high-ph-0253","high-ph","High pH (above 7.8) significantly reduces free chlorine effectiveness — at pH 8.0, only 22% of FC is in the active HOCl form (compared to 67% at pH 7.2).","CONFLICTING","NON_CLAIM","Same illustrative-example pattern as ec-ph-0069.","KEEP","MEDIUM"
