item,source_phase,category,current_status,evidence_reviewed,decision,production_action,source_ids,risk,reason,future_phase
Routine shock dosing (2-5ppm vs 10-20ppm),7J/7K/7Q,shock_dosing,REQUIRES_REVIEW (re-verified unresolved),"4 sources checked this phase (2 original trade sources re-read via registry notes, PHTA Calcium Hypochlorite fact sheet, Indiana DOH breakpoint document) -- none resolves the disagreement",REQUIRES_REVIEW (preserved),None,poolspanews-algae-breakpoint-2016;aquamagazine-hasa-superchlorination-2020,medium,Genuine professional disagreement; no authoritative source states a general residential routine-shock absolute ppm figure. Checked the highest-tier candidate (government) and it defers to the breakpoint ratio only.,future phase with room for label-level/manufacturer research
Breakpoint chlorination rule of thumb (10x combined chlorine),7E/7E.1,shock_dosing,"RESOLVED (SUPPORTED, upgraded this phase)",Indiana Dept of Health 'How To Shock The Pool' fact sheet read in full (12 pages),SUPPORTED,"Registered new source; updated chemistry-claims.js + chemistry-ranges.js status; rendered citations on 3 pages (academy article, 2 entities)",in-doh-breakpoint-chlorination-2022,low,"Government/public-health-authority source states the exact claim almost verbatim, with full worked calculations built on the same ratio",none
Combined-chlorine definition and 0.5ppm breakpoint trigger,7J,entity_provenance,"RESOLVED (SUPPORTED, this phase)",Same Indiana DOH source -- direct match on CC=TC-FC definition and 0.5ppm regulatory trigger,SUPPORTED,Rendered new citation on entities/combined-chlorine.html,in-doh-breakpoint-chlorination-2022,low,Exact match to a government source; closes a Phase 7J HIGH-priority RESEARCH REQUIRED item,none
Water-replacement TDS(hot tub) 1500ppm trigger,7P/7Q,water_replacement,"RESOLVED (unchanged from 7Q, re-verified)","PHTA Water Conservation fact sheet, re-confirmed live this phase",SUPPORTED (confirmed),None (already implemented in 7Q),phta-water-conservation-droughts-2021,low,No drift found on re-verification,none
Water-replacement CYA 80ppm drain trigger,7P/7Q,water_replacement,"REQUIRES_REVIEW (re-verified, DEFER)",2 fresh searches this phase; closest source states a different figure (100ppm ANSI/APSP-11 ceiling) for a different purpose,"DEFER (KEEP, not REMOVE)",None,,low,"Plausible, non-contradicted, comfortably under the sourced 100ppm ceiling; REMOVE explicitly considered and rejected per minimum-necessary-change principle",future dedicated chemistry-evidence phase
Water-replacement calcium 500ppm drain trigger,7P/7Q,water_replacement,"REQUIRES_REVIEW (re-verified, DEFER)","2 fresh searches this phase; one AI-search-summary claim traced back to a source already read in full and found NOT to contain this figure -- explicitly flagged as a caught hallucination, not adopted","DEFER (KEEP, not REMOVE)",None,,low,Plausible (within the sourced 150-1000ppm ANSI range) but unconfirmed; same minimum-necessary-change reasoning as CYA above,future dedicated chemistry-evidence phase
Water-replacement pool TDS 3000ppm (non-salt) drain trigger,7P/7Q,water_replacement,"REQUIRES_REVIEW (re-verified, DEFER)","2 fresh searches this phase; only a different metric (1500ppm relative increase, already cited for hot tubs) was found, not this absolute pool figure","DEFER (KEEP, not REMOVE)",None,,low,Same reasoning as the other two water-replacement thresholds,future dedicated chemistry-evidence phase
Liquid chlorine calculator formula vs formulas/liquid-chlorine-formula.html equation mismatch,new this phase,calculator_provenance,CRITICAL FINDING (newly discovered),"Direct comparison of js/calc-utils.js's coded constant (128000) against formulas-data.js's documented equation (Strength% x 0.0128) -- a ~1,000,000x discrepancy; the page's own worked example self-flags 'that looks wrong' and abandons the documented equation for an undocumented alternate calculation",REQUIRES_EXPERT_REVIEW,None -- explicitly NOT changed per Section 8's stop-rule,,high,"Demonstrably inconsistent between documented formula and live calculator implementation; correction requires domain-expert reconciliation, not a judgment call this phase should make unilaterally","dedicated calculator-formula-audit phase, high priority"
LSI worked-example self-contradiction (formula-09),new this phase,calculator_provenance,CRITICAL FINDING (newly discovered),"Same worked example computes 3 different LSI values (1.6, then -2.2 with a '?', then -0.2) for identical inputs",REQUIRES_EXPERT_REVIEW,None -- explicitly NOT changed per Section 8's stop-rule,,high,"Same class of defect as the chlorine formula; also confirmed no LSI computation exists anywhere in the client-side JS (grepped, zero matches)","dedicated calculator-formula-audit phase, high priority"
pH adjustment formula equation abandoned mid-calculation (formula-04),new this phase,calculator_provenance,CONFIRMED (milder instance of same pattern),"Worked example states the documented equation, does not carry it to a final number, and switches to an separate unreferenced 'rule of thumb' instead",REQUIRES_EXPERT_REVIEW,None,,medium,Milder version of the formula-02/formula-09 pattern; the final answer given is plausible but not derived from the page's own stated equation,same future calculator-formula-audit phase
"Alkalinity calculator constant vs formula-05 explanation text mismatch (1.4 vs 1.5 lb/10,000gal/10ppm)",new this phase,calculator_provenance,CRITICAL FINDING (newly discovered),Direct comparison of calc-utils.js's coded constant (1.4) against formulas/alkalinity-formula.html's explanation text (1.5),REQUIRES_EXPERT_REVIEW,None,,medium,"Smaller (~7%) but real, previously-undetected discrepancy between documented and implemented values",same future calculator-formula-audit phase
"Salt calculator constant (12 ppm per lb per 10,000gal)",new this phase (audit),calculator_provenance,VERIFIED_MATH (upgraded from unaudited),Independently re-derived from water-density physical constants (8.34 lb/gal) this phase; matches the coded constant within rounding,VERIFIED_MATH,"None -- documentation only, no formula change",,low,The one dose-response constant in calc-utils.js that is mathematically derivable rather than a pure domain assumption,none
Pool/spa volume calculator geometry + unit constants,7D-3 (evidence inventory),calculator_provenance,"VERIFIED_MATH (confirmed, unchanged)",7.48052 gal/ft3 and 264.17 gal/m3 re-confirmed as exact physical constants,VERIFIED_MATH,None,,low,"Pure geometry and exact unit conversion, no domain assumption involved",none
Turnover-rate calculator formula,7D-3,calculator_provenance,"VERIFIED_MATH (confirmed, unchanged)",Pure definitional math (time = volume/rate); re-confirmed this phase,VERIFIED_MATH,None,,low,No domain assumption in the formula itself; the separate 8-hour PHTA target recommendation remains an uncited domain claim (unchanged),none
Pool/hot-tub shock calculator preset tiers vs sourced breakpoint rule,"7E/7L, refined this phase",calculator_provenance,UNSUPPORTED (root cause now identified),Confirmed the calculator's fixed 5/10/15/20ppm preset UI does not measure combined chlorine and therefore cannot implement the newly-SUPPORTED breakpoint-rule claim,"REQUIRES_EXPERT_REVIEW (unchanged disposition, new reasoning)",None -- calculator not modified,,medium,"New citation for the breakpoint rule does NOT extend to this calculator because the calculator's architecture doesn't use that concept at all -- a genuine domain-assumption/architecture mismatch, not a citation gap",future calculator-architecture phase (same one as the bromine/LSI standalone-calculator questions)
Bromine calculator,7N/7P/7Q,calculator_architecture,"OUT_OF_SCOPE (confirmed, unchanged)",Re-confirmed via grep: no bromine calculator or dosing coefficient exists anywhere in the codebase,OUT_OF_SCOPE,"None -- not created, no coefficient invented",,low,No independently-verified bromine dosing constant exists to build a calculator from,dedicated calculator-architecture phase
Standalone LSI calculator,7N/7P/7Q,calculator_architecture,"OUT_OF_SCOPE (confirmed, unchanged; audit found deeper incompleteness than previously documented)",Confirmed zero LSI computation exists in any client-side JS file; confirmed the only LSI content (formula-09) has a self-contradictory worked example and no real lookup-table data,OUT_OF_SCOPE,None -- no calculator built,,low,Architecturally far more incomplete than 'not yet built' -- there is no lookup-table data to build from yet either,"dedicated calculator-architecture phase, after the lookup-table data question is resolved"
Remaining entity-provenance queue (~54 after Phase 7Q's partial progress),"7J, tracked 7K-7Q",entity_provenance,PARTIALLY_RESOLVED (2 more closed this phase),"Cross-referenced the queue against the new in-doh-breakpoint-chlorination-2022 source; found and resolved 2 exact matches (combined-chlorine, breakpoint-chlorination)",PARTIALLY_RESOLVED,2 new real citations rendered,in-doh-breakpoint-chlorination-2022,low,"Queue now at ~52 (was ~54); incremental, evidence-driven closure continues, no mechanical coverage push performed","future phase(s), incrementally"
Material-science claims: vinyl liner bleaching,7K,material_science,CONFIRMED_SAFE (unchanged),Re-verified live this phase,CONFIRMED_SAFE,None,cffa-vinyl-liner-bleaching,low,No drift found,none
Material-science claims: fiberglass gelcoat/calcium,7K,material_science,CONFIRMED_SAFE (unchanged),Re-verified live this phase,CONFIRMED_SAFE,None,,low,"Correctly remains CONTEXTUAL, not force-upgraded",none
Material-science claims: concrete/gunite,7K,material_science,CONFIRMED_SAFE (unchanged),Re-verified live this phase,CONFIRMED_SAFE,None,,low,No dedicated numeric/safety claim requiring research,none
"Two architecturally-blocked authority-chart citations (hot-tub-chemical-levels-chart, salt-water-pool-chemical-levels-chart)",7L/7Q,citation_architecture,"ARCHITECTURALLY_BLOCKED (confirmed, unchanged)",Re-read CITATION-ELIGIBILITY.csv and the current single-citation-block-per-page rendering mechanism this phase; row-level citation support still does not exist,ARCHITECTURALLY_BLOCKED,"None -- no one-off chart hack built, no generic mechanism designed this phase",,medium,Building row-level citation support generically (not a one-off hack) requires template-architecture design work explicitly out of scope for a provenance-only phase per Section 13's own guidance,future phase scoped specifically to citation-template architecture
Forensic source-quality metric (AUTHORITY_RE),7Q,tooling,"CONFIRMED_SAFE (verified, unchanged)","Re-ran the forensic audit this phase; confirmed manufacturer/professional/material-association domains remain correctly recognized; new in.gov source already matched by the pre-existing generic .gov pattern, no regex change needed",CONFIRMED_SAFE,None,,low,No new defect found; Phase 7Q's fix remains intact and did not need extension,none
Generator double-execution / pipeline-ordering (entity-page footer whitespace),7Q,build_tooling,"CONFIRMED_SAFE (unchanged, intentionally deferred)",Not re-investigated this phase (out of this phase's primary scope per the Director's explicit framing),DEFER,None,,medium,Explicitly named in the brief as known-but-intentionally-deferred; re-litigating it here would be scope creep into a pipeline-architecture phase,future generator-pipeline-architecture phase
Footer whitespace nondeterminism,7M-7Q,build_tooling,"CONFIRMED_SAFE (unchanged, not primary purpose of this phase)",Not re-investigated beyond confirming no new production content changes introduce new instances,DEFER,None,,low,Explicitly named as NOT the primary purpose of this phase,future generator-pipeline-architecture phase (same as above)
