item,source_phase,category,current_status,evidence_reviewed,decision,action,production_change,source_ids,risk,reason,future_phase
Water-replacement TDS-increase (1500ppm hot tub) and general drain-for-high-CYA/TDS claims,7P,water_replacement,RESOLVED,"PHTA ""Water Conservation During Droughts"" fact sheet, fetched and read in full 2026-08-28",RESOLVED,Added real citation to entities/water-replacement.html scoped to exactly what the source supports,yes,phta-water-conservation-droughts-2021,low,"Primary industry-standard source directly matches the site's existing 1500ppm hot-tub figure; claim was previously uncited",none
Water-replacement CYA(80ppm)/calcium(500ppm)/pool-TDS(3000ppm) specific drain-trigger figures,7J,water_replacement,DEFERRED,"Same PHTA fact sheet reviewed but does not state these specific figures (states 100ppm CYA max / 30-50ppm ideal instead, no calcium/pool-TDS trigger)",DEFER,None -- correctly left uncited rather than force-matched to a source that doesn't state them,no,,low,"Do not invent or launder a citation onto a claim the source does not actually support (Step 17)",future chemistry-evidence phase
Covered-pool chemistry management gap,7N/7O/7P,content_gap,RESOLVED,"PHTA ""Water Conservation During Droughts"" fact sheet Section VII.E (Pool Cover), read in full 2026-08-28","EXPAND (existing entity, no new page)",Added 2 new sentences + real citation to entities/cover.html (data/entities/equipment.json),yes,phta-water-conservation-droughts-2021,low,"Genuine authoritative source found this phase closes the gap 7P deferred for lack of one; existing entity architecture reused, no new URL created",none
Dichlor dedicated article,7N,content_gap,REJECTED,"entities/sodium-dichlor.html re-read; no new distinct claims found beyond existing 218-word entity",REJECT,None,no,,low,"No distinct intent beyond existing entity coverage; a new article would restate rather than add (Step 25 word-count-padding prohibition)",none (re-open only if a genuinely new distinct question surfaces)
Calcium hypochlorite dedicated article,7N,content_gap,REJECTED (partially superseded),"entities/calcium-hypochlorite.html re-read; PHTA Calcium Hypochlorite fact sheet read in full 2026-08-28",REJECT (article) / RESOLVED (citation),No new article; added real citation for the calcium-addition claim instead,yes,phta-calcium-hypochlorite-fact-sheet-2021,low,"A dedicated article still isn't justified (no new distinct question), but the fact-sheet research did surface a genuine, previously-uncited, quantifiable claim on the existing entity page -- captured there instead",none
Fiberglass gelcoat / calcium hardness claim,7K,material_property,CONFIRMED_SAFE,"entities/fiberglass-pool.html and MATERIAL-EVIDENCE.md re-verified live; still CONTEXTUAL, still correctly uncited",CONFIRMED_SAFE,None -- state matches 7K's documented disposition exactly,no,,low,"Orenda source already reviewed in 7K explicitly pushes back on a single clean ppm rule; oversimplification of a defensible range is not a factual error requiring correction",none
Vinyl liner bleaching claim,7K,material_property,CONFIRMED_SAFE,entities/vinyl-pool.html re-verified live; citation still renders correctly,CONFIRMED_SAFE,None,no,cffa-vinyl-liner-bleaching,low,State matches 7K/7L's documented SUPPORTED disposition exactly; no drift found,none
Concrete/gunite pool material claims,7K,material_property,CONFIRMED_SAFE,"entities/concrete-pool.html re-checked; no numeric/safety claim requiring dedicated material-source research, consistent with 7K's finding",CONFIRMED_SAFE,None,no,,low,Non-numeric/definitional content already correctly outside the material-evidence queue,none
61-entity RESEARCH_REQUIRED queue (entity-provenance-decisions.csv),7J,entity_provenance,PARTIALLY_RESOLVED,"Cross-referenced the 61-entity list against every source added since 7J (7K/7L/7Q); 7 entities (trichlor-tablets, green-water, shock-treatment, temperature, vinyl-pool, water-replacement, cover, calcium-hypochlorite) now carry >=1 resolved/cited claim but correctly remain RESEARCH REQUIRED overall because each still has other unverified HIGH-priority claims",PARTIALLY_RESOLVED,"None to the CSV itself (historical snapshot, not consumed by any generator/validator) -- disposition captured here instead",no,,low,"A full 54-entity fresh research pass is disproportionate to a closure phase and would risk shallow/rushed sourcing; incremental resolution continues to happen naturally as each phase's real research surfaces citable sources","future phase(s), incrementally"
Routine-maintenance shock dosing disagreement (2-5ppm vs 10-20ppm),7J/7K,shock_dosing,CONFIRMED_SAFE (still unresolved),"Live entity/generator state re-verified matches 7K exactly; searched for a new PHTA source and read the PHTA Calcium Hypochlorite fact sheet in full -- it explicitly defers shock/superchlorination dosage to individual product labels rather than stating a number",DEFER (REQUIRES_REVIEW preserved),None,no,,medium,"Per Step 8's explicit instruction, this disagreement must not be 'solved' by picking a number; the most-likely authoritative candidate (PHTA) was checked this phase and confirmed it does not resolve it",future phase with room for a dedicated label-level research pass
Trichlor + calcium hypochlorite mixing hazard resolution,7K,chemical_mixing_safety,CONFIRMED_SAFE,"entities/trichlor-tablets.html and the compatibility.json dataset re-verified live; citation still renders; PHTA Calcium Hypochlorite fact sheet independently corroborates the same hazard from a second, non-SDS source type",CONFIRMED_SAFE,Added an independent corroborating citation on entities/calcium-hypochlorite.html (does not touch or replace the existing SDS-based citation on trichlor-tablets),yes,"microphor-trichlor-sds-2016;asepsis-calhypo-msds-2005;phta-calcium-hypochlorite-fact-sheet-2021",low,Original manufacturer-SDS resolution intact and unmodified; new citation strengthens rather than reopens it,none
pool-shock-calculator.html breakpoint-dosing citation gap,7E/7L,citation_coverage,CONFIRMED_SAFE (still uncited),"Re-checked CITATION-ELIGIBILITY.csv row; no new primary source for the breakpoint rule-of-thumb found this phase (same search that touched routine-shock evidence)",DEFER,None,no,,low,No calculator-formula change permitted this phase regardless; no new source found to cite the existing default,future phase
hot-tub-chemical-levels-chart.html row-level citation architecture gap,7L,citation_coverage,DEFERRED,"Re-read CITATION-ELIGIBILITY.csv; single-citation-block-per-page architecture still cannot express mixed row support without a template restructure",DEFER,None,no,,medium,"Fixing requires template churn (per-<td> footnote markers), explicitly out of scope for a closure phase per the Director's stop rules",future template-architecture phase
salt-water-pool-chemical-levels-chart.html row-level citation + FC/CYA scenario-mismatch question,7L,citation_coverage,DEFERRED,Re-read CITATION-ELIGIBILITY.csv and REVIEW-QUEUE.md; same architectural blocker plus an unresolved FC target (1-3ppm vs 2-4ppm CYA-stabilized) question,DEFER,None,no,,medium,Same architectural blocker as the hot-tub chart; the FC/CYA question requires deeper research into whether the site's SWG-specific guidance intentionally differs -- not resolved this phase,future phase
entities/shock-treatment.html routine (10ppm) and breakpoint-rule (10x combined chlorine) uncited figures,7L,citation_coverage,CONFIRMED_SAFE (still uncited),Re-verified the existing scoping note still correctly excludes these two figures from the rendered citation,CONFIRMED_SAFE,None,no,,low,Same unresolved routine-shock disagreement as above; breakpoint-rule figure still has no confirmed primary source,future phase
entities/unit-fahrenheit.html 78-84F/104F compound-sentence extraction near-miss,7K/7L,citation_coverage,DEFERRED,Re-read the entity page; the extraction-attribution near-miss is unchanged,DEFER,None,no,,low,"Splitting the longDescription sentence to isolate each numeric fact is a content-authoring task, not this phase's evidence-research scope",future phase
Forensic audit AUTHORITY_RE domain regex (413/413-style KPI),7L,tooling,RESOLVED,"scripts/audit-forensic/lib/derive.js reviewed; ran the forensic audit before and after the fix on the same current repository state",RESOLVED,Expanded AUTHORITY_RE to recognize phta.org/cmahc.org/blog.ansi.org/cffaperformanceproducts.org/msdsdigital.com/puraquapools.com/poolspanews.com/clevelandclinic.org/hasa.com,no (tooling only),,low,"Metric-definition change only, applied going forward -- does not retroactively alter any earlier phase's own published numbers. Before/after: 416/416 -> 402/416 major factual pages with zero recognized external authority citations",none
Production-content footer-whitespace nondeterminism (~168-171 files),7M/7N/7O/7P,build_tooling,"CONFIRMED_SAFE (root cause identified, fix deferred)","Empirically bisected the full generator pipeline; root-caused to generate-entity-pages.js running twice (data-then-render architecture) with non-idempotent whitespace interaction with the many injectors that run between the two calls",DEFER,"None (root cause documented, not fixed)",no,,medium,"Fixing safely requires reconciling a two-pass entity-generation architecture (removing or reordering one of the two generate-entity-pages.js calls) -- real template/pipeline-architecture churn, explicitly a DEFER trigger per Step 21",future phase scoped specifically to entity-generation-pipeline architecture
QA/report build-timestamp variability,7J (implicitly),build_tooling,CONFIRMED_SAFE,Re-confirmed via direct diff that reports/*.html and phase-7b/7c/7d/7d-1/7f validation-results.json differ only in an embedded build timestamp,CONFIRMED_SAFE,None -- explicitly not a defect,no,,none,"Deliberate, by-design behavior (a timestamped report)",none
