url,page_type,claim_id,claim_text,claim_family,source_registry_id,source_scope,source_verified,citation_eligible,citation_priority,reason
"/calculators/pool-chlorine-calculator.html","calculator","claim-fc-pool-no-cya","Pool free chlorine target range","sanitizer_level","cdc-healthy-swimming-home-treatment;cdc-mahc-2023","target_range","yes","yes","TIER_1","Already cited (Phase 7E), reconfirmed this phase"
"/calculators/hot-tub-chlorine-calculator.html","calculator","claim-fc-hottub-routine","Hot tub free chlorine target range","sanitizer_level","cdc-healthy-swimming-home-treatment","target_range","yes","yes","TIER_1","Already cited (Phase 7E), reconfirmed this phase"
"/pool-alkalinity-levels-chart.html","authority_chart","claim-ta-target","Total alkalinity 80-120 ppm row","alkalinity_target","phta-total-alkalinity-fact-sheet","single_row","yes","yes","TIER_1","Already cited (Phase 7E), reconfirmed this phase"
"/hot-tub-chlorine-levels-chart.html","authority_chart","claim-fc-hottub-routine","Hot tub free chlorine row","sanitizer_level","cdc-healthy-swimming-home-treatment","single_row","yes","yes","TIER_1","Already cited (Phase 7E), reconfirmed this phase"
"/entities/trichlor-tablets.html","entity","claim-trichlor-calhypo-mixing-hazard","Should not be mixed with calcium hypochlorite -- fire and explosion risk.","chemical_mixing_safety","microphor-trichlor-sds-2016;asepsis-calhypo-msds-2005","exact_claim","yes","yes","TIER_1","RENDERED this phase -- two manufacturer SDS documents directly support the exact claim"
"/entities/green-water.html","entity","claim-shock-algae-recovery-green","shocking to 30 ppm FC","algae_treatment","poolspanews-algae-breakpoint-2016","exact_claim","yes","yes","TIER_1","RENDERED this phase"
"/entities/temperature.html","entity","claim-temperature-hottub-safety-max","temperatures above 104°F can cause hyperthermia","water_temperature_safety","cmahc-mahc-5th-edition-2024","exact_claim","yes","yes","TIER_1","RENDERED this phase"
"/entities/shock-treatment.html","entity","claim-shock-algae-recovery-green","30 ppm for algae recovery","algae_treatment","poolspanews-algae-breakpoint-2016","partial_paragraph","yes","yes","TIER_1","RENDERED this phase with an explicit scoping note -- the 10ppm/breakpoint-rule figures in the same paragraph are NOT covered and remain uncited"
"/entities/vinyl-pool.html","entity","(material claim, no chemistry-claims.js parameter fit)","Vinyl liners can be bleached by direct contact with undissolved granular chemicals","material_property","cffa-vinyl-liner-bleaching","exact_claim","yes","yes","TIER_1","RENDERED this phase -- direct source citation (material claim, bypasses parameter-based claim schema)"
"/programmatic/shock/how-much-shock-for-5000-gallon-pool.html","programmatic","claim-shock-algae-recovery-green","Green algae recovery (30 ppm) dosage row","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase at generator level -- same claim family across all 6 volume pages, contextual per Step 7"
"/programmatic/shock/how-much-shock-for-10000-gallon-pool.html","programmatic","claim-shock-algae-recovery-green","Green algae recovery (30 ppm) dosage row","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase at generator level -- same claim family across all 6 volume pages, contextual per Step 7"
"/programmatic/shock/how-much-shock-for-15000-gallon-pool.html","programmatic","claim-shock-algae-recovery-green","Green algae recovery (30 ppm) dosage row","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase at generator level -- same claim family across all 6 volume pages, contextual per Step 7"
"/programmatic/shock/how-much-shock-for-20000-gallon-pool.html","programmatic","claim-shock-algae-recovery-green","Green algae recovery (30 ppm) dosage row","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase at generator level -- same claim family across all 6 volume pages, contextual per Step 7"
"/programmatic/shock/how-much-shock-for-25000-gallon-pool.html","programmatic","claim-shock-algae-recovery-green","Green algae recovery (30 ppm) dosage row","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase at generator level -- same claim family across all 6 volume pages, contextual per Step 7"
"/programmatic/shock/how-much-shock-for-30000-gallon-pool.html","programmatic","claim-shock-algae-recovery-green","Green algae recovery (30 ppm) dosage row","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase at generator level -- same claim family across all 6 volume pages, contextual per Step 7"
"/calculators/pool-ph-calculator.html","calculator","claim-ph-pool-routine","Pool pH target range 7.0-7.8","ph_target","cdc-healthy-swimming-home-treatment","target_range","yes","yes","TIER_1","RENDERED this phase -- Phase 7E found this citable but never implemented it; gap closed"
"/calculators/chemical-calculator.html","calculator","claim-ph-pool-routine;claim-fc-pool-no-cya;claim-ta-target;claim-ch-target","pH/FC/TA/CH target ranges","multi_parameter_target","cdc-healthy-swimming-home-treatment;cdc-mahc-2023;ansi-phta-11-2019;phta-total-alkalinity-fact-sheet","target_range_subset","yes","yes","TIER_1","RENDERED this phase, note explicitly excludes CYA/salt/dosing constants which remain unsupported"
"/pool-chlorine-levels-chart.html","authority_chart","claim-shock-algae-recovery-green","Green algae recovery row (corrected from an unsourced 20ppm figure)","algae_treatment","poolspanews-algae-breakpoint-2016","single_row","yes","yes","TIER_1","RENDERED this phase; content corrected to sync with Phase 7K findings (Step 16)"
"/pool-cya-levels-chart.html","authority_chart","claim-cya-routine-outdoor","Ideal CYA 30-50 ppm row","cya_target","","single_row","no","no","NOT_ELIGIBLE","range-cya-residential-routine-outdoor has zero source_ids -- REQUIRES_REVIEW, no primary source confirmed"
"/hot-tub-chemical-levels-chart.html","authority_chart","(multiple, mixed status)","Multi-parameter table: FC/pH/TA/CH/CYA/TDS rows","multi_parameter","","whole_page","mixed","no","NOT_ELIGIBLE","Mixed row support (FC and CYA rows are supported; pH row states a narrower range than the CDC source; CH/TDS rows have no source) -- current single-citation-block-per-page architecture cannot express row-level support without a content restructure, so no chart-level citation added per Step 8 (no blanket ""same source supports everything"")"
"/salt-water-pool-chemical-levels-chart.html","authority_chart","(multiple, mixed status)","Multi-parameter table: salt/FC/pH/TA/CYA/CH/TDS rows","multi_parameter","","whole_page","mixed","no","NOT_ELIGIBLE","Mixed row support (TA and CH rows exactly match supported claims; salt row is REQUIRES_REVIEW; pH row narrower than source; possible FC/CYA scenario mismatch not resolved this phase) -- flagged to REVIEW-QUEUE.md rather than cited"
"/calculators/pool-shock-calculator.html","calculator","claim-shock-breakpoint-rule","Shock dosing formula/default","shock_dosing","","formula","no","no","NOT_ELIGIBLE","CALCULATOR_REVIEW_REQUIRED (Phase 7E finding, unchanged) -- breakpoint rule-of-thumb has no confirmed source"
"/entities/shock-treatment.html","entity","claim-shock-breakpoint-rule","10 ppm for maintenance, 10x combined chlorine for breakpoint","shock_dosing","","exact_claim","no","no","NOT_ELIGIBLE","REQUIRES_REVIEW -- genuine 2-5ppm vs 10-20ppm source disagreement documented in Phase 7K, not resolved"
"/entities/unit-fahrenheit.html","entity","ec-unit-fahrenheit-0369","78-84°F residential / 100-104°F hot tub max","water_temperature_safety","","category_mismatch","n/a","no","NOT_ELIGIBLE","Extracted claim value (78-84) is the pool comfort figure, not the hot-tub 104F max the new source supports -- citing here would misattribute the source to a number it does not verify (Phase 7K near-miss, reconfirmed)"
"/entities/lsi.html","entity","ec-lsi-0089","Negative values (below -0.3) indicate corrosive water","corrosion_mechanism","","n/a","no","no","TIER_3","No LSI/corrosion source in registry -- verification debt, not reviewed further this phase per stop-rule"
"/entities/copper.html","entity","ec-copper-0043","Copper causes green staining above 0.3 ppm","metal_staining","","n/a","no","no","TIER_3","No metal-staining source in registry"
"/legal/ownership.html","legal","(none)","(non-factual page)","n/a","","n/a","n/a","no","NOT_ELIGIBLE","Legal/navigation page, not a factual chemistry claim page"
