calculator_page,source_file,function_name,formula_as_implemented,constants,input_units,output_units,doc_page,doc_formula,worked_example_status,math_or_domain_assumption,evidence_for_constant,status
calculators/pool-volume-calculator.html; spa-volume-calculator.html,js/calc-utils.js,calculatePoolVolume / calculateSpaVolume,L x W x avgDepth x 7.48052 (rect); pi*r^2*depth*7.48052 (circular); pi*(L/2)*(W/2)*depth*7.48052 (oval),7.48052 gal/ft3 (exact),feet,"gallons, liters",formulas/pool-volume-formula.html,Volume = L x W x AvgDepth x 7.48,"matches (rounds 7.48052 to 7.48, consistent)",MATH,"Exact, independently verifiable physical constant (1 ft3 = 7.48052 US gal)",VERIFIED_MATH
calculators/pool-turnover-rate-calculator.html,js/calc-utils.js,calculateTurnover,hours = gallons / flow_gph,none,"gallons, gal/hr",hours,formulas/turnover-formula.html,Turnover Time = Volume / GPH,matches,MATH,Definitional (rate x time = quantity),VERIFIED_MATH
calculators/pool-chlorine-calculator.html; hot-tub-chlorine-calculator.html; chemical-calculator.html,js/calc-utils.js; js/calculator.js (duplicate),calculateChlorine/liquidChlorineOunces (type=liquid),ounces = (gal x ppm) / 749.4,749.4 (Phase 7S corrected; was 128000),"gallons, ppm",fl oz,formulas/liquid-chlorine-formula.html,Fluid ounces = (TargetFC-CurrentFC) x Volume x 0.013344 / Strength% (Phase 7S corrected),"Phase 7S: rewritten, single consistent answer",MATH (form) + DOMAIN (10%-strength assumption),Indiana DOH government table + independent first-principles derivation (LIQUID-CHLORINE-AUDIT.md),RESOLVED (was IMPLEMENTATION_ERROR + DOCUMENTATION_ERROR)
calculators/pool-chlorine-calculator.html; chemical-calculator.html (granular option),js/calc-utils.js; js/calculator.js,calculateChlorine/granularShockOunces (type=granular),ounces = (gal x ppm) / 10000,10000 (unchanged),"gallons, ppm",fl oz,none dedicated,n/a,n/a,DOMAIN (unspecified product),No specific product identified in the government table matching this exact ratio,REQUIRES_EXPERT_REVIEW
calculators/pool-chlorine-calculator.html; chemical-calculator.html (tablets option),js/calc-utils.js; js/calculator.js (duplicate),calculateChlorine/tabletChlorineOunces (type=tablets),ounces = (gal x ppm) / 6666.7,6666.7 (Phase 7S corrected; was 12000),"gallons, ppm",fl oz,none dedicated,n/a,n/a,"DOMAIN (trichlor, ~90% available chlorine)","Indiana DOH table (1.5 oz/10,000gal/1ppm trichlor) + this site's own dosage-matrices.json trichlor-tablets-90pct record (already correct, now wired in)",RESOLVED (was IMPLEMENTATION_ERROR)
calculators/pool-shock-calculator.html; hot-tub-shock-calculator.html,js/calc-utils.js,calculateShock,ounces = (gal x targetPpm) / 10000,10000 (unchanged),"gallons, ppm","fl oz, lbs",formulas/shock-formula.html,Shock dose(oz) = [(TargetFC-CurrentFC) x Volume] / [Available Cl% x 800],"Newly found: worked example labels result 'lbs' while equation says 'oz'; result (~3.1oz/10,000gal/1ppm implied) is ~1.5x higher than Indiana table's cal-hypo figure (2.0)","DOMAIN (unspecified product for the preset-tier UI; formula-03's cal-hypo-specific equation is a SEPARATE, unimplemented path)",Preset architecture: none needed (UX choice). Underlying divisor: no specific product identified.,REQUIRES_EXPERT_REVIEW (both the preset divisor and formula-03's own equation)
calculators/pool-ph-calculator.html; hot-tub-ph-calculator.html; chemical-calculator.html,js/calc-utils.js; js/calculator.js (duplicate),calculatePHAdjustment/phIncreaserOunces/phReducerOunces,oz = (gal/10000) x |diff| x 6 (increaser) or x 5 (reducer),"6, 5 (unchanged)","gallons, pH units",fl oz,formulas/ph-adjustment-formula.html,Acid dose(fl oz) = DeltaPH x Volume x (0.0833/AcidConcentration%),"Newly found: equation as stated is dimensionally incomplete (missing gallons-normalization term); worked example silently adds it then abandons the equation for a third, unreferenced rule of thumb","DOMAIN (inherently TA-dependent, no fixed constant is 'correct' independent of alkalinity)","No source found stating a TA-independent pH dose-per-unit figure (government table only covers TA-driven acid dosing, not pH directly)",REQUIRES_EXPERT_REVIEW (unchanged)
calculators/pool-alkalinity-calculator.html; chemical-calculator.html (informational only),js/calc-utils.js,calculateAlkalinity,lb = (gal/10000) x (ppm/10) x 1.4,"1.4 (unchanged, confirmed correct)","gallons, ppm","lbs, oz",formulas/alkalinity-formula.html,Sodium bicarbonate(oz) = TA_Increase x Volume x 0.000224 (Phase 7S corrected equation+doc),"Phase 7S: rewritten, single consistent answer matching the implementation",MATH (form) + DOMAIN (sodium-bicarbonate-specific constant),"Indiana DOH government table (1.4 lbs/10,000gal/10ppm sodium bicarbonate) -- implementation already matched, documentation corrected to match it",RESOLVED (was DOCUMENTATION_ERROR)
calculators/pool-cyanuric-acid-calculator.html,js/calc-utils.js,calculateCYA,oz = (gal/10000) x (ppm/10) x 13,13 (not audited this phase -- not in the 4 named findings),"gallons, ppm",fl oz,formulas/cya-formula.html,"'13 oz of CYA granules raises a 10,000-gallon pool by approximately 10 ppm'",Consistent between calculator and doc (both say 13),DOMAIN (granular CYA formulation),Internally consistent between implementation and documentation; not independently verified against a primary source this phase,SUPPORTED_DOMAIN_ASSUMPTION (internally consistent; not primary-source-verified)
calculators/saltwater-pool-salt-calculator.html,js/calc-utils.js,calculateSalt,lb = (gal/10000) x (ppm/12),12 (independently re-derived and confirmed this phase),"gallons, ppm",lbs,formulas/salt-formula.html,Salt to add(lbs) = (Target-Current) x Volume x 0.0000834,"Consistent (0.0000834 x 10000 x 12000... verified: matches 1/12 per 10,000gal structure)",MATH (derivable from water-density + ppm-by-weight definition; salt is treated as ~100% pure NaCl by convention),"Independently re-derived from 8.34 lb/gal water density: 1 lb NaCl / (10,000gal x 8.34lb/gal) = ~12 ppm -- confirmed to match the coded constant",VERIFIED_MATH (upgraded from unaudited; matches independent derivation)
calculators/chemical-calculator.html (calcium hardness),none -- not implemented,n/a,"No calcium-hardness input field, target, or output exists on this page.",n/a,n/a,n/a,none dedicated on this calculator (formula-06 does not exist as a standalone page either),n/a,n/a,n/a (no implementation to classify),Trust panel previously falsely claimed this calculator computes a calcium-hardness dose. Corrected this phase.,DOCUMENTATION_ERROR (RESOLVED -- false claim removed)
calculators/chemical-calculator.html (total alkalinity),"none -- alkalinity is read as informational input only, never used in a calculation",n/a,Alkalinity input field exists but is never referenced in the submit handler's calculation logic (verified by reading the full inline script).,n/a,n/a,n/a,formulas/alkalinity-formula.html exists but is not invoked by this calculator,n/a,n/a,n/a (informational field only),Trust panel previously falsely claimed this calculator performs a total-alkalinity adjustment. Corrected this phase.,DOCUMENTATION_ERROR (RESOLVED -- false claim removed)
calculators/chemical-calculator.html (LSI),none -- confirmed absent from js/calc-utils.js and js/calculator.js,n/a,No LSI computation exists anywhere in client-side JS.,n/a,n/a,n/a,formulas/lsi-formula.html,LSI = pH + TF + CHF + TAF - 12.1,"Phase 7S: rewritten using real, sourced lookup-table values (data/datasets/water-balance.json); single consistent answer","MATH (form, published Langelier 1936 model) + DOMAIN (lookup-table factor values, sourced from Taylor Technologies)",Lookup-table data exists and is sourced (Taylor Technologies); no interpolation methodology or computation code exists,"ARCHITECTURAL_GAP (documentation corrected; no calculator built, per explicit instruction)"
