file_path,title_length_before,title_before,title_length_after,title_after,status,reason
"academy/fundamentals/how-temperature-changes-water-chemistry.html","69","How Temperature Changes Water Chemistry | Academy | WaterBalanceTools","69","How Temperature Changes Water Chemistry | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/troubleshooting/cloudy-water.html","69","Cloudy Pool Water: Causes and Solutions | Academy | WaterBalanceTools","69","Cloudy Pool Water: Causes and Solutions | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/troubleshooting/corrosion.html","67","Pool Corrosion: Causes and Prevention | Academy | WaterBalanceTools","67","Pool Corrosion: Causes and Prevention | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/troubleshooting/foaming-hot-tubs.html","68","Foaming Hot Tubs: Causes and Solutions | Academy | WaterBalanceTools","68","Foaming Hot Tubs: Causes and Solutions | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/troubleshooting/strong-chlorine-smell.html","73","Strong Chlorine Smell: What It Really Means | Academy | WaterBalanceTools","73","Strong Chlorine Smell: What It Really Means | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/vacation-rentals/chemical-log-sheets.html","70","Chemical Log Sheets for Vacation Rentals | Academy | WaterBalanceTools","70","Chemical Log Sheets for Vacation Rentals | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/vacation-rentals/emergency-water-recovery.html","75","Emergency Water Recovery for Vacation Rentals | Academy | WaterBalanceTools","75","Emergency Water Recovery for Vacation Rentals | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/vacation-rentals/guest-safety.html","68","Pool Guest Safety for Vacation Rentals | Academy | WaterBalanceTools","68","Pool Guest Safety for Vacation Rentals | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/vacation-rentals/maintenance-schedule.html","76","Pool Maintenance Schedule for Vacation Rentals | Academy | WaterBalanceTools","76","Pool Maintenance Schedule for Vacation Rentals | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/vacation-rentals/turnover-checklist.html","74","Pool Turnover Checklist for Vacation Rentals | Academy | WaterBalanceTools","74","Pool Turnover Checklist for Vacation Rentals | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/vacation-rentals/weekly-inspection.html","73","Weekly Pool Inspection for Vacation Rentals | Academy | WaterBalanceTools","73","Weekly Pool Inspection for Vacation Rentals | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/water-balance/understanding-lsi.html","74","Understanding the Langelier Saturation Index | Academy | WaterBalanceTools","74","Understanding the Langelier Saturation Index | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"academy/water-balance/water-balance-order.html","71","Water Balance Order: The Correct Sequence | Academy | WaterBalanceTools","71","Water Balance Order: The Correct Sequence | Academy | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"calculators/volume-calculator.html","70","Pool Volume Calculator (calculators) (calculators) | WaterBalanceTools","70","Pool Volume Calculator (calculators) (calculators) | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"comparisons/chlorine-vs-bromine.html","71","Chlorine vs Bromine: Which Is Better for Your Pool? | WaterBalanceTools","71","Chlorine vs Bromine: Which Is Better for Your Pool? | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"comparisons/free-chlorine-vs-total-chlorine.html","75","Free Chlorine vs Total Chlorine: What's the Difference? | WaterBalanceTools","75","Free Chlorine vs Total Chlorine: What's the Difference? | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"comparisons/liquid-chlorine-vs-tablets.html","73","Liquid Chlorine vs Chlorine Tablets: Which Is Better? | WaterBalanceTools","73","Liquid Chlorine vs Chlorine Tablets: Which Is Better? | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
"comparisons/pool-shock-vs-chlorine.html","66","Pool Shock vs Chlorine: What's the Difference? | WaterBalanceTools","66","Pool Shock vs Chlorine: What's the Difference? | WaterBalanceTools","UNCHANGED","Not part of the redundant programmatic-suffix pattern; would require individual, page-specific title rewording rather than a systemic fix -- left for a future dedicated metadata pass."
