url,file_path,cluster,originality_score,originality_evidence,usefulness_score,usefulness_evidence,completeness_score,completeness_evidence,specificity_score,specificity_evidence,accuracy_risk_score,accuracy_risk_evidence,repetition_score,repetition_evidence,search_intent_match_score,search_intent_match_evidence,user_task_completion_score,user_task_completion_evidence,aeo_answer_quality_score,aeo_answer_quality_evidence,trust_signals_score,trust_signals_evidence,overall_quality_score
https://waterbalancetools.com/404,404.html,root,3,Page has no sibling pages in its cluster family for comparison.,0,word_count=25; task-support signals=[none].,0,"word_count=25, heading_count=1.",0,0 sentence(s) with numeric ranges/units detected on page.,3,No chemistry claims with numeric ranges detected on this page.,3,Page participates in 0 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=130 chars, h1_count=1.",0,word_count=25; task-support signals=[none].,0,No answer-first structural signals detected.,1,last-updated date present; no named author or reviewer anywhere on page (sitewide pattern),1.3
https://waterbalancetools.com/about/,about/index.html,about,3,Page has no sibling pages in its cluster family for comparison.,1,word_count=228; task-support signals=[none].,2,"word_count=228, heading_count=7.",0,0 sentence(s) with numeric ranges/units detected on page.,3,No chemistry claims with numeric ranges detected on this page.,3,Page participates in 0 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=120 chars, h1_count=1.",1,word_count=228; task-support signals=[none].,1,single clear H1 with sufficient body text,1,last-updated date present; no named author or reviewer anywhere on page (sitewide pattern),1.8
https://waterbalancetools.com/academy/equipment/automatic-chlorinators,academy/equipment/automatic-chlorinators.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=724; task-support signals=[calculator/form present].,3,"word_count=724, heading_count=12.",3,5 sentence(s) with numeric ranges/units detected on page.,2,5 chemistry claim(s) detected; external sources exist sitewide.,2,Page participates in 2 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=153 chars, h1_count=1.",2,word_count=724; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",2.2
https://waterbalancetools.com/academy/equipment/,academy/equipment/index.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,1,word_count=219; task-support signals=[none].,2,"word_count=219, heading_count=3.",0,0 sentence(s) with numeric ranges/units detected on page.,3,No chemistry claims with numeric ranges detected on this page.,2,Page participates in 1 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=58 chars, h1_count=1.",1,word_count=219; task-support signals=[none].,1,single clear H1 with sufficient body text,1,last-updated date present; no named author or reviewer anywhere on page (sitewide pattern),1.7
https://waterbalancetools.com/academy/equipment/pool-filters,academy/equipment/pool-filters.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=747; task-support signals=[calculator/form present].,3,"word_count=747, heading_count=12.",0,0 sentence(s) with numeric ranges/units detected on page.,3,No chemistry claims with numeric ranges detected on this page.,1,Page participates in 4 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=122 chars, h1_count=1.",2,word_count=747; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",1.9
https://waterbalancetools.com/academy/equipment/pool-pumps,academy/equipment/pool-pumps.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=677; task-support signals=[calculator/form present].,3,"word_count=677, heading_count=12.",2,1 sentence(s) with numeric ranges/units detected on page.,2,1 chemistry claim(s) detected; external sources exist sitewide.,2,Page participates in 1 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=148 chars, h1_count=1.",2,word_count=677; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",2.1
https://waterbalancetools.com/academy/equipment/pool-skimmers,academy/equipment/pool-skimmers.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=750; task-support signals=[calculator/form present].,3,"word_count=750, heading_count=12.",0,0 sentence(s) with numeric ranges/units detected on page.,3,No chemistry claims with numeric ranges detected on this page.,2,Page participates in 2 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=117 chars, h1_count=1.",2,word_count=750; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",2
https://waterbalancetools.com/academy/equipment/salt-systems,academy/equipment/salt-systems.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=773; task-support signals=[calculator/form present].,3,"word_count=773, heading_count=12.",3,6 sentence(s) with numeric ranges/units detected on page.,2,6 chemistry claim(s) detected; external sources exist sitewide.,2,Page participates in 2 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=155 chars, h1_count=1.",2,word_count=773; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",2.2
https://waterbalancetools.com/academy/equipment/sand-vs-cartridge-filters,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=704; task-support signals=[calculator/form present].,3,"word_count=704, heading_count=12.",0,0 sentence(s) with numeric ranges/units detected on page.,3,No chemistry claims with numeric ranges detected on this page.,2,Page participates in 2 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=147 chars, h1_count=1.",2,word_count=704; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",2
https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals,3,Page has no sibling pages in its cluster family for comparison.,2,word_count=650; task-support signals=[calculator/form present].,3,"word_count=650, heading_count=12.",3,4 sentence(s) with numeric ranges/units detected on page.,2,4 chemistry claim(s) detected; external sources exist sitewide.,2,Page participates in 2 exact repeated paragraph/heading/FAQ block(s) shared with sibling pages.,3,"meta_description length=129 chars, h1_count=1.",2,word_count=650; task-support signals=[calculator/form present].,1,single clear H1 with sufficient body text,1,"last-updated date present; has ""knowledge-sources""/""sources"" block (site-wide check: contains no external citations, only a review date -- see source-audit.csv); no named author or reviewer anywhere on page (sitewide pattern)",2.2
