record_id,source_file,source_line,source_sentence,extracted_parameter,extracted_value,extracted_unit,extracted_context,expected_parameter,expected_value,expected_unit,expected_context,classification,reason
sample-015,academy/equipment/automatic-chlorinators.html,,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",ph,,,pool/unspecified_sanitizer,cyanuric_acid,80-100,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds cyanuric_acid as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-060,academy/fundamentals/how-temperature-changes-water-chemistry.html,,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,ph,,,unspecified_env/chlorine,water_temperature;water_temperature,10-10;80-80,°f;°f,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds water_temperature as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-070,academy/fundamentals/how-temperature-changes-water-chemistry.html,,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",ph,,,unspecified_env/unspecified_sanitizer,lsi;lsi,-0.1--0.1;68-68;0.4-0.4;90-90,°f;°f,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-085,academy/fundamentals/how-water-balance-works.html,,"Balancing in Practice Start by adjusting total alkalinity to 80–120 ppm, which supports stable pH.",ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-103,academy/fundamentals/pool-vs-hot-tub-chemistry.html,,The Langelier Saturation Index also shifts significantly with temperature — water that is balanced at 80°F can be aggressively scaling at 100°F with the same hardness and alkalinity values.,total_alkalinity,,,unspecified_env/unspecified_sanitizer,water_temperature,80-80;100-100,°f;°f,,PARAMETER_MISCLASSIFICATION,"Old attributed ""total_alkalinity"" via whole-sentence keyword search; the new proximity-based extractor instead finds water_temperature as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""total_alkalinity"" does not appear to be what the number(s) measure."
sample-107,academy/fundamentals/the-four-core-water-tests.html,,Total alkalinity (80–120 ppm) buffers pH against sudden changes.,ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-122,academy/fundamentals/understanding-pool-water-chemistry.html,,Total alkalinity between 80 and 120 ppm stabilises pH and prevents rapid swings.,ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-131,academy/fundamentals/understanding-pool-water-chemistry.html,,"Without adequate alkalinity (target 80–120 ppm), pH swings wildly with every chemical addition or rainstorm.",ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-207,academy/hot-tubs/shock-after-heavy-use.html,,"In a small hot tub volume (300–500 gallons), even two or three bathers in an extended session can consume most of the free chlorine and leave behind significant combined chlorine.",free_chlorine,,,hot_tub/chlorine,pool_volume,300-500,gallons,hot_tub,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds pool_volume as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-438,academy/troubleshooting/corrosion.html,,Ideal Range: N/A (prevented by LSI > −0.3) Calculators Chemical Calculator Related Langelier Saturation Index pH Total Alkalinity Calcium Hardness Copper Iron Full entity details → In This Category Cloudy Pool Water: Causes and Solutions Green Pool Water: How to Fix It Foaming Hot Tubs: Causes and S…,ph,,,unspecified_env/unspecified_sanitizer,lsi,0.3-0.3,,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
