topic,research_method,date,source,url,what_source_establishes,supports_proposed_topic,supplies_authoritative_chemistry_claims
first-fill/newly-plastered pool chemistry,WebSearch,2026-08-28,search result landscape,n/a (search query only),"Query dominated by PHTA/NPC/AQUA Magazine trade sources rather than generic consumer blogs, indicating an industry-standard answer exists for this query.",yes,no (landscape signal only)
first-fill/newly-plastered pool chemistry,WebFetch (full document read),2026-08-28,Pool & Hot Tub Alliance (PHTA) Recreational Water Quality Committee,https://www.phta.org/pub/?id=33925d23-1866-daac-99fb-dbf23704fd63,"Full 28-day fresh-fill start-up procedure for plaster pools (NPC procedure, published via PHTA): staged alkalinity/pH/calcium-hardness targets by day, chlorine timing (no chlorine 48h, FC 1.5-3ppm Day 3), CYA introduction (30-50ppm from Day 4, min 3 days via skimmer), salt/heater/shock restrictions.",yes,yes
first-fill/newly-plastered pool chemistry,WebFetch (attempted),2026-08-28,National Plasterers Council,https://www.nptpool.com/pool-finishes/start-up-procedure/,"HTTP 403 -- could not be read. Not cited anywhere in the new page or chemistry-sources.js.",unknown (not accessed),no
covered-pool chemistry management,WebSearch,2026-08-28,search result landscape,n/a (search query only),"Dominant results are pool-cover retailer/installer content marketing sites; specific numeric claims (90% chlorine retention, 40% less chlorine) found with no independent primary source identifiable behind them.",partial (real intent, insufficient source tier),no
water-replacement / full-drain-refill chemistry,WebSearch,2026-08-28,search result landscape,n/a (search query only),"Dominant results are pool-service-company blogs; recurring but not independently-sourced numeric thresholds (CYA >100ppm, TDS >2500ppm) for when a full drain is warranted.",partial (real intent, thresholds likely duplicate existing site content),no
dichlor dedicated article,internal repository re-read,2026-08-28,entities/sodium-dichlor.html (existing site content),n/a (internal),"Confirmed unchanged since 7N: 218-word definitional entity, no dedicated academy article exists.",no new evidence found to support a new page,n/a
calcium hypochlorite dedicated article,internal repository re-read,2026-08-28,entities/calcium-hypochlorite.html (existing site content),n/a (internal),"Confirmed unchanged since 7N: 267-word definitional entity already carries the Phase-7K-verified trichlor mixing-hazard fact.",no new evidence found to support a new page,n/a
salt-pool week-to-week chemistry management,internal repository re-read,2026-08-28,academy/equipment/salt-systems.html (existing site content),n/a (internal),"Direct re-read found a substantive, already-cited 'Water Chemistry for Salt Pools' section covering pH drift/alkalinity/hardness/CYA specific to SWG pools -- contradicts 7N's characterization of this page as hardware-only.",no -- intent already satisfied,n/a
bromine dosing calculator,internal repository re-read,2026-08-28,formulas/ and calculators/ directories (existing site content),n/a (internal),Confirmed no bromine dosing formula exists anywhere in the codebase.,blocked by Step 25 scope prohibition regardless of evidence,n/a
standalone LSI calculator,internal repository re-read,2026-08-28,calculators/chemical-calculator.html and academy/water-balance/understanding-lsi.html (existing site content),n/a (internal),Confirmed LSI is computed only inside the multi-parameter calculator; no standalone calculator page/route exists.,blocked by Step 25 scope prohibition regardless of evidence,n/a
