entity_id,slug,page_url,longDescription,description_length,claim_count,chemistry_claim_count,non_chemistry_claim_count,sourceOrganizations,existing_claim_family,existing_source_registry_ids,review_status
"free-chlorine","free-chlorine","https://waterbalancetools.com/entities/free-chlorine","Free chlorine (FC) is the portion of chlorine in pool water that has not yet reacted with contaminants. It exists primarily as hypochlorous acid (HOCl) and hypochlorite ion (OCl−). HOCl is the active sanitizing form and is 40–80× more effective than OCl−. The ratio of HOCl to OCl− is determined by pH — lower pH means more HOCl. Free chlorine must be maintained above the minimum level dictated by the cyanuric acid concentration.","431","5","5","0","phta;cdc","","","PHASE_7J_AUDITED"
"combined-chlorine","combined-chlorine","https://waterbalancetools.com/entities/combined-chlorine","Combined chlorine (CC) is the difference between total chlorine and free chlorine. It consists primarily of chloramines — compounds formed when chlorine reacts with ammonia, urea, and other nitrogen compounds from bathers. Chloramines are responsible for the ""pool smell,"" eye irritation, and respiratory irritation often mistakenly blamed on too much chlorine. When CC exceeds 0.5 ppm, breakpoint chlorination (shock treatment) is required.","441","4","4","0","phta;cdc","range-cc-pool-hottub-max","range-cc-pool-hottub-max","PHASE_7J_AUDITED"
"total-chlorine","total-chlorine","https://waterbalancetools.com/entities/total-chlorine","Total chlorine (TC) equals free chlorine plus combined chlorine. Most DPD-based test kits measure total chlorine directly, while free chlorine requires a separate reagent. Combined chlorine is calculated as TC minus FC. Total chlorine by itself tells you little about water safety — what matters is the free chlorine level and how much has become combined.","356","4","4","0","phta","","","PHASE_7J_AUDITED"
"bromine","bromine","https://waterbalancetools.com/entities/bromine","Bromine is an alternative to chlorine as a pool and spa sanitizer. It is more stable than chlorine at high temperatures and high pH, making it popular for hot tubs. Unlike chlorine, bromine can be regenerated by adding an oxidizer — the bromamines formed are still effective sanitizers. Bromine cannot be stabilized with cyanuric acid, making it unsuitable for outdoor pools exposed to direct sunlight. It is sold as BCDMH tablets or as a two-part sodium bromide / oxidizer system.","481","5","4","1","phta","","","PHASE_7J_AUDITED"
"cyanuric-acid","cyanuric-acid","https://waterbalancetools.com/entities/cyanuric-acid","Cyanuric acid (CYA) — also called stabilizer or conditioner — binds to free chlorine to protect it from UV photolysis. Without CYA, outdoor pool chlorine can degrade to near-zero within 30–60 minutes in direct sunlight. However, CYA also reduces chlorine's activity. As CYA increases, the minimum effective free chlorine level must increase proportionally. CYA above 80–100 ppm causes chlorine lock, where chlorine is present but largely ineffective. CYA cannot be reduced chemically — only dilution by partial drain and refill removes it.","539","6","6","0","phta;taylor-technologies","range-cya-saltwater-outdoor","range-cya-saltwater-outdoor","PHASE_7J_AUDITED"
"calcium-hardness","calcium-hardness","https://waterbalancetools.com/entities/calcium-hardness","Calcium hardness (CH) is the measure of dissolved calcium ions in pool water. It is one of the five variables in the Langelier Saturation Index. Water with low calcium is aggressive — it will dissolve calcium from plaster, grout, and equipment. Water with high calcium is scale-forming — calcium carbonate precipitates on surfaces and inside equipment. The ideal range depends on pool surface type: plaster pools need higher calcium (200–400 ppm) than vinyl or fiberglass pools (150–250 ppm). Calcium hardness can only be lowered through partial drain and refill.","563","6","6","0","phta;taylor-technologies","","","PHASE_7J_AUDITED"
"salt","salt","https://waterbalancetools.com/entities/salt","Pool salt is pure sodium chloride (NaCl) added to pool water for use with a salt chlorinator (also called a saltwater generator or SWCG). The system electrolytically converts dissolved salt into hypochlorous acid — the same active disinfectant as manually added chlorine. Salt level must stay within the system's specified range (typically 2,700–3,400 ppm) for the cell to operate efficiently. Salt does not evaporate; the level only drops through dilution from rain or water replacement. Human sweat is saltier than a properly maintained salt pool.","549","5","5","0","phta","range-salt-generic-operating;range-salt-pentair","range-salt-generic-operating;range-salt-pentair","PHASE_7J_AUDITED"
"total-dissolved-solids","total-dissolved-solids","https://waterbalancetools.com/entities/total-dissolved-solids","Total dissolved solids (TDS) is the sum of all inorganic and organic substances dissolved in pool water — minerals, chemicals, byproducts of sanitization, bather waste, and more. TDS increases over time as chemicals are added and water evaporates. High TDS can reduce chemical effectiveness, cause foaming in hot tubs, and contribute to cloudy water. The only remedy is partial or full water replacement. In hot tubs, TDS above 1,500 ppm over the baseline is a standard trigger for water change.","495","5","4","1","phta","","","PHASE_7J_AUDITED"
"phosphate","phosphate","https://waterbalancetools.com/entities/phosphate","Phosphates are compounds containing phosphorus (PO4³⁻) that enter pool water from bather waste, lawn fertilizer runoff, fill water, and certain pool chemicals. Phosphates are a primary nutrient for algae. While low phosphate levels alone do not cause algae (chlorine control is paramount), very high phosphate levels (above 500–1,000 ppb) can reduce chlorine effectiveness and increase algae risk. Phosphate removers are available but their necessity is debated — good chlorine management prevents algae regardless of phosphate level.","534","4","4","0","phta","","","PHASE_7J_AUDITED"
"copper","copper","https://waterbalancetools.com/entities/copper","Copper can enter pool water from copper-based algaecides, copper-silver ionizers, copper pipes, or from the fill water itself. At elevated levels (above 0.3 ppm), copper causes green staining of pool surfaces and hair. This is often confused with algae but is actually copper oxidation. Copper staining is treated with sequestrants and by identifying and eliminating the copper source. Corrosive water (low LSI) accelerates copper leaching from equipment.","455","5","3","2","","","","PHASE_7J_AUDITED"
"iron","iron","https://waterbalancetools.com/entities/iron","Iron in pool water typically comes from well water used to fill the pool or from corroded steel equipment. When chlorine is added, dissolved ferrous iron (Fe²⁺) is oxidized to ferric iron (Fe³⁺), which is insoluble and precipitates as rust-brown staining on pool walls, floors, and equipment. Treatment involves metal sequestrants to keep iron in solution, then gradual removal through filtration. Prevention focuses on fill water quality and maintaining a slightly positive LSI to prevent equipment corrosion.","510","4","4","0","","","","PHASE_7J_AUDITED"
