item,source_phase,category,current_status,evidence_reviewed,decision,production_action,source_ids,risk,reason,future_phase
Liquid chlorine formula/implementation/dataset mismatch (P0-A),7R,calculator_formula,RESOLVED,First-principles derivation (LIQUID-CHLORINE-AUDIT.md) + Indiana DOH government table read in full,RESOLVED,"Fixed js/calc-utils.js, js/calculator.js, formulas-data.js, dataset-dosage-matrices.js (both liquid-chlorine records)",in-doh-chemical-adjustment-2021,"low (correction moves toward, not away from, physical plausibility)",Two independent authoritative approaches converge exactly; neither pre-existing value matched either,none
Trichlor tablets divisor (discovered during liquid-chlorine audit),new this phase,calculator_formula,RESOLVED,"Indiana DOH table (1.5oz/10,000gal/1ppm) matches this site's own pre-existing, correctly-labeled dosage-matrices.json trichlor-tablets-90pct record exactly",RESOLVED,Fixed js/calc-utils.js and js/calculator.js tablets divisor (12000->6666.7),in-doh-chemical-adjustment-2021,low,Government table + already-correct site dataset entry converge; was simply not wired into the calculator function,none
Generic granular/shock chlorine divisor,"7R, re-audited",calculator_formula,REQUIRES_EXPERT_REVIEW (unchanged),"Government table has no single product matching the implicit ~1oz/10,000gal/1ppm assumption",DEFER,None,,medium,Product assumption is unspecified/ambiguous in the current UI; cannot be conclusively resolved without knowing which product the constant was meant to represent,"future calculator-UX phase (add product selection, or source-verify the specific assumption)"
LSI worked-example self-contradiction and missing lookup-table data claim (P0-B),7R,calculator_formula,RESOLVED (documentation); ARCHITECTURAL_GAP (calculator) unchanged,"Full re-audit of formulas/lsi-formula.html plus repository-wide search confirming data/datasets/water-balance.json's real, sourced lookup tables (correcting Phase 7R's 'no lookup-table data exists' finding)",RESOLVED (doc) / CONFIRMED (gap),"Rewrote formulas-data.js formula-09 worked example using real table values (single answer); NO calculator built, NO interpolation logic added",,"low (documentation only, no new computation)","Formula page can be corrected using already-existing, already-sourced architecture (Section 6's narrow allowance); building a calculator remains out of mandate","future phase, only with an explicit interpolation-methodology and UI decision"
Chemical calculator's false 'computes LSI' trust-panel claim,new this phase,calculator_provenance,RESOLVED,Direct inspection of js/calculator.js confirmed zero LSI computation despite the trust panel's explicit claim,RESOLVED,Removed formula-lsi/water-balance/lsi from trust-calculator-metadata.js; corrected the custom trust-panel note,,"low (explanatory correction, no calculation-behavior change)",A calculator's own trust panel must not claim a computation it does not perform,none
Chemical calculator's false 'computes alkalinity dose' and 'computes calcium-hardness dose' trust-panel claims,new this phase,calculator_provenance,RESOLVED,"Direct inspection of the calculator's full inline JS confirmed no alkalinity-dose or calcium-hardness-dose computation exists; alkalinity is read as an unused informational field, calcium hardness has no input field at all",RESOLVED,Removed formula-alkalinity-adjustment and formula-calcium-hardness-dose from trust-calculator-metadata.js's chemical-calculator record; note rewritten to state only chlorine + pH are computed,,"low (explanatory correction, no calculation-behavior change)","Same false-claim pattern as the LSI finding, on the same page, found during the same investigation -- corrected together",none
Alkalinity constant 1.4 vs 1.5 (P1-C),7R,calculator_formula,RESOLVED,Indiana DOH table confirms 1.4 lbs; implementation (calc-utils.js) already used 1.4; documentation used 1.5,RESOLVED,"Corrected formulas-data.js formula-05 equation, explanation, and worked example to 1.4/0.000224, matching the already-correct implementation",in-doh-chemical-adjustment-2021,low,Implementation was already right; only documentation needed correction,none
Alkalinity formula-05's own equation/explanation/worked-example internal mismatch,new this phase,calculator_formula,RESOLVED (same fix as above),The 0.0012 documented constant did not reconcile with either 1.4 or 1.5 when applied to its own stated units,RESOLVED,Same production change as the 1.4-vs-1.5 fix above -- equation constant corrected to 0.000224,in-doh-chemical-adjustment-2021,low,Single fix resolves both the cross-source mismatch and the equation's own internal inconsistency,none
pH adjustment: documented equation vs calculator vs abandoned rule of thumb (P1-D),7R,calculator_formula,REQUIRES_EXPERT_REVIEW (unchanged),Confirmed pH dosing is inherently TA-dependent; no source found (including the newly-fetched government table) states a TA-independent pH dose-per-unit figure,DEFER,None -- no production change to calculator or equation,,medium,"Cannot resolve without either a TA-aware model (architecture change, out of mandate) or a source stating a fixed dose at a reference TA (not found)",future phase with a specific TA-referenced source or explicit authorization for a TA-aware redesign
pH formula-04's own equation missing a normalization term,new this phase,calculator_formula,"REQUIRES_EXPERT_REVIEW (documented, not fixed)","The documented equation, applied literally, is dimensionally incomplete; the worked example silently patches it then abandons it entirely",DEFER,None,,medium,Same STOP condition as the broader pH question -- fixing the equation's units without also resolving which constant is correct would be premature,same future phase as the pH constant question
Shock calculator preset-tier architecture (P1-E),7R,calculator_architecture,SUPPORTED_DOMAIN_ASSUMPTION (UX) / REQUIRES_EXPERT_REVIEW (underlying divisor),Audited against the government table and against the newly-SUPPORTED breakpoint-chlorination claim; confirmed the presets cannot and should not be replaced by 10xCC without a UI redesign,CONFIRMED_SAFE (architecture) / DEFER (divisor),"None -- presets NOT replaced, per explicit instruction",,low (architecture) / medium (divisor),"Preset-tier UX is a legitimate, disclosed simplification; DO NOT redesign per Section 9. The underlying ~1oz/10,000gal/1ppm divisor remains an unspecified-product ambiguity, same disposition as the generic granular chlorine divisor above","future calculator-architecture phase, same one as the granular divisor and the breakpoint-CC-input question"
formula-03 (shock formula) cal-hypo equation and oz/lbs unit-labeling inconsistency,new this phase,calculator_formula,"REQUIRES_EXPERT_REVIEW (documented, not fixed)",Worked example computes 'oz' but labels the result 'lbs'; resulting implied rate is ~1.5x the Indiana table's cal-hypo figure,DEFER,None,,medium,"Smaller-magnitude, more entangled discrepancy than the liquid-chlorine case; Section 10 explicitly cautions against expanding scope to fix every newly-found issue in one pass",future calculator-formula-audit phase (same one handling pH and the shock-divisor questions)
"CYA calculator constant (13 oz/10,000gal/10ppm)",not previously flagged,calculator_formula,"SUPPORTED_DOMAIN_ASSUMPTION (confirmed internally consistent, not independently verified)",Calculator and formula-07's own explanation text already agree (both state 13); no primary source cross-check performed this phase (not one of the named findings),CONFIRMED_SAFE,None,,low,Internally consistent; auditing against a primary source is additional work beyond this phase's 5 named findings,"future phase, if a dedicated CYA-dosing source pass is scoped"
"Salt calculator constant (12 ppm per lb per 10,000gal)",not previously flagged,calculator_formula,VERIFIED_MATH (upgraded),Independently re-derived from water-density physical constants this phase; confirmed to match the coded constant,CONFIRMED_SAFE,"None -- documentation only (no formula change needed, it was already correct)",,low,"Mathematically derivable, not a pure domain guess",none
Pool/spa volume and turnover formulas,not previously flagged,calculator_formula,"VERIFIED_MATH (confirmed, unchanged)",Re-confirmed exact physical constants (7.48052 gal/ft3) and definitional math (rate x time),CONFIRMED_SAFE,None,,low,No domain assumption involved,none
data/academy.json orphaned-entry architecture risk,"new this phase (infrastructure, not a calculator finding)",build_tooling,CONFIRMED_SAFE (remediated within this phase; root architecture gap remains),"Running scripts/populate-data.js (needed to sync the corrected formulas-data.js into data/formulas.json) silently deleted 2 academy articles that exist only as direct edits to the generated data/academy.json, not in any scripts/data/academy-*.js source file. Caught immediately via a fresh validate-phase-7m.js/7p.js run, restored from the Phase 7R git commit.",RESOLVED (data restored) / DEFERRED (root architecture),"Restored data/academy.json from git; did NOT merge the 2 entries into the proper source file this phase (risk of introducing a new subtle bug in an unfamiliar multi-file authoring pattern, outside this phase's calculator-formula mandate)",,medium (latent risk for any future phase that runs populate-data.js),"A real, pre-existing (not Phase-7S-caused) infrastructure gap, surfaced as a side effect of this phase's necessary formulas.json sync step -- fully contained and documented, not silently left as a landmine",future phase: merge academy/fundamentals/new-pool-startup-chemistry and indoor-pool-chemistry into scripts/data/academy-fundamentals.js properly
Bromine calculator,7N/7P/7Q/7R,calculator_architecture,"OUT_OF_SCOPE (confirmed, unchanged)",Re-confirmed via grep: still does not exist anywhere in the codebase,OUT_OF_SCOPE,"None -- not created, no coefficient invented",,low,No independently-verified bromine dosing constant exists,dedicated calculator-architecture phase
Standalone LSI calculator (as an interactive tool),7N/7P/7Q/7R,calculator_architecture,"OUT_OF_SCOPE (confirmed, unchanged -- data-layer gap narrower than previously stated, computation-layer gap unchanged)",See LSI-AUDIT.md Section 6,OUT_OF_SCOPE,"None -- no calculator built, no interpolation logic added",,low,Standing decision remains in force; this phase's findings do not constitute the 'unusually strong evidence' needed to reopen it,"dedicated calculator-architecture phase, after an interpolation-methodology and UI decision"
"Programmatic families, URL architecture, redirects, sitemap, Spanish/French, AdSense",standing policy,scope_control,OUT_OF_SCOPE (confirmed untouched),git diff confirms none of these were modified this phase,OUT_OF_SCOPE,None,,low,Explicitly out of scope for this phase,none
Sitewide latent template/injector drift (~225 pages),new this phase,infrastructure,CONFIRMED,"Full npm run build run twice during Section 17 regression sweep; git diff -w against 219a57d confirmed real (non-whitespace) content differences in ~225 pages unrelated to any Phase 7S source edit -- a pre-existing gap between the current header/nav/indexing pipeline and last-committed generated output",OUT_OF_SCOPE -- not applied this phase,"All affected files reverted to their 219a57d committed state via git checkout HEAD; only the 15 files in PRODUCTION-CHANGES.md remain modified",n/a,"none this phase (reverted, not applied)","Applying this migration sitewide is a substantial, unrelated content-regeneration decision (225 pages) outside a calculator-formula-integrity mandate; Section 13 explicitly prohibits general content rewrites unrelated to the 5 named findings",A future dedicated phase should decide when/how to run and review a full sitewide template-migration regeneration
