id,item,file,old_state,new_state,classification,rationale,evidence_basis,safety_review,tested
7V-01,calculatePHAdjustment (js/calc-utils.js),js/calc-utils.js,"ounces = (gal/10000) x |diff| x 6 or 5, unsourced","Returns {valid, direction, magnitude, diff} -- no numeric dose",IMPLEMENTED (Option A per Phase 7U),Removes the unsupported numeric claim Phase 7T/7U established has no traceable derivation,reports/phase-7u/PH-ARCHITECTURE-DECISION.md (Option A approved),Yes -- no dose can mislead a user; direction/magnitude are pure arithmetic on user-supplied pH values,node -e verification of balanced/small/moderate/substantial cases
7V-02,phIncreaserOunces/phReducerOunces -> evaluatePHGuidance (js/calculator.js),js/calculator.js,"Two functions returning ounces, unsourced","One function returning {direction, magnitude, diff}",IMPLEMENTED (Option A per Phase 7U),"Same correction as 7V-01, mirrored in the duplicate implementation per established Phase 7S/7T pattern",reports/phase-7u/PH-ARCHITECTURE-DECISION.md,Yes -- same as 7V-01,node -e verification
7V-03,calculators/pool-ph-calculator.html submit handler + copy,calculators/pool-ph-calculator.html,'Add X oz pH direction. Re-test after 30 minutes.' plus exact-ounces meta/hero claims,Direction + magnitude + generic product-label/incremental/retest guidance; meta/hero claims corrected,IMPLEMENTED,Live behavior must match the new function's output; page claims must not contradict it,reports/phase-7u/INPUT-CONTRACTS.md (Option A contract),"Yes -- retest interval matches the page's own pre-existing FAQ (30-60 min), not invented",Manual read-through of rendered output strings for all 4 direction/magnitude combinations
7V-04,calculators/hot-tub-ph-calculator.html submit handler + copy,calculators/hot-tub-ph-calculator.html,Same as 7V-03 plus 'Run jets 20 min',"Same as 7V-03, hot-tub jet instruction preserved",IMPLEMENTED,Same as 7V-03,reports/phase-7u/INPUT-CONTRACTS.md,Yes,Manual read-through
7V-05,calculators/chemical-calculator.html pH portion of shared submit handler,calculators/chemical-calculator.html,phOz numeric line appended to combined chlorine+pH output,Qualitative pH guidance line appended; chlorine dose line unchanged,IMPLEMENTED,Discovered as a 3rd consumer of the removed functions during file inspection; in scope as an actual caller though not named in the initiating prompt's minimum list,reports/phase-7u/INPUT-CONTRACTS.md,Yes -- chlorine computation path verified untouched by code review,Syntax-checked extracted script block; manual trace of chlorine vs pH code paths
7V-06,formula-04 (scripts/data/formulas-data.js),scripts/data/formulas-data.js,"Unimplemented equation (0.0833/Acid%), abandoned worked example",No formula published; explains why; worked example walks through qualitative output,IMPLEMENTED (documentation-only),"Required by Section 9; no new formula invented, per explicit instruction","reports/phase-7t/PH-AUDIT.md, reports/phase-7u/PH-ARCHITECTURE-DECISION.md","N/A -- documentation only, no calculator behavior",node parse check; manual content review against Section 9 requirements
7V-07,"trust-calculator-metadata.js (pool-ph-calculator, hot-tub-ph-calculator, chemical-calculator)",scripts/data/trust-calculator-metadata.js,Claimed dosage-matrices dependency (unused) and muriatic-acid/soda-ash entities (never named); chemical-calculator claimed a pH dose,Dependencies narrowed to what is actually used; notes describe qualitative guidance accurately,IMPLEMENTED,"Trust panel must accurately describe the new architecture, matching Section 11",Direct code inspection of the live submit handlers,N/A -- metadata only,node scripts/generate-trust.js + strip/reinject verified via grep
7V-08,reference/common-pool-chemistry-mistakes.html,reference/common-pool-chemistry-mistakes.html,'Use our Pool pH Calculator for the right amount','...to check direction and adjustment size before you start',IMPLEMENTED (narrow content fix),Directly contradictory pH-specific claim about the calculator's new behavior,N/A -- direct consequence of 7V-01 through 7V-05,N/A,grep verification
7V-09,"guides/ph/how-to-lower-pool-ph.html (2 sentences, via scripts/generate-authority-guides.js)",scripts/generate-authority-guides.js,'Always use the pH calculator for your exact readings' / 'Calculate dose -- use the pool pH calculator for exact amounts',Rewritten to remove the exact-dose claim about the calculator specifically,IMPLEMENTED (narrow content fix),"Directly contradictory pH-specific claim; the page's own separate dose table was NOT touched (out of scope, see below)",N/A -- direct consequence of 7V-01 through 7V-05,N/A,grep verification; generator re-run and diffed for reproducibility
7V-10,guides/ph/how-to-lower-pool-ph.html hardcoded muriatic-acid dose table and quickAnswer rule-of-thumb,scripts/generate-authority-guides.js,~2-30 oz dose table by pool size and pH-drop amount; uncited,NOT CHANGED,"OUT OF SCOPE, CARRIED FORWARD","Independent, pre-existing numeric pH claim not derived from or made contradictory by the calculator architecture change; auditing it is a chemistry-evidence question (Phase 7T/7U-class work), not a calculator-narrowing implementation",None reviewed this phase,N/A,N/A
7V-11,programmatic/ph/* and programmatic/hot-tubs/* pages referencing calculator exactness,programmatic/,FAQPage/body content implying the calculator gives an exact volume-scaled dose,NOT CHANGED,"OUT OF SCOPE, CARRIED FORWARD","Section 19 explicitly forbids programmatic-family changes in this phase, even though a real, material inconsistency now exists",N/A,N/A,N/A
