claim_index,url,claim,parameter,minimum,maximum,unit,environment,extraction_status,scientific_review_status,notes
0,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,(none),1,1,ph_units,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
0,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,(none),0,0,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
0,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,(none),98,98,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
0,about/index.html,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,(none),100,100,,pool,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
1,about/index.html,What This Site Is WaterBalanceTools is a free reference library for pool and hot tub water chemistry.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
2,about/index.html,Methodology All chemical dosing calculations are based on published industry standards and widely accepted water chemistry formulas.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
3,academy/equipment/automatic-chlorinators.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Automatic Feeders Work Setting the Feed Rate Compatibility Considerations Examples Common Mistakes Calculators Pool Chlorine Calculator Equipment 5 min read Upda…,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
4,academy/equipment/automatic-chlorinators.html,They provide consistent dosing between maintenance visits.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
5,academy/equipment/automatic-chlorinators.html,Both types achieve the same result: continuous low-level chlorine dosing between maintenance visits.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
6,academy/equipment/automatic-chlorinators.html,"Setting the Feed Rate The correct feed rate depends on pool volume, sun exposure, bather load, and current CYA level.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
7,academy/equipment/automatic-chlorinators.html,"Start at the mid-range setting, run the system for 24–48 hours, and test free chlorine.",(none),24,48,hours,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
8,academy/equipment/automatic-chlorinators.html,"If FC is below target (1 ppm), increase the feed rate.",free_chlorine,1,1,ppm,unspecified,CORRECT_EXTRACTION,SUPPORTED,
9,academy/equipment/automatic-chlorinators.html,"If FC is above 3 ppm consistently, decrease it.",free_chlorine,3,3,ppm,unspecified,CORRECT_EXTRACTION,SUPPORTED,
10,academy/equipment/automatic-chlorinators.html,"In summer with heavy UV and bather load, the feeder setting for early spring will likely under-dose.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
11,academy/equipment/automatic-chlorinators.html,"In autumn with low use, the same setting will likely over-dose.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
